GID,GID_hr,HER_hr_montype,HR_type,HR_description,HR_age,HR_sex,HR_condition,HR_completeness,HR_posture,HR_orientation,HR_rite
50048,50020,CROUCHED INHUMATION,Inhumation,Crouched burial,Unknown,Unknown,Unknown,Unknown,Crouched (unspecified),Unknown,Unknown
50049,50021,CREMATION,Cremation,Belgic 'cremations' mentioned by OS but no surviving evidence of this.,Unknown,Unknown,Unknown,,Unknown,Unknown,Aylesford Swarling
50050,50022,CREMATION,Cremation,No further details.,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50053,50024,HUMAN REMAINS,Inhumation,Skeleton. No contextual details.,Unknown,Unknown,Unknown,,Unknown,Unknown,Southern Grave Inhumation
50054,50025,HUMAN REMAINS,Inhumation,"Trott's Hall Garden: Male skeleton, with a bronze knife-dagger and a slate bracer. ",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),S-N,Unknown
50058,50026,CREMATION,Cremation,Cremation which was scattered and disturbed and associated with Beaker fragments (?originally contained in Beaker),Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50060,50027,CREMATION,Cremation,"<Whimster 1981, 474>: Calcined bones. No further information available.",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50062,50028,CREMATION,Cremation,The finds from this site are assumed to have been associated with at least one cremation burial. No further details.,Unknown,Unknown,Unknown,,Unknown,Unknown,Aylesford Swarling
50067,50029,CREMATION,Cremation,One of two urned cremation burials. No further details.,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50071,50030,CREMATION,Cremation,Cremated human remains. No further details available.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Aylesford Swarling
50072,50031,CREMATION,Cremation,"Cremated remains of an adult with slight signs of arthritis on the vertebrae (O'Connor in MacPherson-Grant 1980, 180).Total weight: 584gFragment size: > 3 cmSkeletal elements present: Skull, longbones, hands/feet, pelvis, vertebrae, ribs",Adult 19-39,Unknown,Biography: Diseased/Disabled,Fragment(s),Unknown,Unknown,Unknown
50075,50032,CREMATION,Cremation,Calcined bones,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50076,50033,CREMATION,Cremation,Urned cremation in inverted Collared Urn and accompanied by a flint knife ,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50079,50034,CREMATION,Cremation,Inurned cremation. ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50080,50035,CROUCHED INHUMATION,Inhumation,"In off-centre burial pit. Primary crouched burial of an adult, probably male c25-35, with dolichocephalic skull, surrounded by blackish layer, on right side, accompanied by a piece of ironstone  - a fossil and burnt animal bone Note the skeleton was surrounded by a blackish layer, but with no evidence of fire.",Adult 19-39,Male,Articulated,,Crouched (facing right),E-W,Unknown
50087,50037,CREMATION,Cremation,Cremated human bones . ,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50087,50038,CREMATION,Cremation,"Two Cremations in pits cut into chalk covered by round barrow - one was associated with incense cup, pottery vessels and animal and bird bones",Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50088,50039,CREMATION,Cremation,several prehistoric burial urns (probably Early Bronze Age) containing cremations' that were re-interred with Anglo-Saxon inhumation burials. This is interesting but vague. So likely the Saxon burials cut into and re-used EBA round barrows ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50090,50041,CREMATION,Cremation,Cremated remains. No further information available.,Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50094,50042,CREMATION,Cremation,No further contextual detail,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50095,50043,CROUCHED INHUMATION,Inhumation,Crouched inhumation with local Beaker but no further details ; it had been disturbed by the machine ,Unknown,Unknown,Articulated,,Crouched (unspecified),NE-SW,Unknown
50096,50044,CREMATION,Cremation,"Denne's brickfield, Dover: Probable cremation in urn - one of five ",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50099,50045,CROUCHED INHUMATION,Inhumation,"Philp (2012), Great Mongeham Burial 2: subrectangular grave cut, plough and machine damaged, oriented SE-NW (1.17 x 0.8 x 0.12m). Inhumation burial crouched on back with legs to the right, probably a juvenille, aged 10-15 years",Child 3-13,Unknown,Taphonomy: Disturbed,Unknown,Crouched (facing up) ,SE-NW,Unknown
50102,50046,CREMATION,Cremation,Assumed cremation - no cremated remains were mentioned in the report.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50103,50047,CROUCHED INHUMATION,Inhumation,"Bradstow School Barrow 1 Grave P (Hurd 1911): 'skeleton with the elbows resting on the knees, and hands up to face. It was so contracted as to occupy a space only 0.8m long.'",Adult 19-39,Unknown,Articulated,Complete,Crouched (facing right),NW-SE,Unknown
72147,50048,CREMATION,Cremation,Cremated remains found within both of the pottery vessels in this burial. Not clear if more than one individual was involved.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Aylesford Swarling
50104,50049,INHUMATION,Inhumation,"<Whimster 1981, 300-1>: Skeleton lying flexed on left side on the floor of Pit 107 with arms lying out from the body. The head of the skeleton was resting on a stone.",Unknown,Unknown,Burial (Inhumation): Articulated,Unknown,Flexed (facing left),NE-SW,Pit Burial
74419,50050,CREMATION,Cremation,"<Ozengell, Lord of the Manor Site 1, Burial G6>:the ashes of a babyHuman remain/object details from: http://www.thanetarch.co.uk/Virtual%20Museum/3_Displays/G4%20Displays/Gallery4_Display4_Link2thanet_Link3causewayed_LinkLOMI.htm",Infant <3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50108,50052,INHUMATION,Inhumation,"Note this was a bowl barrow with at least 6 burials  all crouched inhumations. Only the primary inhumation of a male was accompanied by any grave goods. The other individuals were 2 children one possible female and one male and one unidentified. Grave 1 was 1m x 0.5m x 0.33m deep, oriented NS, the skeleton lying on its right side, crouched, head to N, probably an adult male c20-25.",Adult 19-39,Male,Articulated,,Crouched (facing right),N-S,Unknown
50111,50054,INHUMATION,Inhumation,Not certain as disturbed by later activity & burial - possibly primary Beaker inhumation with pot,Unknown,Unknown,Disturbed,,Unknown,Unknown,Unknown
50116,50056,CROUCHED INHUMATION,Inhumation,Contracted inhumation (fragments of a leg bone were recovered from the drainage trench being excavated) accompanied by a bell Beaker,Adult 19-39,Unknown,Articulated,,Crouched (facing left),N-S,Unknown
72401,50059,CREMATION,Cremation,"Monkton (Area 7), Ring ditches VI-VIII (satellite burials), Cremation 2025 (Bennett et al 2008, 43): Only a few fragments of burnt human bone survived (no further information provided).",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50125,50060,CROUCHED INHUMATION,Inhumation,"Beauforts, North Foreland Avenue: In central rectangular grave - crouched inhumation over 40 accompanied by mussel shells & Beaker at feet and possibly in oak tree  trunk coffin or wattle structure",Old Adult >40,Female,Articulated,Almost complete,Crouched (facing left),N-S,Unknown
50129,50061,CREMATION,Cremation,"7g cremated human bone including a fragment of long bone shaft, together with other tiny fragments within a matrix of charcoal. Interpreted by Witkin (2006) as redeposited pyre debris.Total weight: 7gFragment size:Skeletal elements present: long bone",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50131,50063,CREMATION,Cremation,No further details as the feature was not excavated.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50135,50066,CREMATION,Cremation,"Glebe Land, Harrietsham (Canterbury Archaeology 1998, appx 1) Grave [55]: No further details available.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50136,50067,CREMATION,Cremation,Ulcombe Churchyard (Aldridge 2005): The cremation is that of an adult female probably around the age of 35-45,Old Adult >40,Female,Unknown,Fragment(s),Unknown,Unknown,Unknown
50137,50068,INHUMATION,Inhumation,"Ulcombe Churchyard Extension (Aldridge 2005, 181):  'A few bone fragments' ",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50139,50070,CREMATION,Cremation,"Dickson Land, Canterbury Road, Hawkinge:Hr: <5g of cremated bone which could not be identified as human",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50140,50071,CREMATION,Cremation,"Former RM North Barracks (Anderson in Parfitt 2000, 10): A total of 172 grams of cremated human bone was recovered. All the bones are off white, completely burnt and highly fragmented.No bone elements were duplicated; as such, only one individual is represented. The largest fragment, weighing 12 gms, was a portion of a humeral head. The fact that the proximal humeral epiphysis was fully fused indicates that the remains are adult. The small size of the incomplete mandible condyle might suggest that the remains are female.",Adult 19-39,Female,Unknown,Fragment(s),Unknown,Unknown,Unknown
50141,50072,CREMATION,Cremation,"South Willesborough (Deeves 2002): a small amount of cremated bone, including tooth crowns, along with charcoal fragments. The bone was identified to be that of an infant, with the age of death being around 6 months.",Infant <3,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50144,50073,CROUCHED INHUMATION,Inhumation,"Dumpton Down Barrow, Intercutting Grave Pits A-C, Burial 1  (Perkins 2004, 77): Hr: Crouched inhumation burial - no further details available, no gg. C14 dated 2140 to 1880 cal BC (95%) (BM-2957) (3630 +/- 45 BP).",Adult 19-39,Male,Burial (Inhumation): Partially Articulated,Almost complete,Crouched (facing left),NE-SW,Unknown
50145,50074,CROUCHED INHUMATION,Inhumation,"South Dumpton Down (Perkins 1994, 12-6, fig. 9): Crouched burial, carefully placed within a pit. 'The skeletal remains were in very good condition and were those of a well built adult ... The position of the skeleton: lying on its right side with legs flexed and right forearm and hand above the skull (shielding the face with a fold of cloak?), is very different from the 'chucked in the hole' appearance of other burials on site. After the the burial bad been placed, dumping' (Perkins 2004, 12 fig. 9)",Adult 19-39,Unknown,Burial (Inhumation): Articulated,Unknown,Crouched (unspecified),Unknown,Unknown
72408,50076,CREMATION,Cremation,"Too little calcined bone (1-4mm) was recovered to positively identify it as human (Sibun in Stevens 2003, 92).Total weight: 15gFragment size: highly fragmented (2-14mm)Skeletal elements present: n/a",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50149,50078,CREMATION,Cremation,"Westhawk Farm (Booth et al 2008): 703g cremated human remains, probably from an adult man. No further details are available.",Adult 19-39,Male,Unknown,Fragment(s),Unknown,Unknown,Aylesford Culture
50153,50080,CREMATION,Cremation,Springhead Northfleet: No further details available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50161,50085,FLEXED INHUMATION,Inhumation,"Poorly preserved skeleton of an 18-25 year old woman (25-30% survived). Evidence of stress/disease in childhood (dental hyperplasia) and of poor dental hygiene (White 2006, 3)",Adult 19-39,Female,Biography: Diseased/Disabled,Fragment(s),Crouched (unspecified),NE-SW,Unknown
50162,50086,HUMAN REMAINS,Inhumation,"Monkton (Area 4) Grave 751 Skeleton 2a (Bennett et al 2008, 15):A cluster of disarticulated human bone was located behind the legs of the crouched inhumation. This included the partial remains of a child, aged 8-10. Collagen from the bones was c14 dated to 2289 to 1925 cal BC (BM-2923, 95% confidence).Overall the disarticulated bones may represent rearranged bones from an earlier disturbed burial or bodies that were excarnated prior to burial at the same time as the main burial in this grave.",Child 3-13,Indeterminate (Child),Burial (Inhumation): Disarticulated,Fragment(s),Unknown,Unknown,Unknown
50162,50087,CROUCHED INHUMATION,Inhumation,"Monkton (Area 4) Grave 751 Skeleton 1 (Bennett et al 2008, 15):The primary burial was a single crouched inhumation of a young adult man (19-22), head to the S, facing E. Collagen from his bone was c14 dated to 2180-1890 cal BC (BM-2898, 95% confidence)",Adult 19-39,Male,Burial (Inhumation): Articulated,Unknown,Crouched (facing right),S-N,Unknown
50165,50090,CREMATION BURIAL,Cremation,"Margetts Pit (Wessex Archaeology 2010) pit 856: LBA pit containing 0.5g burnt human bone from a teenager (table 6, 36)NB this feature is identified as a 'ritual/?mortuary deposit' rather than a cremation burial in the report (2010, 36, 38)",Subadult 14-18,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50166,50091,CREMATION,Cremation,<Former Hawkinge Aerodrome (Preistly-Bell 2002) F. 148>:Contained cremated human bone (no further details),Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50167,50092,CREMATION,Cremation,"Mostly well-fired cremated human remains recovered from two separate fills of a burial pit (Sibun in Margetts 2012, 51-3). The material from the separate fills is summarised separately here, although it was not possible to tell during the assessment of this material whether more than one person was represented (there were no duplicate bones). Traces of cu-alloy staining were observed on fragments of metatarsel:Primary pit fill:Total weight: 352gFragment size: 0->30mmSkeletal elements present: Skull, arms, legsSecondary pit fill:Total weight: 396g (including the weight of small stones in this sample ...)Fragment size: 0-30mmSkeletal elements present: Skull, arms, legs",Adult 19-39,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
72169,50093,INHUMATION,Inhumation,"The bone itself in a good state of preservation but highly fragmented - c. 60-75% of the skeleton survived. Additional small fragments of human bone were recovered from an environmental sample taken from the grave fill (Sibun in Margetts 2012, 51).",Adult 19-39,Female,Burial (Inhumation): Articulated,Fragment(s),Supine (extended),NW-SE,Unknown
50168,50094,CREMATION,Cremation,"140g in total of variably fired human bone distributed throughout the fill of the cremation pit but concentrated in the middle/originally at the bottom of the pot (Vessel 4) (see Moody et al 2010, 162-3 for further details).Total weight: 140gFragment size: n/aSkeletal elements present: tooth",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50170,50096,INHUMATION,Inhumation,"Tothill Street, Minster: One of three LIA inhumations from the cemetery that were deposited with objects.This record represents a supine inhumation burial with a pot of unknown form/condition. No further information is available.",Adult 19-39,Unknown,Unknown,Unknown,Supine,N-S,Unknown
50171,50098,CROUCHED INHUMATION,Inhumation,"Partially articulated adult male burial (c. 40% body represented) (aged c. 30-35) arranged in a neat bundle (probably bagged or bound) and laid semi-prone on his left side. His arms appear to have been bent backwards, behind the back. The skull was perched on top of the bundle, slumped backwards in an awkward position such that the top of the head rested on the arm. The body was probably substantially decomposed upon deposition. Isotope analysis suggested that this person may have been of Scandinavian origin  (McKinley 2014, Burial 3673, 41, 96-7, fig. 2.17).",Adult 19-39,Male,Multiple (Additional Notes),Fragment(s),Crouched (facing left),Unknown,Unknown
50172,50099,CREMATION,Cremation,This cremation was in a Beaker (unusual) and in a pit grave that also contained an inhumation,Adult 19-39,Male,Curated,,Unknown,Unknown,Unknown
50172,50100,CROUCHED INHUMATION,Inhumation,Poorly preserved remains of an inhumation (probably originally crouched). In the same grave and possibly accompanied by a Beaker hat had the cremation (HR 50099) in it ,Unidentifiable,Male,Decomposed/Degraded,,Unknown,Unknown,Unknown
50173,50101,CREMATION,Cremation,"Efficiently cremated bone from an adult (Sibun in Dawkins 20120, 34).Total weight: 1100g (967g from within the urn; 133g probably representing disturbed material distributed in the wider pit fill)Fragment size: mostly 5-20 mmSkeletal elements present: Skull, axial, upper limb, lower limb",Adult 19-39,Unknown,Unknown,Almost complete,Unknown,Unknown,Unknown
50174,50103,CROUCHED INHUMATION,Inhumation,Crouched inhumation burial <awaiting further details>,Unknown,Unknown,Unknown,Unknown,Crouched (facing right),SE-NW,Unknown
72170,50107,CREMATION BURIAL,Cremation,"848g cremated human remains, probably from a man, burnt with his flesh on. Slight evidence of joint degeneration. Only c. 68% of the bone within the deposit was fully burnt, while some fragments were unburnt or only slightly charred (Gibson et al. in Allen et al. 2012, 301-2).Total weight: 848gFragment size: mostly >5mmSkeletal elements present: Dominated by cranial fragments but occasional axial, upper and lower limb fragments were also identified",Adult 19-39,Male,Burial (Cremation): Partially Burnt,Fragment(s),Unknown,Unknown,Unknown
50181,50108,INHUMATION,Inhumation,No bone identified though and likely had totally decomposed ,Unknown,Unknown,Decomposed/Degraded,Unknown,Unknown,Unknown,Unknown
50185,50112,INHUMATION,Inhumation,"Possible very degraded inhumation in pit cut into old ground surface with bracer, arrowhead and Beaker sitting on top of it. On old ground surface ",Unidentifiable,Unknown,Decomposed/Degraded,Fragment(s),Unknown,Unknown,Unknown
50188,50113,INHUMATION,Inhumation,"Very poorly preserved remains of an 18-25 year old of unclear sex. The right arm was flexed and lay beneath or near the head and the left was placed across the chest. Due to the degraded condition of the bone very little pathological information was observed and the isotope analysis was not informative (McKinley in Stevenson 2013, 154).",Adult 19-39,Contra-indications,Taphonomy: Decomposed/Degraded,Almost complete,Supine (extended),NE-SW,Unknown
72171,50114,INHUMATION,Inhumation,"Brisley Farm, Kent (Stevenson 2013): Poorly preserved remains of a young man (c. 18-25). The body was supine with the head at the south end. There was a slight twist to the remains with the hips pushed towards the east wall of the grave. Therefore the feet were centrally placed but the head was in the south-west corner of the grave. The arms lay at the sides of the body (Stevenson 2013, 160). Due to the degraded condition of the bone very little pathological information was observed (McKinley in Stevenson 2013, 161)",Adult 19-39,Male,Taphonomy: Decomposed/Degraded,Fragment(s),Supine (extended),N-S,Unknown
50189,50115,CROUCHED INHUMATION,Inhumation, OLd male >50 yrs with broken but fully healed fibula. He was flexed on left side woth a Food Vessel behind his head. Note Food Vessels are very rare in Kent and this is only one of three sites where Food Vessels have been encountered as grave goods,Old Adult >40,Male,Articulated,Complete,Flexed (facing left),N-S,Unknown
72179,50117,INHUMATION,Inhumation,"Inhumation burial. 7 bone fragments; skull. Adult >18 years, unsexed? (Riddler, McKinley and Skittrell 2006, 6).",Adult 19-39,Unknown,Unknown,Fragment(s),Unknown,NE-SW,Unknown
50192,50118,CROUCHED INHUMATION,Inhumation,"St Stephen's College, N Foreland Flat Grave (Perkins 1999): Crouched burial of an adult. cranial - pelvic axis 350° NNW, skeletal material in very good condition.",Adult 19-39,Unknown,Burial (Inhumation): Articulated,Unknown,Crouched (facing left),NE-SW,Unknown
50193,50119,CREMATION,Cremation,"Ellington School MBA urned cremation burial F25 (Boden 2006, McNee 2012): Cremated remains deposited within a ceramic vessel. No further details available.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50194,50120,CREMATION,Cremation,"Cremated bone which appeared to 'issue from the mouth' of the collared urn vessel (Boast et al. 2011, 42). No further details available. Very small quantity of cremated bone (17.2g) - and neither age nor sex could be identified. ",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50196,50125,CREMATION,Cremation,"Macknade Farm (Allen 2008, 9) Cremation burial 27:  highly fragmented calcined human bone. No further details.",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50200,50128,CREMATION,Cremation,"Cremation contained within an inverted Collared Urn in a small circular pit. straight-sided vessel with decoration around the collar and on the rim bevel with impressed twisted cord, forming filled triangles",Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
50201,50129,CREMATION,Cremation,"Cremated human remains with identifiable fragments of skull, upper limbs and lower limbs, although further analysis on the bone was not possible (Askew 2006, 16). ",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50203,50131,CREMATION,Cremation,"<75 The Street, Hawkinge (Thorne 2006, 19) Cremation Set II>:Hr: c. 800g cremated human bone from an adult (Sibun in Thorne 2006, table 4)",Adult 19-39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50208,50135,CROUCHED INHUMATION,Inhumation,"<Museum of Thanet's Virtual Museum, North Foreland III, 1999, Burial 1 (internal barrow burial)>The bones which remained in the central rectangular grave indicated that they belonged to an adult of approximately 25-35 years of age. The body had been laid in a crouched position with the head to the south, facing west.The grave was only around 0.30m deep, but the surviving soil backfill suggested that the body may had been laid within a wooden coffin-structure (Boast, Gardner and Moody 2006).",Adult 19-39,Unknown,Burial (Inhumation): Articulated,Unknown,Crouched (facing left),S-N,Unknown
74490,50136,CROUCHED INHUMATION,Inhumation,"<Museum of Thanet's Virtual Museum, North Foreland III, 1999, Burial 2 (ditch burial)>Within the grave were the remains of a child, perhaps between 9-10 years of age (of unknown sex). The body had been laid in a crouched position on its right-hand side, with the head facing south-east. The tightly crouched position suggests that child's body may have been bound or wrapped before it was placed within the grave (Boast, Gardner and Moody 2006).",Child 3-13,Indeterminate (Child),Burial (Inhumation): Bound,Unknown,Crouched (facing right),SW-NE,Unknown
50213,50141,CROUCHED INHUMATION,Inhumation,"Crouched inhumation of older male with a series of grave goods and likely contained within a coffin. Adjacent to the head was a comb decorated Beaker vessel. The Beaker is an early type, equating to Clarke's Wessex/Mid Rhine Group or step 3 of the Lanting and van der Waals scheme, thought to date to around 2300 BC. The skeleton though was radiocarbon dated to 1902 (+/- 33) BC. This apparently conforms to a recognised local pattern of late dates for apparently early Beaker styles. Other grave goods found with the burial were three barbed and tanged flint arrowheads found near the lower back, an angular flint in the chest area and a tiny fragment of amber near the head.Decayed oak coffin structure. Chalk packed around coffin structure Crouched with pot behind head and head at N ",Old Adult >40,Male,Articulated,Complete,Crouched (facing left),N-S,Unknown
50220,50143,INHUMATION,Inhumation,"East Kent Access Route (Zone 13, Burial 200062): Skeleton of an older adult man (c. 35-45 years old) (90% skeletal parts present) placed in a flexed position on his left hand side.",Old Adult >40,Male,Burial (Inhumation): Articulated,Almost complete,Flexed (facing left),Unknown,Unknown
50221,50144,INHUMATION,Inhumation,East Kent Access Route (Zone 21 ring ditch): Sub-adult 16-19 years old. She lay on her side with flexed limbs. Arms in front of body crossed; quite an unusual position. Upright triple Food Vessel at elbow in front of crossed arms. Cu alloy pin at upper chest. Amber broken button in two pieces at right shoulder,Subadult 14-18,Female,Articulated,Almost complete,Flexed (facing right),NW-SE,Unknown
50222,50145,CREMATION,Cremation,East Kent Access Route (Zone 21 other burials): 195.2g cremated bone from an 8-9 year old child. No further details available.Total weight: 195.2gFragment size: not knownSkeletal elements present: not known,Child 3-13,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50225,50147,CREMATION,Cremation,"About thirty small pieces of cremated bone, weighing about 100g were recovered from the pottery vessel which had been partially removed by Ditch 1036 of Structure B3C. The bones show whitening and cracking with two specimens having blue discolouration. A general moderate temperature is suggested in local areas of high and low temperature. Pieces of a tibia and fibula suggest an adult skeleton. Sex not determined.Total weight: c. 100gFragment size: not knownSkeletal elements present: tibia, fibia",Adult 19-39,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
50233,50152,BURIAL,Inhumation,"Lyminge Beaker burial (Thomas and Knox 2015, 3): crouched inhumation burial on an N-S alignment accompanied by grave goods - a Beaker pot and a perforated bone ‘toggle’. Both the skeleton and associated grave goods were crushed and in a poor state of preservation due to the severity of truncation of the contemporary ground level. ",Adult 19-39,Unknown,Articulated,Fragment(s),Crouched (facing right),S-N,Unknown
40001,40000,CROUCHED INHUMATION,Inhumation,"Arras (Stead 1979) Grave A1: Human remains: Inhumation burial; orientation; N-S (f?); age: mature adult; sex: ?male; position: flexed/ crouched; biographical details: Skeleton described as ""that of an old man"" (Stillingleet 1846:28-30);",Old Adult >40,Male,Unknown,Unknown,Crouched (unspecified),N-S,East Yorkshire Type C
40003,40001,CREMATION,Cremation,Burnt remains 'of a small infant',Infant <3,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
40004,40002,CREMATION,Cremation," In W end was heap of burnt bones of child with 2 knives, bone pin & 2 Food Vessels. pots no trace of fire but other grave goods do; mixture of pyre debris with it so not a totally 'clean' cremation ",Child 3-13,Indeterminate (Child),Unknown,,Unknown,Unknown,Unknown
40004,40003,INHUMATION,Inhumation,In central pit near to the central Food Vase were small pieces of the decayed bones of a child sticking to sides of boulders,Child 3-13,Indeterminate (Child),Unknown,,Unknown,Unknown,Unknown
40006,40004,CREMATION,Cremation,Urned cremation near centre in small pit - 1m away from a second one. With burnt wood and burnt incense cup (was in pyre?). Note it was placed in an incense cup which is unusual. Small intensely burnt elliptical incense cup containing cremation- possibly from being in pyre ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
71366,40007,CREMATION,Cremation,This cremation lacked grave goods and has only been allocated a grave number because it came through with the original data from HER but was assigned to the wrong grave Thought to be female and possibly in a bag ,Adult 19-39,Female,Unknown,Unknown,Unknown,Unknown,Unknown
40008,40008,INHUMATION,Inhumation,"Possibly primary as it is the central wood-lined grave but it may have been sunk later and disturbed other burials. 17 year old female. Hands to face, jet necklace round neck; yellow ochre by body",Subadult 14-18,Female,Articulated,Almost complete,Crouched (facing right),NW-SE,Unknown
40009,40009,INHUMATION,Inhumation,Inhumation of a crouched child about 5-6 years old and a food vessel; hands to face. in wood-lined coffin or more likely bier,Child 3-13,Unknown,Articulated,Almost complete,Crouched (unspecified),E-W,Unknown
40010,40010,INHUMATION,Inhumation,"a young woman  (burial 1) in oval grave. FV in front of face . Almost central and very tightly crouched, hands in front of face",Adult 19-39,Female,Articulated,Complete,Extended (facing left),W-E,Unknown
40011,40011,INHUMATION,Inhumation,"In central shallow grave lined with wood was a body of adult (Greenwell says strong male, reanalysis says female), c. 30 years old. Hands on hips and Food Vessel & animal bone touching right knee",Adult 19-39,Female,Articulated,Complete,Crouched (facing right),NE-SW,Unknown
40013,40012,INHUMATION,Inhumation,beaker burial was found c 0.3m below the surface in a crouched position - old adult ,Old Adult >40,Unknown,Articulated,,Crouched (unspecified),Unknown,Unknown
40014,40013,CREMATION,Cremation,Primary urned cremation in Collared Urn with carbonised wood and unburnt hazel bark. In Collared Urn,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown
