Site_ID,GID,Grave_hierarchy,Formality_factor,HER_grave_montype,Grave_type,Grave_orientation,Grave_description,Number_object_records,Number_hr_records,Giles_2012_catalogue_number,Gg_summary,Hr_summary
50025,50025,,1,,Unknown,Unknown,"One of three certain burials (vessels associated with cremated bones) from Tassel's Quarry, Allington, recorded by Thompson (1978).",1,1,,Pot [Belgic-Related Tradition (Other fineware vessel)],Cremation
50026,50026,,,,Missing,Unknown,"<Bristow 2001>: There may have been 6-8 remaining burials reputedly arranged in one or more irregular circles, but the form of individual graves is not confirmed<Whimster 1981, 473>: The remaining pottery vessels from the site are ungrouped, but reputedly are from graves 2'-3' (0.6-0.9 m) in depth andsufficiently large to accommodate two or three urns (Birchall 1965, 303, Figs 9-11, Nos 66-87).Thompson (1982, 593-7) notes that the grave clusters may have included one larger and one smaller pot in each round pit. She also notes that the unassociated pots in the Ashmolean Museum were registered with 'a mass of decayed large rings of Kimmeridge coal, probably bracelets or armlets'; about half a dozen found in a lump. Additionally Birchill's (1965) pot 75 contained a large bronze brooch.The vessels included in this grave group here follow Thompson's (1982) list of unassociated vessels, except where the vessel concerned contained calcined bones (e.g. Birchill's (1965) pots no. 77 (which probably belonged to the Family Circle D burial and so is included with this group), and Birchill's (1965) pots nos. 76, 79 and 84 (which are entered as separate burials).",25,6,,"Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Gallo-Belgic Ware (Specified type)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other specified type)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Gallo-Belgic Ware (Specified type)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)], Armlet, Armlet, Armlet, Armlet, Armlet, Armlet, Brooch (Unknown/Unspecified)","Cremation, Cremation, Cremation, Cremation, Cremation, Cremation"
50027,50027,,,,Missing,Unknown,<HER description>: 'urns and saucer containing bones'. Probably LIA in date.,2,1,,"Pot [Belgic-Related Tradition (Unknown/Unspecified)], Pot [Belgic-Related Tradition (Other fineware vessel)]",Cremation
50029,50029,Primary,1,,Cist,NW-SE,"In stone-lined cist.  One of three Bronze Age cists found close to each other and west of the other burials, but few possible grave goods. One of the cists (not this one) had a a hole cut into its end. A Beaker and a Collared Urn possibly came from these cists but they were found by workmen so exact location uncertain This is cist 1 - all placed in a rough line ",4,1,,"Animal Bone (Other), Tool (Unknown/Unspecified), Coffin, Pot [Beaker]",Inhumation
50030,50030,,1,,Unknown,Unknown,"<Bristow 2001>: A globular jar found in 1966 in quarrying contained calcined bone and was accompanied by a globular Belgic jar.A globular jar was found, in 1966, by Messrs. A. E. Alldridge and Whitehead near a quarry at the south-east edge of Oaken Wood (approx. N.G.R. TQ 712545). Until 1974, it was on loan to the museum. The ware is buff, slightly gritted, and preserves traces of a black  burnished slip. It is decorated on the shoulder with a row of seven incised arcs and has an omphalos base. It contained a cremation burial and was accompanied by a globular Belgic jar, about 6 in. in height, decorated with a double groove on its shoulder and a single groove round its belly. Two small Belgic jars were found in the vicinity in 1931 and 1963, and the site appears to have held a Belgic cemetery (Kelly 1974).",2,1,,"Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other specified type)]",Cremation
50038,50032,,,GRAVE,Grave,Unknown,"'Halling Man' (Cook et al 1914): Early Neolithic interment found during quarrying operations in 1907 in Trechman's chalk pit at Cuxton. The grave had been made by a slight excavation in the overlying scarp drift. The body was covered by a layer of flints 12"" to 18"" thick but this is probably geological.Contained in the matrix surrounding the bones were:1) A flint flake, 5 8 cm. in length, of fine workmanship;2) another flake having the natural cortex on one face3) A fragment of a calcined flint4) some gastropod shells (not recorded as grave goods as there provenance is unknown)",3,1,,"Flake, Flake, Tool (Unknown/Unspecified)",Inhumation
50039,50039,Primary,1,,Pit,Unknown,"Cremation burial comprising the cremated remains of an adult woman positioned beneath an inverted and scorched biconical urn. The charcoal from the cremation pyre was separated from the burnt bone - there was no evidence of charcoal from the pyre (Cruse and Harrison 1983, 84). Most elements of the burnt body were present. Unburnt animal bones were also found within the inverted urn.The burial was covered by a layer of flint nodules. A four post structure located above the burial pit could represent some sort of mortuary structure.",3,1,,"Pot [Biconical Urn], Animal Bone (Other), Animal Bone (Other)",Cremation
50041,50041,Primary,1,,Cist,Unknown,Cist under turf-covered barrow,1,1,,Necklace,Inhumation
50044,50044,,1,,Unknown,Unknown,<Railway Cutting N of Biddenden>: 'Belgic' burial (no further details),1,1,,Pot [Belgic-Related Tradition (Unknown/Unspecified)],Cremation
50045,50045,Unknown,1,,Mound,Unknown,The incense cup and the Collared Urn were found in the sandy mound. It is not quite clear whether they were found very close to each other ,2,1,,"Pot [Collared Urn], Pot [Incense Cup]",Cremation
50047,50047,,1,,Unknown,Unknown,"One of four cremation burials within a small cemetery excavated by soldiers during drainage works. Whimster (1981, 476) grouped these into two burials but his information about the location of cremated bones, etc. is inaccurate so Thompson's (1982) identification of four burials is followed here (no cremated remains are mentioned with Brinson's (1943) Urn E but it is described as an Urn like the other vessels that contained cremated bone). Thompson notes that as a rule, each burial comprised one larger and one smaller vessel (1982, 738). In every case, the form of the original grave cut is not described.In addition to the grave goods included here, quantities of spherical pellets/melted iron slag that were scattered throughout the fill surrounding two of the burials  (GIDs 50047; 72382) and flint flakes were found close to these burials (potentially used for propping the pottery vessels?)(Brinson 1943, 44).",2,1,,"Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)]",Cremation
50048,50048,,1,,Unknown,Unknown,"Dencher Wood, Charing (no ref.): A crouched burial with a 'Late Bronze Age' pot, potentially a bucket urn 'from Charing' located in Maidstone Museum. No further details available.",1,1,,Pot [Deverel-Rimbury (Bucket Urn)],Inhumation
50049,50049,,,,Missing,Unknown,"<Whimster 1981, 474>: Ordnance Survey record 'Belgic cremations' from the site, although published reports confirm only that a single intact pottery bowl was found associated with a mass of pottery fragments.",2,1,,"Pot [Belgic-Related Tradition (Other specified type)], Pot [Belgic-Related Tradition (Unknown/Unspecified)]",Cremation
50050,50050,,1,,Unknown,Unknown,<HER description>: A coarse-ware handmade cordoned jar containing a cremation. No further details available.,1,1,,Pot [Belgic-Related Tradition (Other fineware vessel)],Cremation
50052,50052,Secondary,1,CIST,Cist,Unknown,"<NRHE description, Sandown Hill>: Coarse 'Celtic' pottery fragments with one or two pieces of bone, embedded in burnt earth and charcoal'These were found within an oblong cist (potentially earlier, and apparently robbed).",1,1,,Assemblage,Cremation
50053,50053,,1,,Unknown,Unknown,"One of six graves excavated by Ponton in 1955 and described by Whimster (1981, 326). 'Each, or most' were accompanied by La Tene III pottery. No further contextual details are available - the excavation archive is missing.",1,1,,Pot (Unknown/Unspecified),Inhumation
50054,50054,Primary,1,BURIAL,Cist,Unknown,"Trott's Hall Garden: Cist found in field opposite Trott's Hall Garden with Beaker burial . There are likely other cists in the vicinity (vague references to objects and bones) but these were ploughed out or disturbed BM context description: contents of grave largely displaced: crouched adult inhumation on left with head south at D. 1.5m; green stain on bones suggests dagger at left elbow; original location of other objects (1892,0517.3-4) unknown",3,1,,"Arm Guard/Bracer, Dagger (Unknown/Unspecified), Dress Fastener",Inhumation
50058,50058,Unknown,,,Missing,Unknown,"Disturbed and ploughed-flat barrow. A cremation burial was also found within the barrow as well as over 100 sherds of probable beaker ware and a large number of flint artefacts, including an axe",4,1,,"Pot [Beaker], Axe/Axehead (Unknown/Unspecified), Scraper, Core",Cremation
50059,50059,Primary,1,BURIAL,Pit,Unknown,"Cremation pit located at the centre of the plough-damaged round barrow. Included the remains of two children 2 children, one aged 5—10 years, the other 1 1/2—2 years, and a fire-damaged piece of flint. Interpreted by the excavators as Late Bronze Age but the ring ditch fill included sherds of collared urn - potentially Early Bronze Age.",2,2,,"Tool (Unknown/Unspecified), Pot [Collared Urn]","Cremation, Cremation"
50060,50060,,1,,Pit,Unknown,"<Bristow 2001>: A cremation burial contained in an urn accompanied by a dish (or lid) and a bowl of Iron Age fabric, or possibly of the early part of the Roman period. It is assumed they were set in a pit in a flat grave.<Whimster 1981, 474>: Single cremation burial found m 1963. Calcined bones contained in a coarse-ware jar and accompanied by a curved-sided bowl and dish of gallo-belgic derived form.Potentially post-Conquest in date.",3,1,,"Pot (Unknown/Unspecified), Pot [Gallo-Belgic Ware (Specified type)], Pot [Gallo-Belgic Ware (Specified type)]",Cremation
50061,50061,Unknown,1,,Cist,Unknown,"Rectangular chalk cist at right-angles to and cutting into the line of an earlier (Beaker/EBA?) burial, containing the remains of an inverted MBA urn, and at a lower level, traces of a second urn.",2,1,,"Pot [Deverel-Rimbury (Bucket Urn)], Pot [Urn (Unknown/Unspecified)]",Cremation
50062,50062,,,,Missing,Unknown,Finds recovered in the mid 19th century. No contextual details available but assume to have been associated with at least one Late Iron Age cremation burial.,7,1,,"Brooch (Specified type), Brooch (Specified type), Brooch (Specified type), Brooch (Specified type), Brooch (Unknown/Unspecified), Brooch (Specified type), Brooch (Unknown/Unspecified)",Cremation
50065,50065,Secondary,,,Ground surface ,Unknown,"Mr. Hammond writes that recently a friend of his proceeded to open one of the mounds, when he found on the ground level a layer of burnt material containing fragments of calcined bone and a few potsherds (Payne 1902: lxii-lxiii)",1,1,,Pot [Urn (Unknown/Unspecified)],Cremation
50067,50067,,1,,Unknown,Unknown,"<HER description>: One of 'two Belgic/Romano-British cremation burials found side by side at a depth of 1.5ft. on Wick Farm, Elham, 1966.  Found by, and urns with bones presented to Royal Museum by K. R. Beeching, Dreal's Farm, Elham ... The burials were discovered when a post hole was being dug.",1,1,,Pot [Belgic-Related Tradition (Unknown/Unspecified)],Cremation
50068,50068,Secondary,1,,Mound,Unknown,Found near or in urn near the surface of the barrow mound and some evidence for pyre - in situ cremation below ; likely with Food Vessel ,1,1,,Pot [Food Vessel],Cremation
50069,50069,Unknown,1,,Missing,Unknown,Likely a pit burial but no further detail ,2,1,,"Assemblage, Pot [Beaker]",Inhumation
50071,50071,,1,,Unknown,Unknown,"<HER description>: Belgic pot containing cremated human remains. Donated to the Royal Museum, Canterbury, Acc. No. RM 8400",1,1,,Pot [Belgic-Related Tradition (Other specified type)],Cremation
50072,50072,,1,,Pit,Unknown,Cremation 2 (MacPherson-Grant 1980). Urned cremation in pit.,1,1,,Pot [Deverel-Rimbury (Bucket Urn)],Cremation
50073,50073,Primary,1,,Grave,Unknown,Central grave under barrow with inverted urned cremation ,1,1,,Pot [Collared Urn],Cremation
50074,50074,,1,,Unknown,Unknown,"<Whimster 1981, 478>: Burial 1; Calcined bones and bronze 'Colchester' brooch contained in a globular bowl (Birchall fig. 1, Nos 1-2).<Birchall 1965, 299>: Swarling (Kent) Grave I: This grave was found by the gravel-diggers before the excavations began (Bushe-Fox 1925, 4). The fibula was contained inside the urn.Graves 1-9 from this site formed a cluster. No further contextual details.",2,1,,"Pot [Belgic-Related Tradition (Other specified type)], Brooch (Specified type)",Cremation
50075,50075,Unknown,,,Missing,Unknown,"No contextual details. Burial group found eroding from cliff face in 1955 and collected by a member of the public.<HER site description>: a small fragment of a pedestal urn, platters, and a small cup and vase, together with some calcined bones (? burial) ... [the finder] found a defaced tin coin, dated to 100-50 B.C. by the BM, at the same spot in the same year.",5,1,,"Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other specified type)], Pot [Belgic-Related Tradition (Unknown/Unspecified)], Coin",Cremation
50076,50076,Primary,1,,Pit,Unknown,Urn set over burnt bones and a flint knife in pit - no evidence of barrow or mound,2,1,,"Knife, Pot [Collared Urn]",Cremation
50077,50077,Primary,1,,Grave,Unknown,In small pit ,2,1,,"Pot (Unknown/Unspecified), Pot [Incense Cup]",Cremation
50078,50078,,1,,Unknown,Unknown,No contextual details. Finds recovered potentially from a disused gravel pit including a 'pedestal urn and burnt bones' and a' small Belgic burial urn of reddish ware'. These finds were made from roughly the same location at two separate times. They almost certainly represent more than one burial but are grouped here as there is no clear evidence that the second urn was associated directly with human remains.,2,1,,"Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Unknown/Unspecified)]",Cremation
50079,50079,Secondary,,,Pit,Unknown,"In 1952 a secondary cremation in an inverted Middle Bronze Age biconical (sic Collared)  urn with lugs (Abercromby Type 3, Group 2) was found near the top of the mound. Secondary grave below the top of the mound, inserted into the barrow :in a hole lined at the bottom with large flints.",1,1,,Pot [Biconical Urn],Cremation
50080,50080,Primary,1,,Pit,E-W,In off-centre burial pit under barrow,1,1,,Strike A Light,Inhumation
50084,50081,,1,,Unknown,Unknown,One of four urns found in April 1924 between two corridor walls of Roman construction of which three contained burnt bone fragments (Winbolt 1925 fig.2 F2).,2,1,,"Pot [Belgic-Related Tradition (Other fineware vessel)], Brooch (Unknown/Unspecified)",Cremation
50086,50086,Unknown,1,,Pit,Unknown,Likely a disturbed pit grave under the barrow but no evidence as the pipeline trench disturbed it ,1,1,,Pot [Beaker],Inhumation
50087,50087,,,,Pit,Unknown,Cremations in pits cut into chalk covered by round barrow,2,2,,"Pot [Incense Cup], Animal Bone (Other)","Cremation, Cremation"
50088,50088,Unknown,1,,Grave,Unknown,Faussett recovered 'several prehistoric burial urns containing cremations' that were re-interred with Anglo-Saxon inhumation burials. This is interesting but vague. So likely the Saxon burials cut into and re-used EBA round barrows ,1,1,,Pot [Urn (Unknown/Unspecified)],Cremation
50090,50090,,1,,Pit,Unknown,Bucket urn cremation in a circular pit (c. 0.8m diameter) cut into the solid chalk.,1,1,,Pot [Deverel-Rimbury (Bucket Urn)],Cremation
50091,50091,Primary,1,,Pit,Unknown,<Ringwould>: Just east of the centre of the barrow floor was a circular chalk-cut pit c0.45m deep,5,1,,"Bead(s), Liner, Pot [Miniature/Pygmy Vessel], Pot [Food Vessel], Pot [Collared Urn]",Cremation
50092,50092,,1,,Grave,N-S,"Eastling Wood, Phase 3 Grave 687 (Bennett et al 2014, 29-30):Grave: oval, aligned N-Shr: The burial was that of a child, aged approximately eight years. Unusually, the child was laid on its back, with head to the north-east and tilted to face west. The legs were tightly flexed. The left upper arm was at an angle to the body, the forearm bent back across the rib cagewith the hand resting high on the chest. The right upper arm lay parallel to the body with forearm at right angles, resting vertically against the side of the grave. Skeleton 692 provided a date of 1737-1531 cal BC (lab no UBA20689)gg: a single flint flake and nineteen shells of porsphaera globularis, a common chalk fossil, were recovered from the grave fill. Many of the fossil shells were pierced - they possibly represent a necklace. The latter were concentrated close to the skull.",2,1,,"Flake, Necklace",Inhumation
50094,50094,,1,,Unknown,Unknown,"<Sholden Bank watermain (Stebbing, 1936, 235-6)>:The housing  site on Sholden Bank between Deal and Great Mongeham parishes, and referred to as in the latter parish in Vol. XLVII, p. 245, has now given evidence of occupation during this period. Workmen laying a water main along a new road cut into a cremation deposited in a large bucket urn. This was ornamented with two raised cordons finger-impressed. Many missing fragments have unfortunately prevented exact measurements being taken. A short section of a deep V-shaped trench has been opened up near the above burial but proved barren except for a few burnt flints.",1,1,,Pot [Deverel-Rimbury (Bucket Urn)],Cremation
50095,50095,Primary,1,,Pit,SW-NE,"In flat grave oriented ENE/WSW, 3m x 1.2m x 1.5m deep",1,1,,Pot [Beaker/Food Vessel Hybrid],Inhumation
50096,50096,,1,,Missing,Unknown,"Denne's brickfield, Dover: V-shaped cavity (possibly a ditch?) containing five urned cremation burials of umknown later prehistoric date. Surrounded by large flints from the chalk and lots of burnt earth and a layer of flint flakesSince the specific context of these burials is not known, these are recorded within one grave.",6,5,,"Pot (Unknown/Unspecified), Pot (Unknown/Unspecified), Pot (Unknown/Unspecified), Pot (Unknown/Unspecified), Pot (Unknown/Unspecified), Quernstone","Cremation, Cremation, Cremation, Cremation, Cremation"
50097,50097,,1,,Pit,Unknown,"<HER description>: The 1997 burial (Modern grave 2E 6142) contained two unburnt Colchester brooches and five pots, including an imported ovoid beaker in Terra Rubra.  It is clear that the cremated bone had never been held within any of the pots with the pots resting on top.  The bones seem to have been from a young adult female.The initial find was made by a cemetery grave digger. The discovery was then inspected and excavated by Parfitt who identified a grave pit and recovered finds from this and the adjacent spoil heaps. He made the following observations:<Parfitt 1999, 382>: A roughly circular pit about 0.5m in diameter and 0.18m deep, with sloping sides and a rounded base had originally been dug into the surface of the natural brickearth to contain the deposit. About one-third of this pit had subsequently been cut away in the recent grave digging. Where undisturbed, it could be seen that the base of the original burial pit was covered with a layer of cremated bone, resting on top of which were several pottery vessels (Pots  b, c and d) ...The original pot recovered by Mr Oku (a) had lain on the northeasternside of the pit, apparently upside-down. It consisted of a complete decorated ovoid beaker in Terra Rubra ... Lying on the base of the grave, it was clear that the cremated bone had never been held within any of the pots ... Most probably, the bones [and the brooches] were originally contained within a cloth or leather bag.",7,1,,"Brooch (Specified type), Brooch (Specified type), Pot [Gallo-Belgic Ware (Specified type)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)]",Cremation
50098,50098,,1,,Grave,SE-NW,"<Parfitt 1995, Mill Hill, Deal, Warrior burial (Grave 112)>: See Parfitt (1995, 18-20) for full description. All grave goods potentially made and used at the same time (Stead in Parfitt 1995, 88).<Celtic Art db>",7,1,,"Crown/Diadem, Sword, Shield, Brooch (Specified type), Strap fitting, Strap fitting, Scabbard",Inhumation
50099,50099,,1,,Grave,SE-NW,"Philp (2012), Great Mongeham Burial 2: subrectangular grave cut, plough and machine damaged, oriented SE-NW (1.17 x 0.8 x 0.12m). Inhumation burial crouched on back with legs to the right, probably a juvenille, aged 10-15 years. A rim sherd from a collared urn was recovered from the disturbed deposit associated with this grave.",1,1,,Pot [Collared Urn],Inhumation
50100,50100,Primary,1,,Pit,NE-SW,"In a pit but with no trace of a barrow over it - flat pit grave; almost 2m deep , and 1.2m wide",2,1,,"Pot [Food Vessel], Pot [Food Vessel]",Inhumation
50102,50102,Primary,1,,Pit,Unknown,"Circular grave pit cut into chalk. Included upper part of large barrel-shaped urn, probably inverted (lower part ploughed out) (Grinsell 1992, 375).",1,1,,Pot (Unknown/Unspecified),Cremation
50103,50103,,1,,Grave,NW-SE,"Bradstow School Barrow 1 Grave P (Hurd 1911): 'In an oval grave marked P on the plan, was found a skeleton with the elbows resting on the knees, and hands up to face. It was so contracted as to occupy a space only 2 ft. 6 in. long. Above the head was a flint flake and near the feet were some nodules of iron pyrites, which may probably have been used for striking fire.'",2,1,,"Flake, Pebble",Inhumation
50104,50104,,1,,Pit,Unknown,"<Whimster 1981, 300-1>: Excavation of an Iron Age settlement site by T.C. Champion in 1971-2 revealed 2 pits containing inhumations. Dating of the burials awaits analysis of associated pottery sherds from pit-fillings. 1: Skeleton lying flexed on left side on the floor of Pit 107 with arms lying out from the body. The head of the skeleton was resting on a stone which in turn rested on the skeleton of a dog whose body lay beneath the skull and upper chest of the human. The dog's head, which lies to the west of the human skull, had also been placed over a stone. Orientation; ENEThe second pit burial was not associated with any objects.(NB HER record TR 36 NE 609 represents specifically this specific excavation/burial group at Dumpton Gap - finds from this record are collated here)",3,1,,"Animal Burial (Specified type), Pillow, Pillow",Inhumation
50105,50105,,1,,Grave,Unknown,Inhumation burial with a ribbed bracelet and two bronze armlets in a chalk cut grave.,4,1,,"Armlet, Armlet, Bracelet/Bangle (Unknown/Unspecified), Armlet",Inhumation
50108,50108,Primary,,,Pit,N-S,"Grave 1 was 1m x 0.5m x 0.33m deep, oriented NS",1,1,,Pot [Collared Urn],Inhumation
50109,50109,,,GRAVE,Grave,Unknown,"Two burials were found in a large pit in 1949. They were originally thought to be Bronze Age in date, but dating of a bowl found in one of the burials indicated they were from the Neolithic. Material from the graves included potsherds, charcoal and oyster shells.Two Neolithic burials, one above the other, found in large pit (3m diam)- possibly a re-used storage pit. Stebbing (1951, 51-2) notes that this comprised: 'crouched burial, with an extended one above it ...The actual [pit] was oval with nearly parallel sides, and orientated N.E. by E. and S.W. by S. The depth was 5 ft. 1 in. to 5 ft. 8 in. below the surface, with surface dimensions, length 9 ft. by 3 ft. 11 in., ... The lower [burial] was at the N.E. end of the [pit] with the legs bent under  the body. Over it were the crushed sherds of a large black-ware hand-made pot with a slightly indicated bead rim. Partial  restoration, with indication of food contained in it may be possible. Associated objects were many scraps of charcoal in the solidly packed soil above the body, some masses of hardened earth, an oyster shell and two surface-bleached flakes of flint from nodules.The second dismembered skeleton lay at a depth of 3 ft. 3 in. from the surface, and had the skull behind and to the N.W. of the earlier one. It was detached, with the leg bones in a scattered state towards theS.W. end of the grave. The evidence seemed to show that with some burning a dismembered body had been deposited above the crouched one.NB the assemblage of charcoal, an oyster shell and flint flakes is not recorded as a gg here (but potentially could be)",1,2,,Pot [Plain Bowl],"Inhumation, Inhumation"
50111,50111,Primary,1,PIT,Pit,Unknown,A sub-circular ring ditch with possibly a primary Beaker burial and later burial of a partial skeleton.,1,2,,Assemblage,"Inhumation, Inhumation"
50112,50112,Primary,1,,Pit,Unknown,Disturbed crouched inhumation in off-central grave within ring-ditch.,3,1,,"Pot [Beaker], Button, Knife",Inhumation
50114,50114,Primary,1,GRAVE,Pit,Unknown,Flat pit grave with female inhumation and Neolithic flint flakes. Neolithic pottery sherds were encountered next to the burial ,1,1,,Assemblage,Inhumation
50115,50115,,1,,Ground surface ,Unknown,"Six inhumations, laid E-W on the old beach surface beneath a low earthen mound (c. 1m high). The mound contained a large pot which was shattered during the excavation. The latter was dated to 200-300 BC.",1,6,,Pot (Unknown/Unspecified),"Inhumation, Inhumation, Inhumation, Inhumation, Inhumation, Inhumation"
50116,50116,Primary,1,,Pit,Unknown,"A flat grave 1.8m long cut 0.6m into the chalk, no traces of a barrow noted ",1,1,,Pot [Beaker],Inhumation
50118,50118,Unknown,1,,Pit,W-E,Flat grave with crouched inhumation ,1,1,,Pot [Beaker],Inhumation
50119,50119,Primary,1,,Pit,Unknown,"Pit grave found at a depth of c. 0..8m under the lawn.  Soil around the skeleton was moist with much red/brown staining on bones, which could be blood or more likely haematite. The skeleton was lying on, and was surrounded by, a number of flint nodules with some worked flints also present. The fill of the grave contained fragments of burnt tabular flint and pot sherds, some under the pelvis. ",2,1,,"Pot [Beaker], Liner",Inhumation
50120,50120,Unknown,1,,Cist,Unknown,Crouched inhumation in cist under barrow with urn,1,1,,Pot [Urn (Unknown/Unspecified)],Inhumation
50124,50124,Unknown,1,,Grave,E-W,"Monkton (Area 7) Grave 2079 (Bennett et al 2008, 10-1): Subrectangular grave (0.85 x 1.10 x 0.54m), aligned E-W. Contained badly decayed crouched skeleton, probably of an elderly adult man, with his head to the E (facing N). The pit was described as far too large for the skeleton. The grave fill included over 100 sherds of Early Neolithic pottery from up to 20 bowls, together with flint flakes and a retouched flint knife, chalk fragments, burnt clay, oyster and mussel shell. This could represent a deposit of settlement debris (the pottery was extremely worn). However this material is still unusual and could have operated as a form of grave good. The pottery and flint assemblages are recorded here as potential gg. The grave itself is flagged up as representing 'Neolithic complexities'.",2,1,,"Assemblage, Assemblage",Inhumation
50125,50125,Primary,1,,Grave,NE-SW,"Beauforts, North Foreland Avenue: In central rectangular grave. A small ledge had been cut into the western corner of the grave. The grave backfill contained two finds, a flint flake and a sherd of Beaker pottery, as well as mussel, whelk and oyster shells. It is thought that there was some form of grave structure of organic material, possibly a hollowed out tree trunk or a wattle-built construction",2,1,,"Pot [Beaker], Coffin",Inhumation
