GID_date,C14_date_BP,C14_date_StDev,C14_date_calBC,C14_calibration_programme,C14_calibration_curve,Dating_lab,Lab_date_ID,HER_material_dated,Material_dated,C14_combined,Dating_notes
60000,4065,45,2860 to 2470 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24958,charcoal,,Uncal: 4065±45; Cal: 2860 to 2470 cal BC,Reference: Ashmore 1997Species: betulaSample desc.: A single piece of birch charcoal from a shallow feature in B120 (inner area of structure to east of stone ring). Under paving for which it provides a TPQ.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.1Delta-13C error: NullDelta-r: NullDelta-r error: Null
60000,4095,45,2870 to 2490 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24969,charcoal,,Uncal: 4095±45; Cal: 2870 to 2490 cal BC,"Reference: Ashmore 1997Sample desc.: A single piece of willow charcoal from the fill of an early pit H775. Undoubtedly residual, but provides a TPQ for Stone 42 of the Stone Ring.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60000,4205,45,2900 to 2620 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24970,charcoal,,Uncal: 4205±45; Cal: 2900 to 2620 cal BC,Reference: Ashmore 1997Species: Corylus avellanaSample desc.: A single piece of hazel charcoal from an interrupted truncated slot under the green clay under the cairn. Likely to be residual. Provides a TPQ for the slot and overlying cairn.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -27.4Delta-13C error: NullDelta-r: NullDelta-r error: Null
60000,2640,65,1050 to 400 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1403,peat,,Uncal: 2640±65; Cal: 1050 to 400 cal BC,Reference: AshmoreSpecies: NullSample desc.: Call80/54/244; Humic acid fraction of basal peat overlying area near main setting. Collected May 1980.Researcher: AshmoreSponsor: Historic ScotlandDate completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null
60000,4140,45,2880 to 2580 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24959,charcoal,,Uncal: 4140±45; Cal: 2880 to 2580 cal BC,Reference: Ashmore 1997Species: betulaSample desc.: A single piece of birch charcoal from an early cultivation soil beneath the two main upper OGS. The sample came from an area of charcoal concentration which gave the impression that a fire had been lit on a cultivation surface then dug over once.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.3Delta-13C error: NullDelta-r: NullDelta-r error: Null
60000,4205,50,2910 to 2620 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24960,charcoal,,Uncal: 4205±50; Cal: 2910 to 2620 cal BC,"Reference: Ashmore 1997Species: Corylus avellanaSample desc.: A single piece of hazel charcoal from a layer of dark brown soil with abundant ard marks commonly filled with charcoal rich material, which seems to be associated with dilapidation of the chambered cairn. See also AA-24961, AA-24962 and AA-24963Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60000,4055,50,2860 to 2460 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24961,charcoal,,Uncal: 4055±50; Cal: 2860 to 2460 cal BC,"Reference: Ashmore 1997Species: betulaSample desc.: A single piece of birch charcoal from a layer of dark brown soil with abundant ard marks commonly filled with charcoal rich material, which seems to be associated with dilapidation of the chambered cairn. See also AA-24960, AA-24962 and AA-24963Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -30.6Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60000,3555,50,2030 to 1740 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24962,charcoal,,Uncal: 3555±50; Cal: 2030 to 1740 cal BC,"Reference: Ashmore 1997Species: betulaSample desc.: A single piece of birch charcoal from a layer of dark brown clay with charcoal thought to be the equivalent of layer 315 which contained abundant beaker sherds and seems to be associated with dilapidation of the chambered cairn. Ard marks became progressively more visible as this layer was removed. The charcoal may have been in the underlying layer and have been brought up by ard ploughing, or may have been introduced at the time of ploughing. See also AA-24960, AA-24961 and AA-24963Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -27.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60000,4115,45,2880 to 2500 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24963,charcoal,,Uncal: 4115±45; Cal: 2880 to 2500 cal BC,"Reference: Ashmore 1997Species: betulaSample desc.: A single piece of birch charcoal from the bottom part of layer 315, which was ard marked, had many beaker sherds in it and seems to be associated with dilapidation of the chambered cairn. The layer contained a residual Neolithic potsherd.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60000,4185,45,2890 to 2600 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24964,charcoal,,Uncal: 4185±45; Cal: 2890 to 2600 cal BC,"Reference: Ashmore 1997Species: betulaSample desc.: A single piece of birch charcoal from the layer of green clay on which rested the base layer of the cairn. Presumably contemporary with erection of cairn, though maybe residual. Should provide a TPQ.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60000,4385,50,3330 to 2890 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24965,charcoal,,Uncal: 4385±50; Cal: 3330 to 2890 cal BC,Reference: Ashmore 1997Species: Corylus avellanaSample desc.: A single piece of hazel charcoal related to a seeming activity layer and precedes the soils of F615 F622 and F643 which may be late in development.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -27.2Delta-13C error: NullDelta-r: NullDelta-r error: Null
60000,4210,50,2910 to 2620 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24966,charcoal,,Uncal: 4210±50; Cal: 2910 to 2620 cal BC,Reference: Ashmore 1997Species: betulaSample desc.: A single piece of birch charcoal from the infill of the cairn under H 728 and above H 741; it is cut H736 from which a date is also being obtained.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.1Delta-13C error: NullDelta-r: NullDelta-r error: Null
60000,4050,45,2860 to 2460 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24967,charcoal,,Uncal: 4050±45; Cal: 2860 to 2460 cal BC,"Reference: Ashmore 1997Species: Corylus avellanaSample desc.: A single piece of hazel charcoal interpreted as a possible satellite burial in the cairn, but more likely to be a smashed pot in a layer of the chambered cairn.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60000,3575,45,2040 to 1770 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24968,charcoal,,Uncal: 3575±45; Cal: 2040 to 1770 cal BC,Reference: Ashmore 1997Sample desc.: A single piece of willow charcoal from a green dark brown sandy clay with charcoal and rotted stones. It came from under the cultivation soil with ard marks and beaker sherds 707 and it lies above green clay. It is cut by the trench for the later kerb.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.8Delta-13C error: NullDelta-r: NullDelta-r error: Null
60278,2170,50,cal AD 120 to 420,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2015,shell,,Uncal: 2170±50; Cal: cal AD 120 to 420,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F3., above the structures PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.3Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2220,50,70 to 390 cal AD,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2016,shell,,Uncal: 2220±50; Cal: 70 to 390 cal AD,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F16. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.9Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2335,50,60 cal BC to cal AD 240,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2017,shell,,Uncal: 2335±50; Cal: 60 cal BC to cal AD 240,"Reference: BarberSpecies: NullSample desc.: Shells in sand 79/F24, perhaps contemporary with Structures 1 and 2. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.3Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2330,50,60 cal BC to cal AD 250,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2018,shell,,Uncal: 2330±50; Cal: 60 cal BC to cal AD 250,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F33. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2345,50,100 cal BC to cal AD 240,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2019,shell,,Uncal: 2345±50; Cal: 100 cal BC to cal AD 240,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F37. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.6Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2500,50,360 cal BC to 60 AD,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2020,shell,,Uncal: 2500±50; Cal: 360 cal BC to 60 AD,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F74, cultivation at base of the site PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2325,50,50 cal BC to cal AD 250,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2021,shell,,Uncal: 2325±50; Cal: 50 cal BC to cal AD 250,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F87, cultivation, perhaps contemporary with Structures 1 and 2 PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2310,50,50 cal BC to 260 cal AD,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2022,shell,,Uncal: 2310±50; Cal: 50 cal BC to 260 cal AD,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F218, revetment wall, perhaps contemporary with Structures 1 and 2 PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 0.9Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2320,50,50 cal BC to cal AD 250,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2023,shell,,Uncal: 2320±50; Cal: 50 cal BC to cal AD 250,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F231. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2170,50,cal AD 120 to 420,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2024,shell,,Uncal: 2170±50; Cal: cal AD 120 to 420,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F257 over wheelhouse 5. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2285,50,40 cal BC to 330 AD,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2025,shell,,Uncal: 2285±50; Cal: 40 cal BC to 330 AD,"Reference: BarberSpecies: NullSample desc.: Shells from  a midden 79/F272 over wheelhouse 5. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2185,50,cal AD 80 to 410,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2026,shell,,Uncal: 2185±50; Cal: cal AD 80 to 410,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F332, Structure 7. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2370,50,150 cal BC to cal AD 220,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2027,shell,,Uncal: 2370±50; Cal: 150 cal BC to cal AD 220,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F339, cultivation under a wheelhouse. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2270,50,cal AD 0 to 340,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2028,shell,,Uncal: 2270±50; Cal: cal AD 0 to 340,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/F351, Structure 7. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 2.9Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2410,50,200 cal BC to cal AD 130,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2161,shell,,Uncal: 2410±50; Cal: 200 cal BC to cal AD 130,"Reference: BarberSpecies: NullSample desc.: Shells in a midden 79/464/465. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.5Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60278,2090,50,350 cal BC to cal AD 30,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2549,charred grain,,Uncal: 2090±50; Cal: 350 cal BC to cal AD 30,Reference: BarberSpecies: NullSample desc.: Charred grain from layers 79/270/268/255/373/ in a midden.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: -24.6Delta-13C error: NullDelta-r: NullDelta-r error: Null
60278,2160,80,390 cal BC to cal AD 0,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2550,charred grain,,Uncal: 2160±80; Cal: 390 cal BC to cal AD 0,Reference: BarberSpecies: NullSample desc.: Charred grain from layer 79/87/203/217/204/69 in a midden.Researcher: BarberSponsor: Historic ScotlandDate completed: NullDelta-13C: -23.9Delta-13C error: NullDelta-r: NullDelta-r error: Null
60067,4060,135,2600 to 1500 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1088,shell,,Uncal: 4060±135; Cal: 2600 to 1500 cal BC,"Reference: MacLean and Shepherd 1978Species: NullSample desc.: Shell from a midden. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: MacLean and Shepherd 1978Sponsor: Historic ScotlandDate completed: NullDelta-13C: 2.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,2320,50,50 cal BC to cal AD 250,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2165,shell,,Uncal: 2320±50; Cal: 50 cal BC to cal AD 250,"Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Shell from sample 81/F 113 of a shell sand layer in a midden. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: 2.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,2250,50,AD 20 to 350,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2166,shell,,Uncal: 2250±50; Cal: AD 20 to 350,"Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Shell from sample 81/F 265 of a shell sand layer in a midden. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,2240,55,AD 20 to 380,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1960,shell,,Uncal: 2240±55; Cal: AD 20 to 380,"Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Shell from sample 81/F 42 of a shell sand layer in a midden under a quern and walls. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.5Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,2390,55,170 cal BC to cal AD 220,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1961,shell,,Uncal: 2390±55; Cal: 170 cal BC to cal AD 220,"Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Shell from sample 81/F 68 of a cultivated deposit. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,2155,50,cal AD 120 to 430,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1962,,,Uncal: 2155±50; Cal: cal AD 120 to 430,Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Burial; sample 81/F 46 of a shell sand layer in a midden. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.3Delta-13C error: NullDelta-r: NullDelta-r error: Null
60243,2375,55,170 cal BC to cal AD 220,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1963,shell,,Uncal: 2375±55; Cal: 170 cal BC to cal AD 220,"Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Shell from sample 81/F 239 of a midden. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: 4.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,2110,80,cal AD 120 to 540,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1964,shell,,Uncal: 2110±80; Cal: cal AD 120 to 540,"Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Shell from sample 81/F 1 of a shell sand layer in a midden above structures. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: 1.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,3285,60,1290 to 840 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1966,shell,,Uncal: 3285±60; Cal: 1290 to 840 cal BC,"Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Shell from midden. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD) and it is not safe simply to correct the age by 405 C14 years. CHECK NEEDED to see if d13C value really positive or '-' simply not entered by me.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: 2.1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,1970,80,170 cal BC to cal AD  230,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2554,charred grain,,Uncal: 1970±80; Cal: 170 cal BC to cal AD  230,Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Charred grain from sample 81/F 146.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: -23.4Delta-13C error: NullDelta-r: NullDelta-r error: Null
60243,2260,80,520 to 50 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2555,"bone, animal",,Uncal: 2260±80; Cal: 520 to 50 cal BC,Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Animal bone from sample 81/F 42/X Layer in midden.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: -22.5Delta-13C error: NullDelta-r: NullDelta-r error: Null
60243,3360,80,1880 to 1450 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2556,"bone, animal",,Uncal: 3360±80; Cal: 1880 to 1450 cal BC,"Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Animal bone. PROBLEM: The  d13C value is unusually negative, more like that of some burnt or cremated bone, and it seems unsafe to use the date.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: -26.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60243,2900,140,1450 to 800 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2558,"bone, animal",,Uncal: 2900±140; Cal: 1450 to 800 cal BC,Reference: Barber 1984b; Barber et alSpecies: NullSample desc.: Animal bone.Researcher: Barber 1984b; Barber et alSponsor: Historic ScotlandDate completed: NullDelta-13C: -22Delta-13C error: NullDelta-r: NullDelta-r error: Null
