GID_ref,HER_reference_ID,HER_reference_type,Reference_type,Authors,Year,Main_title,Editors,Edited_volume_title,Journal_title,Journal_volume,Monograph_series_details,Start_page,End_page,Publisher,Place_of_publication,Report_no,OASIS_no,DOI,URL,Date_accessed
50029,SKE31199,Unpublished document,Report,Canterbury Archaeological Trust Ltd,2014,"Excavation report. Kingston Downs Anglo-Saxon barrow field cemetery, Kingston, Canterbury",,,,,,,,,,,,,,
50030,SKE11866,Unpublished document,Report,"Cross, R. P.",1991,A256 Whitfield to Eastry Improvement Road: Initial Archaeological Field Survey,,,,,,,,,,,,,,
50031,SKE7101,Unpublished document,Report,Canterbury Archaeological Trust,1995,White Caps Barrow (Site 3) Assessment,,,,,,,,,,,,,,
50032,SKE7108,Unpublished document,Report,Oxford Archaeological Unit,1996,"Proposed Supermarket Development, West Street, Deal, Kent",,,,,,,,,,,,,,
50033,SKE8128,Article in serial,Journal Article,"Parfitt, K.",1989,A Roman cremation and other finds From Deal,,,Kent Archaeological Review,96 (Summer),,123,128,,,,,,,
50034,SKE8130,Article in serial,Journal Article,"Parfitt, K.",2001,"Another Cremation Burial off Hamilton Road, Deal",,,Kent Archaeological Review,146 (Winter),,124,127,,,,,,,
50035,SKE8131,Article in serial,Journal Article,"Parfitt, K.",1999,"Researches  Discoveries: A ""Belgic"" Cremation Deal",,,Archaeologia Cantiana,119,,381,389,,,,,,http://www.kentarchaeology.org.uk/Research/Pub/ArchCant/119-1999/Contents.htm,26/06/2017
50036,SKE7411,Unpublished document,Report,Canterbury Archaeological Trust,1999,"St. Richards Road, Deal,  Assessment of Early Chalk Extraction & Previous Archaeological Excavations",,,,,,,,,,,,,,
50037,SKE17701,Article in serial,Journal Article,"Philp, B.",2012,"A Bronze Age barrow at Great Mongeham, Deal",,,Kent Archaeological Review ,189,,221,226,,,,,,,
50038,SKE18292,Article in serial,Journal Article,"Hurd, H.",1914,Late-Celtic Discoveries at Broadstairs,,,Archaeologia Cantiana,30,,309,312,,,,,,http://www.kentarchaeology.org.uk/Research/Pub/ArchCant/Vol.030 - 1914/page v + vi contents.htm,04/07/2017
50039,SKE12568,Unpublished document,Report,Canterbury Archaeological Trust,2004,"An Archaeological watching brief at Bradstow School, Dumpton Park Drive, Broadstairs, Kent",,,,,,,,,,,,,,
50040,SKE12812,Unpublished document,Report,Canterbury Archaeological Trust,2003,"Archaeological Evaluation Report: Bradstow School, Broadstairs",,,,,,,,,,,,,,
50041,SKE17926,Unpublished document,Report,Trust for Thanet Archaeology,2009,"Bradstow School, 34 Dumpton Park drive, Broadstairs, Kent: Archaeological Evaluation Report",,,,,,,,,,,,,,
50042,SKE17932,Unpublished document,Report,"Moody, G.",2009,"Bradstow School, 34 Dumpton Park Drive, Broadstairs, Kent: Interim Archaeological Report",,,,,,,,Trust for Thanet Archaeology,Broadstairs,Project No. BSB 09,BSB 09,,,
50043,SKE24842,Unpublished document,Report,"Moody, G.; Boast, E.",2009,"Bradstow School, 34 Dumpton Park Drive, Broadstairs, Kent: Archaeological Assessment Report",,,,,,,,Trust for Thanet Archaeology,Broadstairs,Project No. BSB 09,,,,
50044,SKE31557,Unpublished document,Report,Trust for Thanet Archaeology,2015,"Archaeological Excavation Report: Service Trench, Bradstow School, 34 Dumpton Park Drive, Broadstairs, Kent",,,,,,,,,,,,,,
50045,SKE31581,Unpublished document,Report,Trust for Thanet Archaeology,2015,Interim update on Archaeological investigation on route of service trench at Bradstow School Broadstairs,,,,,,,,,,,,,,
50046,SKE18290,Unpublished document,Report,Trust for Thanet Archaeology,2006,"1 Seacroft Road, Broadstairs, Kent: Archaeological Report",,,,,,,,,,,,,,
50047,SKE18291,Monograph,Book,"Minter, K.; Herbert, E.",1973,Archaeological Discoveries in Broadstairs and St. Peter's up to 1972,,,,,,,,Broadstairs and St. Peter's Archaeological Society,Broadstairs,,,,,
50048,SWX7091,Unpublished document,Report,Trust For Thanet Archaeology,1995,"Overall assessment of the pottery and other finds from the 1907-9 South Cliff Parade, 1971-2 and 1974 Dumpton Gap and 1992-94 South Dumpton Downs excavations",,,,,,,,Trust For Thanet Archaeology,,,,,,
50049,SKE11846,Collection,Unknown,Trust for Thanet Archaeology,1987,Isle of Thanet Archaeological Unit Sites and Monuments Archive,,,,,,,,,,,,,,
50050,SKE11892,Unpublished document,Report,Trust for Thanet Archaeology,1989,"Rescue Excavations at Ozengell/Lord of the Manor, Ramsgate",,,,,,,,,,,,,,
50051,SWX7109,Monograph,Report,"Macpherson-Grant, N.",1977,"The Excavation of a Neolithic/Bronze Age Site at Lord of The Manor, Haine Road, Ramsgate",,,,,,,,Trust For Thanet Archaeology,,,,,,
50052,SKE24336,Unpublished document,Report,"Hart, P.",2005,"'Beauforts', North Foreland Avenue, Broadstairs, Kent: Archaeological Report",,,,,,,,Trust for Thanet Archaeology,,,,,,
50053,SKE11884,Article in serial,Journal Article,"Perkins, D. ;Gibson, A.",1991,"A Beaker Burial From Manston, Near Ramsgate",,,Archaeologia Cantiana,108,,,,,,,,,,
50054,SKE11885,Article in serial,Journal Article,"Macpherson-Grant, N.",1968,"Investigations and Excavations During the Year: A Beaker From Cliffsend, Ramsgate",,,Archaeologia Cantiana,83,,,,,,,,,,
50055,SKE6721,Unpublished document,Report,Trust for Thanet Archaeology,1989,"Weatherlees Hill and Ebbsfleet Farm, Minster, Thanet: The Archaeological Implications",,,,,,,,,,,,,,
50056,SKE6724,Unpublished document,Report,Trust for Thanet Archaeology,1990,"Archaeological Remains at Ebbsfleet Farm, Ebbsfleet, Ramsgate",,,,,,,,,,,,,,
50057,SKE12056,Unpublished document,Report,Trust for Thanet Archaeology,1995,Hartsdown Community Woodland: Archaeological Evaluation,,,,,,,,,,,,,,
50058,SWX7357,Article in serial,Journal Article,Perkins DRJ,1996,"Evaluation Work Carried out in 1995, Hartsdown Community Woodland Scheme, Margate",,,,,,,,,,,,,,
50059,SKE12037,Unpublished document,Report,Canterbury Archaeological Trust,1994,A256 Whitfield to Eastry Improvement Road: Report on the Archaeological Evaluations 1994,,,,,,,,,,,,,,
50060,SKE12079,Unpublished document,Report,Canterbury Archaeological Trust,1996,Whitfield-Eastry Bypass 1995: Assessment Report on Excavations at Site 2 (Church Whitfield Crossroad),,,,,,,,,,,,,,
50061,SKE8356,Unpublished document,Report,Canterbury Archaeological Trust,1994,256 Whitfield to Eastry Improvement Road: Report on Archaeological Evaluations 1992-1993,,,,,,,,,,,,,,
50062,SKE8174,Unpublished document,Report,Dover Archaeological Group,1994,"'Belgic' Pottery associated with the Chilham Mirror cremation burial, Chilham",,,,,,,,,,,,,,
50063,SWX6773,Unpublished document,Report,CgMs Consulting,1997,"An Archaeological Investigation of Land at Joyce Green Lane, Dartford",,,,,,,,,,,,,,
50064,SWX6905,Unpublished document,Report,"Moore, P & Gollop, A. (CGMS)",1997,"An Archaeological Investigation of Land at Joyce Green Lane, Dartford",,,,,,,,,,,,,,
50065,SKE16419,Unpublished document,Report,Oxford Archaeological Unit,2000,Boys Hall Balancing Pond Post Excavation Assessment Report,,,,,,,,,,,,,,
50066,SKE6945,Unpublished document,Report,Oxford Archaeological Unit,1999,"Boys Hall Balancing Pond, Sevington, Kent ARC BHB 99",,,,,,,,,,,,,,
50067,SKE16480,Unpublished document,Report,Oxford Archaeological Unit,2001,Tutt Hill Post Excavation Assessment Report,,,,,,,,,,,,,,
50068,SKE16482,Unpublished document,Report,"Barclay, A.; Brady, K.",2006,"The Prehistoric Landscape at Tutt Hill, Westwell, Kent",,,,,,,,Oxford Wessex Archaeology,Oxford,,,https://doi.org/10.5284/1008716,http://archaeologydataservice.ac.uk/archives/view/ctrl/tutisr/downloads.cfm?CFID=9fba6ee6-d291-4b36-bf35-9677b5e983e5&CFTOKEN=0,25/09/2017
50069,SKE16485,Unpublished document,Report,"Morris, E.",2005,The Late Prehistoric Pottery from Excavations Along Section 1 of the CTRL,,,,,,,,,,,,https://doi.org/10.5284/1000230,,25/09/2017
50070,,Unpublished document,Report,"Allen, M.; Barclay, A.",2006,"The Radiocarbon Dates from Whitehill Road Barrow, Longfield and Newbarn, Kent",,,,,,,,Oxford Wessex Archaeology,Oxford,,,https://doi.org/10.5284/1000230,http://archaeologydataservice.ac.uk/archives/view/ctrl/datspr/downloads.cfm?CFID=9fba6ee6-d291-4b36-bf35-9677b5e983e5&CFTOKEN=0,26/09/2017
50071,SKE16555,Unpublished document,Report,"Morris, E.",2005,The Late Prehistoric Pottery from Excavations Along Section 1 of the CTRL,,,,,,,,,,,,https://doi.org/10.5284/1000230,,08/08/2019
50072,SKE16596,Unpublished document,Report,Oxford Wessex Archaeology Joint Venture,2006,Prehistoric Worked Flint from Section 1 of the Channel Tunnel Rail Link,,,,,,,,,,,,,,
50073,SKE6968,Unpublished document,Report,Oxford Archaeological Unit,1999,"Tutt Hill, Westwell, Kent: Archaeological Evaluation Report",,,,,,,,,,,,,,
50074,SKE16473,Unpublished document,Report,"Hayden, C.",2000,Chapel Mill: Post Excavation Assessment Report,,,,,,,,,,,,https://doi.org/10.5284/1008816,,29/09/2017
50075,SKE16486,Unpublished document,Report,Oxford Wessex Archaeology Joint Venture,2006,The Later Prehistoric Pottery from Excavations Along Section 1 of the CTRL,,,,,,,,,,,,,,
50076,SKE6999,Unpublished document,Report,Oxford Archaeological Unit,1997,"Chapel Mill, Lenham, Kent Archaeological Evaluation Report",,,,,,,,,,,,,,
50077,SKE7000,Unpublished document,Report,Oxford Archaeological Unit,1999,"Chapel Mill, Lenham, Kent Strip, Map and Sample Archaeological Works Interim Report Final",,,,,,,,,,,,,,
50078,SKE13723,Unpublished document,Report,Oxford Archaeological Unit,2000,"CTRL South of Snarkhurst Wood, Hollingbourne, Post excavation assessment report",,,,,,,,,,,,,,
50079,SKE16387,Unpublished document,Report,"Diez, V.; Booth, P.",2006,"The late prehistoric and Roman landscape at Snarkhurst Wood, Hollingbourne, Kent: CTRL Integrated Site Report Series",,,,,,,,Oxford Wessex Archaeology,Oxford,,,https://doi.org/10.5284/1009795,,06/07/2017
50080,SKE16488,Unpublished document,Report,"Barclay, A.; Booth, P.; Edwards, E.; Mepham, L.; Morris, E.",2006,"Ceramics from Section 1 of the Channel Tunnel Rail Link, Kent",,,,,,,,Oxford Wessex Archaeology,Oxford,,,https://doi.org/10.5284/1000230,http://archaeologydataservice.ac.uk/archives/view/ctrl/cerswr/downloads.cfm,06/10/2017
50081,SKE7011,Unpublished document,Report,Oxford Archaeological Unit,1996,"Land South of Snarkhurst Wood, Hollingbourne, Kent Archaeological Evaluation Report",,,,,,,,,,,,,,
50082,SKE7012,Unpublished document,Report,Oxford Archaeological Unit,1999,"South of Snarkhurst Wood, Hollingbourne Wood, Kent Strip Map and Sample Interim Report Final",,,,,,,,,,,,,,
50083,SKE7043,Unpublished document,Report,Oxford Archaeological Unit,1999,"White Horse Stone, Pilgrims Way and West of Boarley Farm Detailed Archaeological Works Interim Repor",,,,,,,,,,,,,,
50084,SKE7079,Unpublished document,Report,Oxford Archaeological Unit,1999,"White Horse Stone, Pilgrims Way and West of Boarley Farm Archaeological Works Interim Report Final",,,,,,,,,,,,,,
50085,SKE7132,Unpublished document,Report,Canterbury Archaeological Trust,1997,"A Watching Brief at No 429 Dover Road, Walmer",,,,,,,,,,,,,,
50086,SKE24069,Bibliographic reference,Journal Article,"Jarman, C.",1998,"Glebeland, Marley Road, Harrietsham",,,Canterbury's Archaeology,22,,16,17,,,,,,http://www.canterburytrust.co.uk/publications/annual-reports/cantarch9798/,04/10/2017
50087,SKE7365,Unpublished document,Report,Canterbury Archaeological Trust,1998,"An Archaeological Investigation at Glebe Land, Harrietsham: Interim Report",,,,,,,,,,,,,,
50088,SKE7369,Unpublished document,Report,Canterbury Archaeological Trust,1998,"Archaeological Evaluation at Marley Road, Harrietsham, Maidstone, Kent",,,,,,,,,,,,,,
50089,SKE7427,Unpublished document,Report,Canterbury Archaeological Trust,1995,"An Iron Age Cremation Burial From Ulcombe, Near Maidstone",,,,,,,,,,,,,,
50090,SKE13627,Article in serial,Journal Article,"Aldridge, N.",2005,"A Belgic cremation cemetary and iron bloomery furnace at Jubilee Corner, Ulcombe",,,Archaeologia Cantiana,125,,173,182,,,,,,http://www.kentarchaeology.org.uk/Research/Pub/ArchCant/125-2005/Contents.htm,10/07/2017
50091,SKE7450,Unpublished document,Report,"Wendy Rogers, KCC Heritage Dept",2000,Kent County Council SMR Summary Form Ulcombe Churchyard Extension,,,,,,,,,,,,,,
50092,SKE7508,Unpublished document,Report,Archaeology South-East,2000,"Post-Excavation Assessment of Archaeological Investigations at Land of Canterbury Road, Hawkinge",,,,,,,,,,,,,,
50093,SKE7670,Unpublished document,Report,Canterbury Archaeological Trust,2000,"Deal North Barracks - Assessment of Archaeological Evaluation Trenching, August 2000 (Phase III)",,,,,,,,,,,,,,
50094,SKE7990,Unpublished document,Report,Pre-Construct Archaeology,2002,"Assessment of an Excavation at South Willesborough, Ashford",,,,,,,,,,,,,,
50095,SKE24773,Unpublished document,Report,English Heritage,2008,"Ringlemere Farm, Woodnesborough, Kent: Archaeomagnetic dating report",,,,,,,,,,,,,,
50096,SKE29684,Unpublished document,Report,Canterbury Archaeological Trust,2005,"Interim report on excavations at Monument No. 1 (Trench 5) Ringlemere Farm, Kent",,,,,,,,,,,,,,
50097,SKE31074,Unpublished document,Report,Canterbury Archaeological Trust,2006,"Interim report on excavations at Ringlemere Monument 1, 2005 (Trenches 6 and 6A)",,,,,,,,,,,,,,
50098,SKE31075,Unpublished document,Report,Canterbury Archaeological Trust,2006,"Interim report on Excavations at Ringlemere Monument 1, 2006 (Trenches 7 and 8)",,,,,,,,,,,,,,
50099,SKE8229,Unpublished document,Report,Canterbury Archaeological Trust,2002,"Field walking, geophysical survey and excavation at site of discovery of early bronze age gold cup",,,,,,,,,,,,,,
50100,SKE11882,Serial,Journal Article,"Bennett, P.; Rady, J.; Pratt, S.; Smoothy, M.; Stewart, I.; Perkins, D.",1996,Monkton to Mount Pleasant (A253 duelling),,,Canterbury's Archaeology,1994 - 1995,,20,27,,,,,,http://www.canterburytrust.co.uk/publications/annual-reports/cantarch9495/,22/09/2017
50101,SKE17233,Unpublished document,Report,Trust for Thanet Archaeology,1993,"An Archaeological Evaluation Ahead Of Improvements To The A253, Monkton To Minster",,,,,,,,,,,,,,
50102,SKE11938,Unpublished document,Report,Trust For Thanet Archaeology,1992,"Dumpton Gap & South Dumpton Down, Broadstairs - Evaluations",,,,,,,,,,,,,,
50103,SKE11939,Unpublished document,Report,"Perkins, D.",1994,"Assessment/Research Design; South Dumpton Down, Broadstairs, 1994",,,,,,,,Trust For Thanet Archaeology,,,,,,
50104,SKE12034,Unpublished document,Report,Trust For Thanet Archaeology,1994,"Kent International Business Park, Manston, Thanet: Archaeological Evaluation Report - Phase 1: 30 Acres",,,,,,,,,,,,,,
50105,SKE12112,Unpublished document,Report,Archaeology South-East,1998,"A Summary Report on a Watching Brief at the former Hawkinge Aerodrome, Kent",,,,,,,,,,,,,,
50106,SKE17477,Unpublished document,Report,"Stevens, S.",2003,"Archaeological Investigations at Hawkinge Aerodrome, Hawkinge, Kent",,,,,,,,Archaeology South-East,London,Project No. 677,,https://doi.org/10.5284/1027396,,25/09/2017
50107,SKE12131,Unpublished document,Report,"Perkins, D.",1998,"The Proposed ASDA Superstore Site, Westwood Road, Broadstairs: An Archaeological Evaluation Report",,,,,,,,Trust for Thanet Archaeology,Birchington,,,,,
50108,SKE17198,Unpublished document,Report,Trust for Thanet Archaeology,1999,"The ASDA Superstore Site, Westwood Road, St. Peter's, Broadstairs; An Archaeological Assessment Report",,,,,,,,,,,,,,
50109,SKE12183,Unpublished document,Report,Oxford Archaeology,2000,"Westhawk Farm, Kingsnorth, Ashford, Kent: Archaeological Post-excavation Assessment Report.",,,,,,,,,,,,,,
50110,SKE12200,Unpublished document,Report,Kent Archaeological Rescue Unit,1990,"Charing, Near Ashford: Excavation of Iron Age and Romano-British Farmstead Sites at Bretts Sandpit, 1989",,,,,,,,,,,,,,
50111,SKE12201,Unpublished document,Report,Kent Archaeological Rescue Unit,1997,Charing 1995: Excavations at Bretts Sand Pit III. Draft Assessment Report,,,,,,,,,,,,,,
50112,SKE6782,Unpublished document,Report,"Philp, B.",1992,Excavations at Brett's Sand Pit Charing 1992. Draft report.,,,,,,,,Kent Archaeological Rescue Unit,,,,,,
50113,SKE31600,Unpublished document,Report,"Brown, R.",2003,Channel Tunnel Rail Link Archaeological works at Springhead Roman Town (ARC SPH00): interim fieldwork report,,,,,,,,Wessex Archaeology,Salisbury,Unpublished Report URN/342/ARC/0018,,,,
50114,SKE12294,Unpublished document,Report,Thames Valley Archaeological Services,2001,"Shrubsoles Hill, Brambledown, Isle of Sheppey, Kent A Draft Publication Report",,,,,,,,,,,,,,
50115,SKE12323,Monograph,Book,"Coles, S.; Hammond, S.; Pine, J.; Preston, S. ; Taylor, A.",2003,"Bronze Age, Roman and Saxon sites on Shrubsoles Hill, Sheppey and at Wises Lane, Borden, Kent: A Landscape of Ancestors and Agriculture by The Swale",,,,,Thames Valley Archaeological Services Monograph 4,,,Thames Valley Archaeological Services,Reading,,,,,
50116,SKE12584,Unpublished document,Report,Thames Valley Archaeological Services,2000,"Cell 3, Shrubsoles Hill, Brambledown, Isle of Sheppey, Kent: Interim Report",,,,,,,,,,,,,,
50117,SKE6565,Unpublished document,Report,Thames Valley Archaeological Services,2000,"Shrubsoles Hill, Brambledown, Isle of Sheppey, Kent: Post-Excavation Assessment",,,,,,,,,,,,,,
50118,SKE7070,Unpublished document,Report,Museum of London Archaeology Service,1999,Watling Street Archaeological Excavation Interim Report,,,,,,,,,,,,,,
50119,SKE12295,Unpublished document,Report,Canterbury Archaeological Trust,2003,"An archaeological evaluation of the Northern Housing Area, north of Ridham Avenue, Kemsley, near Sittingbourne, Kent",,,,,,,,,,,,,,
50120,SKE12297,Unpublished document,Report,Wessex Archaeology,2002,"Kingsborough Manor Development, Eastchurch, Isle of Sheppey, kent. Watching Briefs, Evaluation, and Phase 1, Stage 2 Excavation: Assessment Report and proposals for Post-Excavation Analyses and Publication",,,,,,,,,,,,,,
50121,SKE12325,Unpublished document,Report,Archaeology South-East,1999,"An Archaeological Evaluation at Kingsborough Farm, Eastchurch, Isle of Sheppey, Kent",,,,,,,,,,,,,,
50122,SWX6722,Unpublished document,Report,Canterbury Archaeological Trust,1997,"Iwade, The Street: Archaeological Evaluation",,,,,,,,,,,,,,
50123,SKE12300,Unpublished document,Report,Archaeology South-East,2001,"An Archaeological Evaluation at Damhead Creek Power Station Habitat Exclusion Area, Kingsnorth, Kent",,,,,,,,,,,,,,
50124,SKE12369,Unpublished document,Report,"Griffin, N.",2002,A Post-Excavation Assessment of Archaeological Investigations at the Damhead Creek Power Station Exclusion Area,,,,,,,,Archaeology South-East,,Project No. 1129,, https://doi.org/10.5284/1027395,,26/09/2017
50125,SKE12370,Unpublished document,Report,Archaeology South-East,2003,"Archaeology South-East Kingsnorth Power Station, Kingsnorth, Kent",,,,,,,,,,,,,,
50126,SKE15789,Unpublished document,Report,Archaeology South-East,2005,"Archaeological Investigations at Damhead Creek Power Station and Associated Works, Hoo St. Werburgh",,,,,,,,,,,,,,
50127,SKE12601,Unpublished document,Report,Canterbury Archaeological Trust,2003,"A249, Iwade to Queenborough Improvement Scheme, Kent: archaeological Survey Stage 4b: report on pre-evaluation fieldwork",,,,,,,,,,,,,,
50128,SKE17514,Unpublished document,Report,Canterbury Archaeological Trust,2002,"A249, Iwade to Queenborough Improvement Scheme, Kent: Archaeological Survey Stage 4a: interim note on pre-evaluation fieldwork",,,,,,,,,,,,,,
50129,SKE12537,Unpublished document,Report,Archaeological Solutions,2002,"Extension of the Netball Courts HartsdownTechnology College, Kent Archaeological Monitoring and Recording",, ,,,,,,,,,,,,
50130,SKE12653,Unpublished document,Report,Hertfordshire Archaeological Trust,2001,"Hartsdown Technology College, George V Avenue, Margate, Kent. New Science Block Archaeological Monitoring and Recording",,,,,,,,,,,,,,
50131,SKE12662,Unpublished document,Report,Hertfordshire Archaeological Trust,2001,"Hartsdown Technology College, George V Avenue, Margate, Kent. An Archaeological Excavation: An Interim Report",,,,,,,,,,,,,,
50132,SKE12663,Unpublished document,Report,Hertfordshire Archaeological Trust,2001,"Hartsdown Technology College, George V Avenue, Margate, Kent. An Archaeological Evaluation",,,,,,,,,,,,,,
50133,SKE12664,Unpublished document,Report,Hertfordshire Archaeological Trust,2001,"An Archaeological Assessment and Updated Project Design for the Publication of Excavations at Hartsdown Technology College, Margate, Kent, 2001",,,,,,,,,,,,,,
50134,SKE12665,Unpublished document,Report,Hertfordshire Archaeological Trust,2001,"An Iron Age Site at Hartsdown Technology College, Margate, Kent",,,,,,,,,,,,,,
50135,SKE12666,Unpublished document,Report,Hertfordshire Archaeological Trust,2002,"Hartsdown Technology College, George V Avenue, Margate, Kent. Single Storey, Pre-Engineered, Inclusion Room. Archaeological Monitoring and Recording",,,,,,,,,,,,,,
50136,SKE12773,Unpublished document,Report,Museum of London Archaeology Service,2000,Channel Tunnel Rail Link Contracts 330 & 350 Watching Brief ARC 330 98 Interim Report (Volume 1 of 2),,,,,,,,,,,,,,
50137,SKE12774,Unpublished document,Report,Museum of London Archaeology Service,2000,Channel Tunnel Rail Link Contracts 330 & 350 Watching Brief ARC 330 98 Interim Report (Volume 2 of 2)Channel Tunnel Rail Link Contracts 330 & 350 Watching Brief ARC 330 98 Interim Report (Volume 2of 2),,,,,,,,,,,,,,
50138,SKE17841,Unpublished document,Report,"Bull, R.; Barclay, A.",2006,"The Prehistoric Landscape at Whitehill Road Barrow, Longfield and New Barn, Kent",,,,,,,,Oxford Wessex Archaeology,Oxford,,,https://doi.org/10.5284/1000230,http://archaeologydataservice.ac.uk/archives/view/ctrl/whrisr/downloads.cfm?CFID=9fba6ee6-d291-4b36-bf35-9677b5e983e5&CFTOKEN=0,26/09/2017
50139,SWX12888,Unpublished document,Report,Museum of London Archaeology Service,2001,Area 330 (Zone 1) Whitehill Barrow (ARC WHR 99) Archaeological Post Excavation report,,,,,,,,,,,,,,
50140,SKE29284,Unpublished document,Report,Wessex Archaeology,2008,"Area A, Waterbrook Park, Ashford, Kent: Post-Excavation Assessment",,,,,,,,,,,,,,
50141,SKE6589,Unpublished document,Report,Canterbury Archaeological Trust,1999,"Waterbrook Farm, Ashford: Report on Evaluation Trenching in 1992, Report and Assessment of Excavations in 1993",,,,,,,,,,,,,,
50142,SKE6818,Unpublished document,Report,The Ashford Great Park Partnership,1993,"Great Park Ashford, Development Brief Consultation Draft",,,,,,,,,,,,,,
