GID,GID_gg,HER_finds_ID,Object_category,HER_object_montype,HER_object_findtype,Object_type_code,Object_type,Object_type_specific,Object_description,Metalwork_phase,Object_completeness,Object_condition,Object_orientation,Object_body_relationship,Object_placement_broad,Object_placement_specific,Decorated_object,Old_object,Materials_summary,Related_GID_hr,Current_museum_location,Museum_accession_number,PAS_ID,PAS_URL,Related_Event_ID
10238,10028,FCO7813,Pin/point/brooch_b,,BROOCH,42,Brooch (Specified type),,"<Johns 2002-3, Bryher>: Fragmented remains of a copper alloy brooch likely to be a Nauheim-type simple La Tene III brooch or Nauheim derivative. The spring of the brooch has disintegrated into seven parts but the large central part of the pin and the head of the bow remain intact. The surface of the bow is pitted by corrosion but traces of the original decoration can be traced under a binocular microscope.<Johns 2002-3>: The brooch was recovered from near the probable position of the feet of the inhumation and may have been used to pin a cloak covering the body or otherwise folded at the feet.<Hill in Johns 2002-3>: Close to the break at the rear of the bow there is a raised cross-rib with a faint fine zigzag decoration along its length. Along the length of the bow, from the cross-rib to the head, are faint traces of several lines, suggesting that the bow was decorated with parallel lines ... The spring fragment with the start of the pin has two sharp, tiny fractures at the top of the start of the pin, consistent with it having been damaged in use.",La Tène III (La Tène D),Unknown,Damaged,Unknown,Direct,Feet,,Y,,Bronze/Cu Alloy [Copper Alloy],73018,Isles of Scilly Museum,,,,400
10238,10029,FCO7814,Jewellery,,FINGER RING,179,Ring (Hand/Toe/Ear),Ring (Finger),"A flattened and corroded copper alloy spiral ring considered likely to be a finger or toe ring, with an internal diameter of roughly 20mm and either two-and-a-half or three spirals. It appears to have been wrapped in a piece of cloth. The ring was made from thin wire and would have been a very fine ring compared with other known examples.<Johns 2002-3, Bryher>:The spiral ring and tin object were below the mirror<Hill in Johns 2002-3>: The ring appears to have been wrapped in a piece or pieces of fine cloth. Made from thin wire, now only 1–2mm thick but originally probably slightly thicker, this would have been a very fine ring compared with other copper-alloy Iron Age spiral rings. It is probably a finger or toe ring.",N/a,Unknown,Unknown,Unknown,Direct,Head,below the mirror by head,,,Bronze/Cu Alloy [Copper Alloy],73018,Isles of Scilly Museum,,,,400
10238,10030,FCO7812,Mirror,,HAND MIRROR,119,Mirror,,"A bronze mirror found close to the head of the body buried in an Iron Age stone-line cist grave. The mirror is made from two pieces, an oval plate with a decorated back, and a cast-loop handle that is attached to the plate without rivets. There is no binding strip around the edge of the mirror plate.<Johns 2002-3, Bryher>: The mirror was found on the west side at the north end of the cist, lying 100mm from the skull impression, with its handle uppermost and angled towards the north west. The reflective surface would have been turned with the reflective (not the decorative) face upwards towards the face of the deceased person.Johns also notes that the mirror was probably held within a cloth bag.<Hill in Johns 2002-3>: compared with other mirrors, the Bryher find shows less consistency and precision in creating and highlighting the design. Part of a curving element in the lower left portion of the plate appears to have what may be a faint original tracing line just beyond the main incised arch that defines the edge of the basket weave. The use of basket weave is often uneven in terms of the number and size of strokes and their orientation and spacing; in some cases they are not even straight lines. There is a similar lack of even spacing, direction and linearityfor the diagonal infilling ...... If the Bryher mirror was broken and repaired before being placed in the grave, it might already have been relatively old when buried.",N/a,Unknown,Repaired,Inverted,Direct,Head,,Y,,Bronze/Cu Alloy [Bronze],73018,Isles of Scilly Museum,,,,400
10238,10031,FCO7811,Weaponry,,SWORD,201,Sword,,"The almost complete remains of an iron sword in a bronze scabbard. The sword had been laid along the western side of the cist with the hilt to the north. Lacking only the upper end of the hilt as originally found, the sword and scabbard together measure 0.86m long.Subsequent authoritative examination of their distinctive features indicates a broadly 3rd century BC date for the sword and scabbard.<Johns 2002-3, Bryher>: The sword, when found by Paul Jenkins, was lying along the western side of the cist with its hilt to the north. He noted that the sword was lying in the surface deposits of the grave and it is perhaps surprising that it was not more deeply embedded in the washed-in luting (as were the skeletal remains and the other artefacts).<Stead in Johns 2002-3>: both pommel and guard had originally been decorated with three [discs] on each side.",La Tène II (La Tène C),Unknown,Damaged,Unknown,Direct,On top of body,,Y,,"Bronze/Cu Alloy [Bronze], Iron",73018,Isles of Scilly Museum,,,,400
10245,10033,,Pot,FINDSPOT,,167,Pot,Trevisker,EBA Trevisker urn secreted iin a natural rock cleft ,N/a,Unknown,Unknown,Unknown,Direct,Container of body,,,,Pottery,73603,Isles of Scilly Museum,,,,1337
10258,10035,,Pot,FINDSPOT,,152,Pot,Food Vessel,Patchett 1946: E.11. Small Food Vessel type pot with wide mouth and slight footring. Small incised decoration. 3 rows of stab and drag decoration around rim Quite small - 127mm tall and 125mm diameterNote - this is unusual as the Food Vessel contains rather than accompanies the cremated remains and pyre debris ,N/a,Complete,Unknown,Upright,Direct,Container of body,,,,Pottery,73609,Unknown,,,,1341
10262,10037,,Pot,FINDSPOT,,167,Pot,Trevisker,"<HER site description, Conquer Downs>: The urn was recorded by Patchett as class g (late ba, deverel - rimbury influence (b6, b7). Chronology since dismissed - almost certainly EBA. Had been fired - possibly burnt?300mm tall and 203mm diameter. Patchett G.4 (Deverel-Rimbury influence) . Single twist cord in a narrow design. Inverted urn - decoration restricted to rim zone",N/a,Unknown,Burnt,Inverted,Direct,Container of body,,,,Pottery,73000,Penzance Museum,,,,1171
10264,10039,,Pot,FINDSPOT,,172,Pot (Unknown/Unspecified),,"<Borlase 1872, 230 Sennen following Gilbert 1817, Land's End>: 'an urn containing ashes, bones and brass coins'. Henrietta Quinnell (pers comm.) has identified the urn as being potentially an Iron Age import from Brittany.",N/a,Unknown,Unknown,Upright,Direct,Container of body,,Y,,Pottery,73277,Unknown,,,,1233
10265,10040,,Pot,FINDSPOT,,157,Pot,Miniature/Pygmy Vessel,Miniature coarsely decorated Food Vessel with impressed stab decoration.125mm tall  ,N/a,Almost complete,Unknown,Unknown,Direct,Container of body,,,,Pottery,73613,Unknown,,,,1342
20025,20000,FDO3742,Pot,,BEAKER,139,Pot,Beaker,"The Broadmayne beaker is a fine example of Abercromby's Group A. long-necked beakers, with the characteristic profile and zoned decoration based on compounding positive / negative contrast motifs. The decoration appears to have been impressed with the toothed spatula or comb, bone examples of which occasionally survive on Beaker domestic sites. The Broadmayne beaker is an interesting discovery. There is a series of features on this beaker which cumulatively agree in attributing this vessel to the Developed Southern British beaker group (S2) occupying Wessex in some numbers before the development of the Wessex I Early Bronze Age sub-culture (c.1550 BC). These typical features on the Broadmayne beaker are:- the zonal styling in multiple zones fused together only on the neck; the simple positive motifs; the use of fringing triangles on the neck zone; the absence of floating motifs; the crisp neck definition and shape. In some of these features the beaker is even archaically reminiscent of the Primary Southern beakers (S1) which are confined to East Anglia and Yorkshire. (D.L.C.)Beaker placed at back of skeleton; 200mm tall and 127mm mouth diameter; white infill decoration - exquisite ",N/a,Complete,Fresh,Upright,Direct,Torso,Placed behind back ,,,Pottery,20016,Unknown,,,,178
20062,20001,FDO4275,Pot,,URN,142,Pot,Collared Urn,"Grinsell's (1959, 120) Milborne barrow 14, Deverel Barrow/Miles (1826) Burial 23: An inverted collared urn containing a cremation, which was surrounded by flints, was found by the largest stone inside the barrow, at ground level.Longworth 1984: 187, pl. 219f. No. 423. Secondary series Form B1 363mm tall & 276mm mouth diameter. Impressed decoration with a stick SID20062_1_Deverel_pot23_20_plI",N/a,Unknown,Unknown,Inverted,Direct,Container of body,,,,Pottery,72163,Bristol City Museum,F1306,,,1059
20064,20002,,Pot,CINERARY URN,,142,Pot,Collared Urn,"Primary series Collared Urn, undecorated. Big vessel and 37cm tall and 30cm mouth diameter. No decoration and inverted (Longworth 1984: 183, pl 43a) ",N/a,Complete,Unknown,Inverted,Direct,Container of body,Contained two cremations - one child and one subadult ,,,Pottery,"20028, 73112",Unknown,,,,1191
20064,20003,FDO4754,Pot,,COLLARED URN,142,Pot,Collared Urn,"The urn was 11 inches (28 cm) high, with overhanging rim. The fabric is reddish-brown on the outside, and it appears to show traces of a buff slip. Inside it is almost entirely black. Now in Winchester Museum",N/a,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Pottery,,Unknown,,,,1191
20067,20004,,Pot,CINERARY URN,,140,Pot,Biconical Urn,A large slightly gritted urn of sub-biconical shape with two large and two small lugs. Still in Landsdowne Library?,N/a,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Pottery,72190,Unknown,,,,1060
73045,20005,FDO4298,Pot,,URN,152,Pot,Food Vessel,"Calkin (1967, 144-5, fig. 144) Friar Waddon:Vessel 104 is described as follows: Ridged Food Vessel urn (37 cm high) badly fired. 4 finger impressed cordons",N/a,Unknown,Unknown,Unknown,Direct,Container of body,,Y,,Pottery,72192,Dorset County Museum,104,,,1061
73046,20007,FDO4297,Pot,,VESSEL,152,Pot,Food Vessel,"Calkin (1967, 144-5, fig. 144) Friar Waddon: [vessel] no. 108 beside the head.Vessel 108 is described as a food vessel",N/a,Unknown,Unknown,Upright,Direct,Head,,,,Pottery,72193,Dorset County Museum,108,,,1061
20070,20009,FDO4291,Pot,,URN,172,Pot (Unknown/Unspecified),,"An urn, which is decorated with a double zigzag ornamentation near the top enclosing diamond patterns. It was found resting on the original soil with a thin stone over its mouth, and it contained burnt bones. The urn measures 30cm in height, 20.3cm at the mouth, and 23cm s at its broadest diameter.Check Dorset Collections to see what this urn is as it sounds like EBA. In fact the double zigzag ornament suggest Collared Urn but cannot find ref in Longworth",N/a,Unknown,Unknown,Upright,Direct,Container of body,Placed upright on original soil surface and with thin stone over mouth; encircled  by stone cairn ,,,Pottery,72195,Dorset County Museum,,,,195
20070,20010,FDO4292,Flint tool,,SCRAPER (TOOL),98,Scraper,,One of two small scrapers found with the urn ,N/a,Unknown,Unknown,Unknown,Indirect,In grave fill,,,,Chert / Flint [Flint],72195,Unknown,,,,195
20070,20011,FDO4293,Axe,,AXE (TOOL),27,Axe/Axehead (Unknown/Unspecified),,A small rough celt. Stone axe - not polished ,N/a,Unknown,Unknown,Unknown,Indirect,In grave fill,Next to cremation urn and wood ashes ,,,Stone (Uncertain/Unspecified),72195,Dorset County Museum,,,,195
20100,20012,FDO4322,Pot,,URN,172,Pot (Unknown/Unspecified),,"A Late Bronze Age cremation urn, which was apparently broken in situ. It contained fragments of bone.<awaiting further info>",N/a,Unknown,Damaged,Unknown,Direct,Container of body,,,,Pottery,74102,Unknown,,,,
20128,20013,,Pot,CINERARY URN,,148,Pot,Deverel-Rimbury  (Unknown/Unspecified),Chalbury Hill: A large cinerary urn which collapsed on touching. Its rim was marked with slanting parallel lines 3 inches long and half-inch apart.Possibly a Collared Urn based on description in Cunnington's field diary in Dorchester Museum library. Large inverted urn 30cm tall and with slanting parallel lines around rim. ,N/a,Unknown,Unknown,Inverted,Direct,Container of body,,Y,,Pottery,72904,Unknown,,,,1157
20139,20014,,Pot,CINERARY URN,,142,Pot,Collared Urn,Rather broken urn as was near the surface but had contained calcined bone. Warne says much of the urn has the consistency of pear but it had traces of herring bone pattern on the shoulder ,N/a,Unknown,Unknown,Unknown,Direct,Container of body,,,,Pottery,73637,Unknown,,,,
20165,20015,FDO13631,Pot,,URN,247,Pot,Deverel-Rimbury (Barrel Urn),"Stephen's Castle, Verwood: Inverted urn with fingertip decoration and with two repair-holes in side(mend holes)",N/a,Unknown,Repaired,Inverted,Direct,Covering the body,,Y,,Pottery,72902,Unknown,,,,236
20169,20017,FDO3417,Jewellery,,BEAD,124,Necklace,,"Amber beads and also shale and bone beads - likely a composite necklace of amber, bone and shale ",N/a,Unknown,Fresh,Unknown,Direct,Mixed with body parts,Accompanying the cremation as grave goods ,,,"Amber, Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone], Jet/Lignite/Shale/Coal [Shale]",73185,Devizes Museum,,,,1205
20170,20018,FDO3418,Pot,,URN,142,Pot,Collared Urn,"Large inverted Collared Urn. Secondary Series, Form IA.Colt-Hoare (1812: 242) describes this as a coarse inverted urn of coarse unbaked pottery! Longworth 1984: 192,  No 501.50cm tall and 42cm riim diameter. Twisted cord herringbone (spilt twisted herringbone) on collar. Row of double twisted horse shoes on the shoulder. Twisted cord zigzag on internal rim bevelReally quite a big and elaborate Collared UrnIn Wimborne Museum ",N/a,Complete,Used,Inverted,Direct,Covering the body,Placed over the cremation ,,,Pottery,73187,Devizes Museum,,,,1199
20172,20019,FDO3420,Weaponry,,DAGGER,81,Dagger,Camerton-Snowshill,"Series 5 thick-bladed dagger with wooden handle traces still preserved. Quite small. Accompanying cremationSeries 5. Type 3DWoodward & Hunter 2015: ID 1480, 36, 43",N/a,Complete,Unknown,On side,Direct,On top of body,Placed on top of cremated remains ,,,"Bronze/Cu Alloy [Bronze], Wood (Uncertain/Unspecified)",73188,Devizes Museum,,,,1200
20172,20020,FDO3422,Pin/point/brooch_p,,PENDANT,134,Pin (Unknown/Unspecified),,Unusual object - described as an arrowhead of bone but it is one of two bone points (Hunter and Woodward 2014: 108),N/a,Unknown,Unknown,Unknown,Direct,Mixed with body parts,Accompanied cremation ,,,Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone],73188,Unknown,,,,1200
20172,20021,FDO3419,Pot,,URN,142,Pot,Collared Urn,"Broken Collared Urn; likely originally inverted over the bag containing the cremation Had lozenge or lattice motifs. Dimensions unknownLongworth 1984: 192,  No. 500",N/a,Fragment(s),Unknown,Inverted,Direct,Covering the body,Probably placed on top of the bagged cremation,,,Pottery,73188,Devizes Museum,,,,1200
20172,20022,FDO3421,Pin/point/brooch_p,,PIN,137,Point (Unknown/Unspecified),,"Perforated bone point/ needle, 80mm long. Complete.Woodward & Hunter 2015: 98, 108",N/a,Complete,Used,Unknown,Direct,On top of body,Placed on top of cremation ,,,Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone],73188,Devizes Museum,,,,1200
20198,20023,,Pot,CINERARY URN,,247,Pot,Deverel-Rimbury (Barrel Urn),A fine upright barrel urn with a single row of impressions (Warne 1866 plt. VII no. 7),N/a,Unknown,Unknown,Upright,Direct,Container of body,,,,Pottery,20038,Unknown,,,,
20199,20025,FDO4667,Pot,,BURIAL URN,149,Pot,Deverel-Rimbury (Bucket Urn),"A simple bucket urn described as being of a 'black ware, mostly gritless, with only two small lugs on opposing sides of the body'. It is now in Poole Museum.",N/a,Unknown,Unknown,Inverted,Direct,Covering the body,,,,Pottery,20039,Poole Museum,,,,251
20200,20027,FDO4670,Pot,,CINERARY URN,149,Pot,Deverel-Rimbury (Bucket Urn),"A vessel of about 15 to 18 inches high, of very thick ware, rusty red in colour and of very gritty paste. It seems there were irregular finger or thumb marks around the upper part of the sides, which had a broad convex profile.",N/a,Unknown,Unknown,Unknown,Direct,Container of body,,,,Pottery,72831,Unknown,,,,252
20210,20028,,Pot,CINERARY URN,,142,Pot,Collared Urn,Tripartite Collared Urn with collar decorated with cord impressed chevrons - inverted. Chevrons placed between two pairs of horizontal lines ,N/a,Almost complete,Unknown,Inverted,Direct,Container of body,,,,Pottery,73816,Dorset County Museum,1952.82,,,1356
20215,20029,FDO867,Tool,,KNIFE,114,Knife,,Flaked Flint knife was lprobably ploughed out from the cist and removed from its original position ,N/a,Unknown,Unknown,Unknown,Missing,Unknown,No longer in situ and ploughed out ,,,Chert / Flint [Flint],20043,Unknown,,,,
20215,20030,FDO13627,Tool,,WHETSTONE,217,Whetstone ,,"Sponge finger or whetstone made from beach cobble; v polished (Woodward & Hunter fig 4.1.1 ; ID68)It is a laminated mudstone, black in colour, probably from local beach (although could be Cornubian in origin)This sponge finger was made from a beach cobble (site is near the coast) . It has a very unusual composition with ferruginous concretions, probably silicifiedIt has an ancient fracture on its upper surface ",N/a,Complete,Damaged,Unknown,Missing,Unknown,Out of context but undoubtedly from ploughed-out  cist as a grave good ,,,Stone (Uncertain/Unspecified),20043,Unknown,,,,
20215,20031,FDO13628,Clothing,,BUTTON,58,Button,,V-perforated shale button ,N/a,Complete,Unknown,Unknown,Missing,Unknown,Out of context but undoubtedly from ploughed-out  cist as a grave good ,,,Jet/Lignite/Shale/Coal [Shale],20043,Unknown,,,,
20228,20034,,Pot,CINERARY URN,,142,Pot,Collared Urn, The urn was fragmentary and was of overhanging rim type. It was inverted over the cremation burial,N/a,Almost complete,Unknown,Inverted,Direct,Covering the body,Inverted over the cremation ,,,Pottery,73233,Unknown,,,,1524
20230,20035,,Pot,CINERARY URN,,148,Pot,Deverel-Rimbury  (Unknown/Unspecified),Burial IX/Pot 5_gg: Base and lower body of a barrel or bucket urn. ,N/a,Unknown,Unknown,Upright,Direct,Container of body,,,,Pottery,72883,Unknown,,,,278
20231,20036,,Pot,CINERARY URN,,247,Pot,Deverel-Rimbury (Barrel Urn),Knocker (1959) Urn 2 (fig. 6): This was a straight-walled barrel urn with an unusual hammer-rim and a girth cordon below the rim (no base).,N/a,Unknown,Unknown,Inverted,Direct,Covering the body,,,,Pottery,72812,Russell Cotes Museum (Bournemouth),,,,279
20232,20037,,Pot,CINERARY URN,,142,Pot,Collared Urn,"Longworth 1984: 184, pl. 37c. No. 386.Primary Series Collared Urn SE Style Form IA. 31.5cm tall & 25cm mouth diameter. Twisted cord on collar & twisted cord and zigzag on internal moulding. Calkin 1962: 7. <REDHILL ( S . I 6 ) . Urn found lying inverted 4 ft. deep over a cremation, during the construction of a garage in Headswell Crescent in June 19345 a sewer trench, extending outwards for 12 yds., showed no evidence of a former barrow. Cord ornament consists of a  and just under rim with diagonal lines below; inside is a similar band, and a chevron extending down the whole depth of the collar. Height 12.3 in. BMC.1>",N/a,Complete,Unknown,Inverted,Direct,Covering the body,Placed over the cremated remains ,Y,,Pottery,20048,British Museum,"1940, 7-1, 730",,,1215
20233,20038,FDO4788,Pot,,CINERARY URN,142,Pot,Collared Urn,"Urn 15"" high with overhanging rim, undecorated.Longworth 1984: 183, pl. 43a. No 381. Collared Urn Primary Series IA. 37cm tall and 30cm mouth diameter. Undecorated Calkin 1964: M9. The urn is widest at the collar, below which there is a well-developed neck and shoulder. Plain. Height 14.5 in. PM365mm tall ",N/a,Complete,Unknown,Inverted,Direct,Container of body,,,,Pottery,"20049, 73234",Poole Museum,,,,1216
20237,20041,FDO4762,Jewellery,,BEAD,30,Bead(s),,"Several amber beads. Longworth lists three small conical beads, with central perforations",N/a,Complete,Unknown,Unknown,Direct,Mixed with body parts,With cremation ,,,Amber,73236,Unknown,,,,280
20237,20042,,Pot,CINERARY URN,,142,Pot,Collared Urn,"Inverted Collared Urn. Secondary Series South Eastern Style Form IA. 33cm tall and 29cm  ext mouth diameter. On the collar are three horizontal twisted cord lines, & 2 rows of impressions at base of neck.Large collared urn of Longworth's Secondary Series, South-Eastern Style, form 1A. It is 330 mm high with an internal rim diameter of 267 mm. Decoration on the collar consists of three horizontal twisted-cord impressed lines, and on the shoulder of two rows of short diagonal twisted-cord impressed lines.Longworth 1984: 183, pl 139a. No 375In private hands ",N/a,Complete,Unknown,Inverted,Direct,Covering the body,Placed inverted over the cremated remains ,,,Pottery,73236,Unknown,,,,280
20237,20043,FDO4763,Clothing,,BUTTON COVER,58,Button,,two fragile cones of sheet gold and decorated around the rim with three tooled lines. The rim of each cone has a slight flange which suggests they were intended to cover some other objects such as buttons.In private collection,N/a,Complete,Unknown,On side,Direct,On top of body,Placed on top of pile of cremated remains ,,,Gold,73236,Unknown,,,,280
20237,20044,FDO4764,Jewellery,,PENDANT,129,Pendant,,"'Halberd pendant' with a 'blade' of copper alloy set in a shaft of amber. At the base of the blade are two small holes that mimich the rivet holes found on full-sized halberds. Two perforations at the base of the shaft are probably for suspension. 'Blade' is 12 mm long.Grooved decoration on miniature blade Miniature halberd pendant. It is possible that this, along with two others were all made by the same hand/ person (see Woodward and Hunter 2015: location 4685), and as all have three grooves on their gold mounts may confirm this. The other two examples of miniature halberd pendants are from Preshute G1a and Wilsford G8. Private collection ",N/a,Complete,Unknown,Unknown,Direct,Mixed with body parts,With the cremated remains,,,"Amber, Bronze/Cu Alloy [Copper Alloy]",73236,Unknown,,,,280
20237,20045,FDO4761,Pot,,PYGMY CUP,157,Pot,Miniature/Pygmy Vessel,"Small highly decorated 'incense cup', 66 mm high with a bulbous profile and an internal rim diabmeter of 71 mm. The body is perforated by ten rectangular slots and the whole of the outer surface is decorated with a series of twisted-cord impressed lines and incised herringbone patterns. The internal rim bevel is decorated with incised herringbone.Fenestrated cupCopper 2017: 331-2 <A single line of incised herringbone on theinternal rim bevel. On the exterior wall are 2 rows of incised herringbone split by two lines of twisted cord and bounded above and below by two more horizontal lines of twisted cord. The vessel has ten verticalfenestrations with three vertical lines of twisted cord between each. There is a further row of incised herringbone just above the base bordered by two twisted cord lines above and a single one below. A biconical vessel with a series of vertical rectangular fenestrations. There is a slightompholos to the base and the rim has a slight internal bevel.>Classed as Group 4In private hands",N/a,Complete,Unknown,Unknown,Direct,Mixed with body parts,With cremation ,,,Pottery,73236,Unknown,,,,280
20242,20047,FDO4758,Pot,,BICONICAL URN,140,Pot,Biconical Urn,<Hengistbury Head 7>: Large biconical urn 525mm high and internal rim diameter of 340mm. Decorated with a lattice pattern of twisted-cord impressed lines and with two simple strap handles on the shoulder. Of the Trevisker series of urns and is one of the easternmost finds of a vessel of this type.,N/a,Unknown,Unknown,Unknown,Direct,Container of body,,,,Pottery,74164,Unknown,,,,284
20243,20049,FDO4757,Pot,,COLLARED URN,142,Pot,Collared Urn,"Collared urn of Longworth's Secondary Series, South-Eastern Style, form Bi/ii. It is decorated on the collor with alternating series of vertical and horizontal twisted-cord impressed lines in a pattern described by Longworth as 'hurdle pattern'.Covered and surrounded by lots of burnt black organic material 26cm tall and 15cm mouth diameter ",N/a,Complete,Unknown,Upright,Direct,Container of body,,,,Pottery,73239,Unknown,,,,285
20244,20051,,Pot,CINERARY URN,,142,Pot,Collared Urn,Collared Urn inverted over the in situ poorly cremated remains of the aged woman ,N/a,Complete,Unknown,Inverted,Direct,Covering the body,Placed on top of the pyre ,,,Pottery,73240,Unknown,,,,286
