Site_ID,PGGP_event_ID,HER_event_ID,HER_event_type,Event_type,Event_name,Event_description,Event_summary,Event_start,Event_end
50088,19,EKE14640,,Partial Investigation,"Excavation report. Kingston Downs Anglo-Saxon barrow field cemetry, Kingston, Canterbury",Evaluation of Anglo-Saxon cemetry by machine stripping before excavating archaeological deposits by hand and recording. Human remains and grave good were recovered. It is concluded that a significant quantity of data remains to be retieved from the site.,,2013-08-19T00:00:00,2013-09-06T00:00:00
50088,20,EKE3961,Excavation,Full Excavation (1950-),KINGSTON DOWNS,,,1945-01-01T00:00:00,1945-12-31T00:00:00
50088,21,EKE3962,Excavation,Full Excavation (1950-),KINGSTON DOWNS,**DRAWING OF COMBS IN AKERMAN'S ARCHAEOLOGICAL SCRAPBOOK,,1967-01-01T00:00:00,1973-12-31T00:00:00
50088,22,EKE3963,Excavation,Full Excavation (1950-),KINGSTON DOWNS,*ED.C.R.SMITH,,1950-01-01T00:00:00,1950-12-31T00:00:00
50088,23,EKE3964,Excavation,Full Excavation (1950-),KINGSTON DOWNS,,,1959-01-01T00:00:00,1959-12-31T00:00:00
50088,24,EKE4421,Excavation,Full Excavation (1950-),KINGSTON DOWNS,EXCAVATION AND OBSERVATION IN 3 AREAS OF CEMETERY. NGR IS,,1965-01-01T00:00:00,1965-12-31T00:00:00
50091,25,EKE4018,Excavation,Full Excavation (1950-),FREE DOWN BARROWS,SEE ALSO NGR-TR 36494708,,1972-01-01T00:00:00,1972-12-31T00:00:00
50091,26,EKE4019,Excavation,Full Excavation (1950-),FREE DOWN BARROWS,ALSO AT TR 36494708,,1972-01-01T00:00:00,1972-12-31T00:00:00
50092,27,EKE5237,Excavation,Full Excavation (1950-),Assessment of excavations at White Caps Barrow (Site 3),"Bronze age barrow with 11 burials, (inhumations, cremations) partly cut by a late iron age ditch.",,1995-06-18T00:00:00,1995-09-13T00:00:00
50092,28,EKE6073,Evaluation,Partial Investigation,"Evaluation of A256 Whitfield to Eastry Improvement Road, Dover","Evaluation on road improvements.  Evidence of prehistorc, Roman and early medieval activity was located.",,1992-06-01T00:00:00,1993-06-30T00:00:00
50099,29,EKE12090,Salvage Excavation,Partial Investigation,"Rescue excavations, St Francis Close, Great Mongeham",A rescue excavation by B Philp on the site of what is now Nos. 25-28 St Francis Close.,,1977-01-01T00:00:00,1977-12-31T00:00:00
50102,30,EKE4756,,Antiquarian Excavation (pre-1950),KING EDWARD'S AVENUE,"Finds recovered from a barrow by Broadstairs and St Peters Archaeological Society during the construction of King Edward's Avenue in 1909. URN UNLOCATED 1963, LIKE MUCH OF HURD'S MATERIAL FROM MARGATE  ",,1911-01-01T00:00:00,1911-12-31T00:00:00
50103,31,EKE12351,,Partial Investigation,"Evaluation at Bradstow School swimming pool site, Broadstairs",Evaluation by means of four trenches on the proposed swimming pool site.,,2009-02-18T00:00:00,2009-02-19T00:00:00
50103,32,EKE12359,,Full Excavation (1950-),"Excavation of the swimming pool site at Bradstow School, Broadstairs",Excavation of the swimming pool site at Bradstow School following evaluation.,,2009-04-06T00:00:00,2009-05-01T00:00:00
50103,33,EKE14996,,Partial Investigation,"Archaeological Excavation: Service Trench, Bradstow School, Broadstairs","Between the 6th and 27th August 2015 the Trust for Thanet Archaeology carried out a programme of archaeological monitoring and recording prior to and during the excavation of a service trench at Bradstow School, Broadstairs. Previous archaeological work on the site has taken place since 1910. Changes in the plan for the service trench led to the trench being located in an area of high archaeological potential, with excavations indicating the area was intensively occupied from the prehistoric period. Previous work on the site by the Trust for Thanet Archaeology supports this conclusion. The excavation took place in two phases, Phase 2 followed by Phase 1. Phase 1 was the monitoring of two narrow trench cuts through areas of hard standing. Phase 2 required the excavation of a 1.8m wide trench to the archaeological horizon on the grass playing field. Excavation of the service trench, where it crossed the hard standing of the car park and the access road, revealed chalk geology at a depth of 0.3m and no archaeological features. Where archaeological potential was known to be highest, a 2m wide easement centred on the route of the service trench was excavated. Only four previously unknown archaeological features were exposed. Two parallel ditches, a ditch terminal and a single, well defined, circular post hole. The ditches revealed a single sherd of mid-late Iron Age flint tempered pottery and residual patinated struck flint. The re-excavation of previously known features (i.e. grave cuts, two concentric ring ditches, and a chalk quarry ditch cut) was also conducted. The excavation revealed that spatial referencing of previous investigations did not correlate with the features uncovered. Misplotting of the 1910 excavation appears to have led to the misidentification of part of the ring ditch of a barrow as a quarry cut. There is potential for up to four round ditches lined up across the site. The excavation emphasises the complex nature of this prehistoric site which has the potential for regional and even international significance. Finds from the excavation were limited to a very small number of pottery sherds (7), and 76 worked flints, with little evidence to suggest they were contemporary with any features. The pottery sherds ranged in date from Iron Age to modern, with a single sherd of Iron Age pottery representing the most significant pottery find. The excavation uncovered 76 worked flints, most residual within their contexts and few showed diagnostic traits. The raw material was limited to flint - mainly Cortexed nodules and Bullhead Bed Flint. It is possible that many are contemporary with use of the Bronze Age Round Barrow however this is speculation.",,2015-08-06T00:00:00,2015-08-27T00:00:00
50103,34,EKE8865,Watching Brief,Partial Investigation,"Watching brief at Bradstow School, Dumpton Park Drive,  Broadstairs","The watching brief revealed two modern parallel ditches, either land drains or service trenches. A large feature observed along the south east border of the site, had previously been recorded during evaluation works in 2003. It has been interpreted as either the edge of a bronze age barrow ditch, or the edge of a post medieval 18th or 19th century chalk quarry pit.",,2004-04-19T00:00:00,2004-04-21T00:00:00
50103,35,EKE9091,Evaluation,Partial Investigation,"Evaluation at Bradstow School, Broadstairs","This evaluation investigated two areas. Five trenches were cut within the footprint of a proposed annex to the School. One trench revealed a substantial, but undated feature. It was interpreted as either the edge of a Bronze Age barrow ditch, another section of which had been exposed during excavations in 1970-74 (see TR 36 NE 13), or the edge of a late chalk quarry. A linear exposed in two of the other trenches was interpreted as a post medieval field boundary. In the second area two trenches were excavated to the south of the school, on the site of a proposed car park. Two features identified in one of the trenches were interpreted as inhumation burials and as such were likely to be of Anglo-Saxon date (see TR 36 NE 12).",,2003-05-06T00:00:00,2003-05-09T00:00:00
50104,36,EKE12786,,Partial Investigation,"Evaluation at 1 Seacroft Road, Broadstairs",Evaluation by means of two trenches.,,2005-08-25T00:00:00,2005-09-02T00:00:00
50104,37,EKE12787,,Full Excavation (1950-),"Excavation at 1 Seacroft Road, Broadstairs",Excavation following evaluation of the site.,,2005-08-25T00:00:00,2005-09-02T00:00:00
50104,38,EKE12789,,Antiquarian Excavation (pre-1950),"Excavations along South Cliff Parade, Dumpton Gap","Excavation of features found during the construction of South Cliff Parade, Dumpton Gap by H. Hurd, Borough Surveyor for Broadstairs.",,1907-01-01T00:00:00,1908-12-31T00:00:00
50104,39,EKE4161,,Partial Investigation,"Excavation on the Seven Stones Estate, Dumpton Gap",Excavations throughout the 1960s on the estate ahead of house building.,,1960-01-01T00:00:00,1969-12-31T00:00:00
50104,40,EKE4233,,Full Excavation (1950-),DUMPTON GAP (SEACROFT ROAD EXTENSION),*AND ST PETER'S TO 1972/14-15,,1971-01-01T00:00:00,1972-12-31T00:00:00
50108,41,EKE4235,,Full Excavation (1950-),"Rescue excavation at Fairacre Lodge, North Foreland Avenue",A rescue excavation following the discovery of human remains in house footings being dug for the new Fairacre Lodge.,,1980-01-01T00:00:00,1980-12-31T00:00:00
50112,42,EKE8123,Excavation,Full Excavation (1950-),Excavation of a Beaker Burial From Manston,Excavation of ploughed-off barrow.,,1987-05-01T00:00:00,1987-12-31T00:00:00
50118,43,EKE4212,Excavation,Full Excavation (1950-),"COTTINGTON,CLIFFSEND",RESCUE EXCAVATION,,1977-01-01T00:00:00,1977-12-31T00:00:00
50118,44,EKE4965,Evaluation,Partial Investigation,Evaluation at Ebbfleet Farm,"Work carried out prior to development.  Work invloved initial field walking and metal detectoring followed, where necessary, by trenching.  Areas looked at:  Site 1 633345 162612 Ditch enclosed Med farmstead (approx) Site 2 633469 162626 (approx) Few pottery sherds found Neo & RB) Site 3 633133 163245 (approx)  RB finds Site 4 633086 163332 IA and RB site",,1990-01-15T00:00:00,1990-08-31T00:00:00
50120,45,EKE4240,Excavation,Full Excavation (1950-),"HACKENDOWN BANKS,KINGSDOWN",,,1943-01-01T00:00:00,1943-12-31T00:00:00
50120,46,EKE4241,Excavation,Full Excavation (1950-),"HACKENDOWN BANKS,KINGSDOWN",,,1965-01-01T00:00:00,1965-12-31T00:00:00
50120,47,EWX10072,Evaluation,Partial Investigation,South-East Rapid Coastal Zone Assessment Survey,Phase One of SERCZAS - Historic OS Map Interpretation (1:2500 Epochs 1 to 4),,2011-01-14T00:00:00,31/12/2011
50125,48,EKE12951,,Partial Investigation,"Watching brief at 'Beauforts', North Foreland Avenue, Broadstairs",Monitoring of groundworks during the construction of an underground garage.,,2004-10-28T00:00:00,2004-11-03T00:00:00
50126,49,EKE5944,Excavation,Full Excavation (1950-),Excavation at the Chilham Castle Burial site,"Excavation undertaken after the discovery of a Late Iron Age mirror and a brooch with sherds from a cremation vessel uncovered a further brooch, fragments of cremated bone and more pottery sherds from the same pot.",,1994-06-01T00:00:00,1994-06-30T00:00:00
50129,50,EKE10739,Watching Brief,Partial Investigation,Watching brief at Tutt Hill as part of CTRL works,Targetee watching brief at Tutt Hill as part of CTRL works. Evidence of Neolithic to Early Roman activity was found.,,1999-03-12T00:00:00,1999-08-27T00:00:00
50129,51,EKE5138,Evaluation,Partial Investigation,"Evaluation Report of excavations at  Tutt Hill, Westwell",Field evaluation due to discovery during watching brief at Tutt Hill in 1999 prior to CTRL works.,,1999-03-08T00:00:00,1999-04-09T00:00:00
50131,52,EKE10662,"Strip, Map and Sample",Full Excavation (1950-),"Excavation at Snarkhurst Wood, Hollingbourne as part of CTRL works","Excavation as part of the CTRL found evidence of a late Iron Age to Roman settlement, as well as some evidence for prehistoric activity on or nearby the site.",,1999-01-01T00:00:00,2009-02-28T00:00:00
50131,53,EKE5169,Evaluation,Partial Investigation,Evaluation south of Snarkhurst Wood,Evaluation carried out in 1995 at site south of Snarkhurst wood prior to CTRL works.,,1995-11-06T00:00:00,1995-11-17T00:00:00
50131,54,EKE5170,Excavation,Full Excavation (1950-),Excavation south of Snarkhurst Wood,Excavation carried out in 1999 at site south of Snarkhurst wood prior to CTRL works.,,1999-01-22T00:00:00,1999-02-17T00:00:00
50132,55,EKE3754,Excavation,Antiquarian Excavation (pre-1950),FOLKESTONE ROAD HOUSING ESTATE,Emergency excavations (by trainee teachers) under the direction of P.J Tester and H.F Bing. Additional material was retrieved by workmen while they were digging a water trench for the housing estate prior to the formal excavation.,,01/01/1948,31/12/1948
50135,56,EKE12883,Geophysical Survey,N/a,"Resistivity survey of land at Marley Road, Harrietsham",Resistivity survey to test for archaeological features just east of site found in 1997 during CAT evaluation.,,01/01/1998,31/03/1998
50135,57,EKE12884,,Partial Investigation,"Watching brief on access road at Glebeland, Harrietsham",Monitoring of groundworks for an access road to the site.,,1997-04-01T00:00:00,1997-04-30T00:00:00
50135,58,EKE12885,,Partial Investigation,"Evaluation at Glebeland, Harrietsham",Evaluation by means of 15 trenches following discovery of archaeological features during a watching brief on an access road.,,1997-04-01T00:00:00,1997-04-30T00:00:00
50135,59,EKE12886,,Partial Investigation,"Strip, map and sample excavation at Glebeland, Harrietsham","Strip, map and sample excavation of the central and south-west area of the site following evaluation.",,1997-04-01T00:00:00,1997-04-30T00:00:00
50135,60,EKE12887,,Partial Investigation,"Watching brief at Glebeland, Harrietsham (phase 4)",Monitoring of groundworks in the north-west corner of the site. Foundation method and formation levels for the buildings were adjusted on the basis of the evaluation findings to limit impact.,,1997-04-01T00:00:00,1997-04-30T00:00:00
50135,61,EKE12889,,Partial Investigation,Excavation in the grounds of Harrietsham Rectory gardens,An excavation of one or more trenches in the garden of the rectory. Not published and no exact details of the event known.,,1985-01-01T00:00:00,1985-12-31T00:00:00
50135,62,EKE5433,Geophysical Survey,N/a,"Magnetometry survey of land at Marley Road, Harrietsham",Magnetometry survey to test for archaeological features just east of site found in 1997 during CAT evaluation.,,1998-03-01T00:00:00,1998-03-31T00:00:00
50135,63,EKE5434,Evaluation,Partial Investigation,"Evaluation at Marley Road, Harrietsham","Predetermination evaluation on site of possible development.  The area had been previously surveyed using geophysical techniques which had revealed possible feature which was likely as the area is next to LIA/RB and Saxon settlement sites.  The evaluation showed that archaeological features indeed continued across this section of the field. It was not possible to identify what the features were or what age they were, other than the the LIA/RB road which was found where it was predicted to be and was in a good condition.",,1998-06-01T00:00:00,1998-06-30T00:00:00
50136,64,EKE5485,Part Excavation,Partial Investigation,"Excavation on Iron Age burial, Ulcombe Churchyard","While hand-digging a grave in a new area of Ulcombe churchyard, a Late Iron Age cremation was discovered in 1995.",,1995-11-15T00:00:00,1995-11-15T00:00:00
50137,65,EKE5504,Watching Brief,Partial Investigation,Ulcombe Churchyard Extension,Finds located during grave-digging in June 2000.,,2000-06-01T00:00:00,2000-06-30T00:00:00
50139,66,EKE5554,Watching Brief,Partial Investigation,"Watching Brief at Land at Canterbury Road, Hawking","Watching brief on groundworks associated with residential development on ""Dickson Land to the rear of 48 Canterbury Road, Hawkinge.  The work identified EIA quarry pits and probable ovens and furnaces, together with traces of settlement.  Late IA/Early Conquest settlement with ephemeral remains of 16 cremations/pyre deposits was also found along with elements of possibly medieval or later field system, broadly in alignment with existing local boundaries.",,1999-06-01T00:00:00,1999-07-31T00:00:00
50140,67,EKE5704,Evaluation,Partial Investigation,"Evaluation at Deal North Barracks, Deal, Dover","Evaluation carried out in August 1999 at the former North Barracks, Deal.",,2000-08-01T00:00:00,2000-08-31T00:00:00
50141,68,EKE5858,Excavation,Full Excavation (1950-),"Excavation  at South Willesborough, Ashford, 2001","Following on from evaluation work in February 2001 which revealed evidence of Iron Age/Romano-British and earlier activity, this work uncovered more Iron Age/Romano-British pits and hearths (with no dating evidence).  An Iron Age cremation of an infant was also recovered, possibly associated with nearby pits.",,2001-07-18T00:00:00,2001-08-20T00:00:00
50144,69,EKE8163,Evaluation,Partial Investigation,"Evaluation Trenching: Dumpton Gap & South Dumpton Down, Broadstairs, May 1992","Two areas of land owned, then, by KCC were investigated prior to disposal for housing. One area contained few feature, but the other contained much evidence of concentrated long-term prehistoric settlement. Fieldwalking, metal detectoring and trial trenching were undertaken.",,2003-05-01T00:00:00,2003-05-31T00:00:00
50144,70,EKE8164,Evaluation,Partial Investigation,"Additional Evaluation Work at Dumpton Park Drive, Broadstairs 1993",Additional trenching carrying on from 1992 to the south to try and identify the extent of the occupation area.,,1993-01-01T00:00:00,1993-01-31T00:00:00
50144,71,EKE8165,Excavation,Full Excavation (1950-),"South Dumpton Down, Broadstairs 1994",Continuing evaluation work in 1992 & 3.  Excavtion took place on the area of the know Bronze Age/Iron Age site with the topsoil stripped and the archaeology sampled.  It is not clear when in 1994 this work took place and for how long.,,1994-01-01T00:00:00,1994-12-31T00:00:00
50145,72,EKE8161,Field Walking - Systematic Collection,N/a,"Field Walking: Dumpton Gap & South Dumpton Down, Broadstairs, May 1992","Two areas of land owned, then, by KCC were investigated prior to disposal for housing. One area contained few features, but the other contained a lot of evidence of concentrated long-term prehistoric settlement.",,1992-05-01T00:00:00,1992-05-31T00:00:00
50145,73,EKE8162,Metal Detector Use,N/a,"Metal Detecting: Dumpton Gap & South Dumpton Down, Broadstairs, May 1992","Two areas of land owned, then, by KCC were investigated prior to disposal for housing. One area contained few feature, but the other contained much evidence of concentrated long-term prehistoric settlement. Fieldwalking, metal detectoring and trial trenching were undertaken.",,1992-05-01T00:00:00,1992-05-31T00:00:00
50145,74,EKE8163,Evaluation,Partial Investigation,"Evaluation Trenching: Dumpton Gap & South Dumpton Down, Broadstairs, May 1992","Two areas of land owned, then, by KCC were investigated prior to disposal for housing. One area contained few feature, but the other contained much evidence of concentrated long-term prehistoric settlement. Fieldwalking, metal detectoring and trial trenching were undertaken.",,2003-05-01T00:00:00,2003-05-31T00:00:00
50145,75,EKE8164,Evaluation,Partial Investigation,"Additional Evaluation Work at Dumpton Park Drive, Broadstairs 1993",Additional trenching carrying on from 1992 to the south to try and identify the extent of the occupation area.,,1993-01-01T00:00:00,1993-01-31T00:00:00
50145,76,EKE8165,Excavation,Full Excavation (1950-),"South Dumpton Down, Broadstairs 1994",Continuing evaluation work in 1992 & 3.  Excavation took place on the area of the know Bronze Age/Iron Age site with the topsoil stripped and the archaeology sampled.  It is not clear when in 1994 this work took place and for how long.,,1994-01-01T00:00:00,1994-12-31T00:00:00
50147,77,EKE8425,Watching Brief,Partial Investigation,Watching Brief at Hawkinge Aerodrome,Watching brief (including a small area investigation) on topsoil stripping at Hawkinge.  A number of features were recorded suggesting the presence of a Bronze Age cremation cemetery (Site Code HWB 98).,,1998-03-01T00:00:00,1998-03-31T00:00:00
50149,78,EKE8502,Excavation,Full Excavation (1950-),"Excavation at Roman Road-Side Town, Westhawk Farm, Kingsnorth, Ashford, Kent",Excavation of a small Romano-British road-side town prior to new housing development.,,1998-08-01T00:00:00,1999-07-31T00:00:00
50153,79,EKE8575,Excavation,Full Excavation (1950-),Excavations at Springhead Roman Town,"An excavation and watching brief in advance of construction of the Channel Tunnel Rail Link.  Archaeological features were found across the site, but there was a concentration in the area of the former spring at the head of the Ebbsfleet.  Features ranged in period from the palaeolithic through to the early medieval.",,2000-09-01T00:00:00,2002-06-30T00:00:00
50153,80,EKE8576,Watching Brief,Partial Investigation,Watching Brief at Springhead Roman Town,"An excavation and watching brief in advance of construction of the Channel Tunnel Rial Link.  Archaeological features were found across the site, but there was a concentration in the area of the former spring at the head of the Ebbsfleet.  Features ranged in period from the palaeolithic through to the early medieval.",,2002-07-01T00:00:00,2002-09-30T00:00:00
50156,81,EKE12152,Evaluation,Partial Investigation,"Phase 1, Stage 2 evaulation at Kingsborough Manor, Eastchurch, Sheppey","Evaluation programme of the Phase 1, Stage 2, area of the site, plus an area for woodland planting and a trench across the Neolithic causewayed enclosure.",,2000-01-01T00:00:00,2000-04-30T00:00:00
50156,82,EKE8602,Watching Brief,Partial Investigation,"Watching Brief at Kingsborough Manor, Eastchurch Sheppey","The watching brief covered groundworks for new roads, landscaped ponds and the cutting of a gas main to the west of the site. Prehistoric and later archaeological features were identified.",,1999-07-01T00:00:00,1999-07-31T00:00:00
50156,83,EKE8604,Excavation,Full Excavation (1950-),"Excavation on Kingsborough Farm, Eastchurch, Isle of Sheppey","Kingsborough Farm, East Church Isle of Sheppey, Kent, Phase 1, Stage 2 Archaeological excavation summary report. Two areas, separated by a tree line were examined. Prehistoric and later archaeological features were recorded.",,2000-01-01T00:00:00,2000-04-30T00:00:00
50156,84,EKE8630,Evaluation,Partial Investigation,"Evaluation at Kingsborough Farm, Sheppey","Evaluation trenching prior to housing development. Archaeological features were predominately Late Bronze Age, possibly a settlement, with some Romano-British ditches.",,1999-02-23T00:00:00,1999-03-03T00:00:00
50161,85,EKE9059,Watching Brief,Partial Investigation,Package 330 General Watching Brief,General watching brief on works connected with the construction of the Channel Tunnel Rail Link (CTRL).  A range of archaeological features and sites were found dating between the Palaeolithic and post-medieval periods.,,1998-12-01T00:00:00,2000-05-31T00:00:00
50161,86,EWX9167,Excavation,Full Excavation (1950-),Area 330 (Zone 1) Whitehill Barrow (ARC WHR 99) excavation,"Excavations at Area 330 (Zone 1) Whitehill Barrow (ARC WHR 99). The site revealed traces of Early Bronze Age (barrow), Roman (Enclosure ditches, ovens & pit) and Post Medieval (pits, post built structure) activity.",,1998-12-01T00:00:00,2000-05-31T00:00:00
50162,87,EKE11501,Evaluation,Partial Investigation,Evaluation for the A253 from Monkton to Minster,A total of 11 trenches totalling 310m in length were done.,,1992-11-01T00:00:00,1993-03-31T00:00:00
50163,88,EKE13359,,Full Excavation (1950-),"Excavation of Area A, Waterbrook Park, Ashford, Kent (2007)","Excavation of Area A, Waterbrook Park, Ashford, Kent prior to clearance for development. The excavation followed a phase of evaluation and small excavation conducted by Canterbury Archaeological Trust in 1992/3 which had confirmed the existence of a multi-period settlement.The excavation identified a small Late Iron Age rural settlement, and evidence of earlier Bronze Age occupation.The total excavated area was approximately 2 hectares. The Post-excavation Assessment appears to hold the only report of these excavations.",,23/07/2007,27/09/2007
50163,89,EKE4857,Excavation,Full Excavation (1950-),"Excavation at Waterbrook Farm, Sevington",After evaulation trenching at Waterbrook Farm in 1992 an excavation was carried out in 1993.,,1993-01-01T00:00:00,1993-12-31T00:00:00
50165,90,EKE11662,Excavation,Full Excavation (1950-),"Excavation at Margetts Pit, Burham",Excavation of a 1.9ha area ahead of the construction of a lagoon. Archaeological features dating from the Neolithic through to the Roman period were found.,,2009-01-19T00:00:00,2009-05-15T00:00:00
50166,91,EKE8503,Watching Brief,Partial Investigation,"Watching Brief at the Page Road Development, Hawkinge Aerodrome","Watching brief during topsoil stripping revealed Iron Age and Romano-British features.  These included a ditch, a rubbish pit, six cremation burials and two possible pyres.",,2000-03-01T00:00:00,2000-09-30T00:00:00
50167,92,EKE11987,Evaluation,Partial Investigation,"Evaluation at Warden Bay Primary School site, Leysdown Road, Warden Bay",Evaluation by means of 18 trenches totalling 360m in length.,,2009-06-22T00:00:00,2009-06-26T00:00:00
50167,93,EKE11988,Evaluation,Partial Investigation,"Evaluation of the proposed Children s Centre site, Leysdown Road, Warden Bay",Evaluation by means of five trenches totalling 100m in length.,,2009-10-28T00:00:00,2009-11-02T00:00:00
50167,94,EKE11989,"Strip, Map and Sample",Full Excavation (1950-),"Excavation at Leysdown Road, Warden Bay",Excavation following two evaluations.,,2009-06-01T00:00:00,2011-06-30T00:00:00
50168,95,EKE12005,Excavation,Full Excavation (1950-),"Excavation at the former Bon Secours Nursing Home, Ramsgate",Excavation of two areas following on from an earlier evaluation.,,2002-07-01T00:00:00,2002-08-31T00:00:00
50170,96,EKE12042,Evaluation,Partial Investigation,"Evaluation on land at Tothill Street, Minster",Evaluation by means of 13 trenches. Most of the site was subsequently stripped of topsoil and the features plotted.,,2004-04-22T00:00:00,2004-05-11T00:00:00
50171,97,EKE13915,,Partial Investigation,"Archaeological evaluation at Cliffs End Farm, Thanet, 2004","15 trenches were excavated in May 2004. At least 5 ditches and 1 pit were identified together with late bronze age/early iron age pottery, early medieval pottery, medieval pottery and Second World War concrete slabs from anti-aircraft gun emplacements.",,2004-05-01T00:00:00,2004-05-31T00:00:00
50171,98,EKE9955,Excavation,Full Excavation (1950-),"Excavation at Cliffs End Farm, Ramsgate",Excavation following evaluation ahead of new housing. Evidence of Second World War activity on the site was also found but not included in the PXA.,,2004-07-05T00:00:00,2005-02-09T00:00:00
50172,99,EKE13127,,Partial Investigation,"Excavation at The Meads, Sittingbourne",Excavation following identification of significant archaeological features during a watching brief.,,2008-05-01T00:00:00,2008-05-31T00:00:00
50173,100,EKE13197,,Partial Investigation,"Strip, map and sample excavation, A2 Activity Park, Gravesend","Strip, map and sample excavation of the park site.",,2009-11-23T00:00:00,2010-03-12T00:00:00
50174,101,EKE13197,,Partial Investigation,"Strip, map and sample excavation, A2 Activity Park, Gravesend","Strip, map and sample excavation of the park site.",,2009-11-23T00:00:00,2010-03-12T00:00:00
50175,102,EKE10743,Excavation,Full Excavation (1950-),Targetted watching brief at Beechbrook Wood,"Strip, map and sample excavation at Beechbrook Wood, part of the CTRL works.",,2000-10-13T00:00:00,2001-08-17T00:00:00
50176,103,EKE9285,Excavation,Full Excavation (1950-),Excavation at the Former East Hill House Dartford,"An excavation at East Hill House discovered evidence of prehistoric and Late Bronze Age/Early Iron Age  occupation of the site, Late Iron Age burial and approximately 100 Roman inhumation graves. Palaeoenvironmental analysis was carried out on bulk samples to provide a rapid indication of the prescence and relevance of charred plant remains.",,2006-11-01T00:00:00,2006-11-30T00:00:00
