GID_gg,Material_category,HER_material_type,Material_type_code,Material_type,Material_type_specific
40043,Pottery,CLAY,10,Pottery,
40044,Bronze,BRONZE,9,Bronze/Cu Alloy,Bronze
40046,Amber/jet/shale,JET,26,Jet/Lignite/Shale/Coal,Jet
40047,Pottery,POTTERY,10,Pottery,
40049,Pottery,CLAY,10,Pottery,
40051,Amber/jet/shale,JET,26,Jet/Lignite/Shale/Coal,Jet
40054,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40056,Pottery,POTTERY,10,Pottery,
40072,Stone,GREENSTONE,22,Greenstone,
40077,Flint,FLINT,17,Chert / Flint,Flint
40078,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40079,Flint,FLINT,17,Chert / Flint,Flint
40080,Amber/jet/shale,JET,26,Jet/Lignite/Shale/Coal,Jet
40081,Pottery,POTTERY,10,Pottery,
40082,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40111,Flint,FLINT,17,Chert / Flint,Flint
40117,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40119,Flint,FLINT,17,Chert / Flint,Flint
40121,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40122,Flint,FLINT,17,Chert / Flint,Flint
40123,Amber/jet/shale,JET,26,Jet/Lignite/Shale/Coal,Jet
40145,Pottery,CLAY,10,Pottery,
40146,Flint,FLINT,17,Chert / Flint,Flint
40156,Iron,BRONZE / GLASS / IRON,24,Iron,
40157,Iron,BRONZE / GLASS / HORN / IRON,24,Iron,
40169,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40171,Bronze,BRONZE,9,Bronze/Cu Alloy,Bronze
40176,Pottery,CLAY,10,Pottery,
40181,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40189,Flint,FLINT,17,Chert / Flint,Flint
40193,Flint,FLINT,17,Chert / Flint,Flint
40194,Amber/jet/shale,JET,26,Jet/Lignite/Shale/Coal,Jet
40195,Pottery,CLAY,10,Pottery,
40199,Pottery,POTTERY,10,Pottery,
20000,Pottery,POTTERY,10,Pottery,
20001,Pottery,POTTERY,10,Pottery,
20003,Pottery,POTTERY,10,Pottery,
20005,Pottery,POTTERY,10,Pottery,
20007,Pottery,POTTERY,10,Pottery,
20009,Pottery,POTTERY,10,Pottery,
20012,Pottery,POTTERY,10,Pottery,
20015,Pottery,POTTERY,10,Pottery,
20017,Amber/jet/shale,AMBER,3,Amber,
20018,Pottery,POTTERY,10,Pottery,
20019,Bronze,BRONZE,9,Bronze/Cu Alloy,Bronze
20020,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
20021,Pottery,POTTERY,10,Pottery,
20022,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
20025,Pottery,POTTERY,10,Pottery,
20027,Pottery,POTTERY,10,Pottery,
20029,Flint,FLINT,17,Chert / Flint,Flint
20030,Stone,STONE,38,Stone (Uncertain/Unspecified),
20031,Amber/jet/shale,SHALE,34,Jet/Lignite/Shale/Coal,Shale
20038,Pottery,POTTERY,10,Pottery,
20041,Amber/jet/shale,AMBER,3,Amber,
20043,Gold,GOLD,20,Gold,
20044,Amber/jet/shale,AMBER,3,Amber,
20044,Bronze,COPPER ALLOY,14,Bronze/Cu Alloy,Copper Alloy
20045,Pottery,POTTERY,10,Pottery,
20047,Pottery,POTTERY,10,Pottery,
20049,Pottery,POTTERY,10,Pottery,
20054,Pottery,POTTERY,10,Pottery,
71235,Other,,48,Textile,
50000,Pottery,,10,Pottery,
71237,Pottery,,10,Pottery,
71238,Pottery,,10,Pottery,
50058,Pottery,,10,Pottery,
71239,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71240,Pottery,,10,Pottery,
71241,Flint,,17,Chert / Flint,Flint
71242,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71243,Flint,,17,Chert / Flint,Flint
71244,Stone,,38,Stone (Uncertain/Unspecified),
71245,Stone,,33,Sandstone,
71247,Bronze,,13,Copper,
71248,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71251,Flint,,17,Chert / Flint,Flint
71254,Stone,,38,Stone (Uncertain/Unspecified),
71255,Stone,,37,Slate,
71255,Bronze,,13,Copper,
71256,Bronze,,13,Copper,
71257,Pottery,,10,Pottery,
71258,Stone,,38,Stone (Uncertain/Unspecified),
71259,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71260,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71261,Pottery,,10,Pottery,
71262,Pottery,,10,Pottery,
71263,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71265,Pottery,,10,Pottery,
71264,Flint,,17,Chert / Flint,Flint
71266,Pottery,,10,Pottery,
71267,Pottery,,10,Pottery,
71268,Pottery,,10,Pottery,
71269,Pottery,,10,Pottery,
71270,Pottery,,10,Pottery,
71271,Flint,,17,Chert / Flint,Flint
71272,Pottery,,10,Pottery,
71273,Pottery,,10,Pottery,
71274,Pottery,,10,Pottery,
71275,Stone,,38,Stone (Uncertain/Unspecified),
71276,Pottery,,10,Pottery,
71277,Pottery,,10,Pottery,
50055,Pottery,,10,Pottery,
71280,Flint,,17,Chert / Flint,Flint
71279,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71278,Pottery,,10,Pottery,
71281,Flint,,17,Chert / Flint,Flint
71283,Pottery,,10,Pottery,
71285,Pottery,,10,Pottery,
71286,Flint,,17,Chert / Flint,Flint
71287,Pottery,,10,Pottery,
71288,Pottery,,10,Pottery,
71289,Pottery,,10,Pottery,
71290,Pottery,,10,Pottery,
71291,Pottery,,10,Pottery,
71292,Pottery,,10,Pottery,
71293,Pottery,,10,Pottery,
71294,Other,,12,Clay,
71295,Pottery,,10,Pottery,
71296,Pottery,,10,Pottery,
71297,Pottery,,10,Pottery,
71298,Flint,,17,Chert / Flint,Flint
71299,Pottery,,10,Pottery,
71300,Wood,,41,Wood (Uncertain/Unspecified),
71302,Flint,,17,Chert / Flint,Flint
71303,Amber/jet/shale,,3,Amber,
50312,Pottery,,10,Pottery,
71304,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71305,Pottery,,10,Pottery,
71306,Pottery,,10,Pottery,
71307,Pottery,,10,Pottery,
50001,Pottery,,10,Pottery,
71308,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71309,Flint,,17,Chert / Flint,Flint
71310,Flint,,17,Chert / Flint,Flint
71311,Flint,,17,Chert / Flint,Flint
71312,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71313,Pottery,,10,Pottery,
71314,Pottery,,10,Pottery,
71315,Pottery,,10,Pottery,
71317,Pottery,,10,Pottery,
71316,Flint,,17,Chert / Flint,Flint
71318,Other,,48,Textile,
71319,Pottery,,10,Pottery,
50002,Pottery,,10,Pottery,
71321,Pottery,,10,Pottery,
71322,Pottery,,10,Pottery,
71325,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71324,Wood,,41,Wood (Uncertain/Unspecified),
71327,Pottery,,10,Pottery,
71326,Pottery,,10,Pottery,
71331,Pottery,,10,Pottery,
71332,Pottery,,10,Pottery,
71333,Pottery,,10,Pottery,
71334,Pottery,,10,Pottery,
71335,Pottery,,10,Pottery,
71336,Pottery,,10,Pottery,
71337,Pottery,,10,Pottery,
71338,Pottery,,10,Pottery,
71339,Pottery,,10,Pottery,
71340,Pottery,,10,Pottery,
71341,Pottery,,10,Pottery,
71342,Pottery,,10,Pottery,
71343,Pottery,,10,Pottery,
71344,Pottery,,10,Pottery,
71345,Pottery,,10,Pottery,
71346,Pottery,,10,Pottery,
71347,Pottery,,10,Pottery,
71348,Pottery,,10,Pottery,
71349,Pottery,,10,Pottery,
71350,Pottery,,10,Pottery,
71352,Pottery,,10,Pottery,
71353,Pottery,,10,Pottery,
71356,Bronze,,9,Bronze/Cu Alloy,Bronze
71357,Bronze,,9,Bronze/Cu Alloy,Bronze
71358,Bronze,,9,Bronze/Cu Alloy,Bronze
71363,Pottery,,10,Pottery,
71362,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71361,Flint,,17,Chert / Flint,Flint
71365,Flint,,17,Chert / Flint,Flint
71364,Bone,,4,Bone/Antler/Horn/Ivory/Tooth (Animal),Antler
71366,Pottery,,10,Pottery,
71369,Pottery,,10,Pottery,
71368,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71367,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71370,Pottery,,10,Pottery,
71371,Pottery,,10,Pottery,
71373,Bronze,,9,Bronze/Cu Alloy,Bronze
71374,Bronze,,9,Bronze/Cu Alloy,Bronze
71372,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71375,Bronze,,9,Bronze/Cu Alloy,Bronze
71377,Bronze,,9,Bronze/Cu Alloy,Bronze
71379,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71380,Wood,,41,Wood (Uncertain/Unspecified),
71381,Flint,,17,Chert / Flint,Flint
71382,Pottery,,10,Pottery,
71383,Pottery,,10,Pottery,
71384,Pottery,,10,Pottery,
71385,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71386,Flint,,17,Chert / Flint,Flint
71389,Pottery,,10,Pottery,
71391,Pottery,,10,Pottery,
71388,Pottery,,10,Pottery,
71387,Bronze,,9,Bronze/Cu Alloy,Bronze
71394,Pottery,,10,Pottery,
71395,Pottery,,10,Pottery,
71396,Pottery,,10,Pottery,
71397,Pottery,,10,Pottery,
71398,Wood,,30,Wood,Oak
71399,Wood,,30,Wood,Oak
71399,Amber/jet/shale,,34,Jet/Lignite/Shale/Coal,Shale
71400,Pottery,,10,Pottery,
71405,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71404,Flint,,17,Chert / Flint,Flint
71403,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71402,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71401,Stone,,38,Stone (Uncertain/Unspecified),
50009,Iron,,24,Iron,
50010,Pottery,,10,Pottery,
71407,Pottery,,10,Pottery,
71409,Pottery,,10,Pottery,
71408,Bone,,4,Bone/Antler/Horn/Ivory/Tooth (Animal),Antler
71411,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71410,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71414,Pottery,,10,Pottery,
71413,Stone,,38,Stone (Uncertain/Unspecified),
71412,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71416,Pottery,,10,Pottery,
71415,Pottery,,10,Pottery,
40040,Pottery,,10,Pottery,
71417,Pottery,,10,Pottery,
40041,Flint,,17,Chert / Flint,Flint
71418,Pottery,,10,Pottery,
71420,Pottery,,10,Pottery,
71419,Flint,,17,Chert / Flint,Flint
71423,Flint,,17,Chert / Flint,Flint
71422,Pottery,,10,Pottery,
71421,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71424,Flint,,17,Chert / Flint,Flint
71425,Pottery,,10,Pottery,
71427,Flint,,17,Chert / Flint,Flint
71426,Flint,,17,Chert / Flint,Flint
50011,Pottery,,10,Pottery,
50014,Pottery,,10,Pottery,
71429,Pottery,,10,Pottery,
71428,Wood,,30,Wood,Oak
71434,Flint,,17,Chert / Flint,Flint
71433,Pottery,,10,Pottery,
71432,Bone,,25,Bone/Antler/Horn/Ivory/Tooth (Animal),Ivory
71431,Pottery,,10,Pottery,
71430,Bone,,4,Bone/Antler/Horn/Ivory/Tooth (Animal),Antler
71437,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71441,Wood,,41,Wood (Uncertain/Unspecified),
71442,Flint,,17,Chert / Flint,Flint
71440,Flint,,17,Chert / Flint,Flint
71439,Flint,,17,Chert / Flint,Flint
71438,Stone,,22,Greenstone,
71445,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71446,Stone,,38,Stone (Uncertain/Unspecified),
71444,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71443,Pottery,,10,Pottery,
71448,Pottery,,10,Pottery,
71449,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71449,Bronze,,9,Bronze/Cu Alloy,Bronze
71449,Stone,,38,Stone (Uncertain/Unspecified),
71450,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71454,Pottery,,10,Pottery,
71453,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71452,Stone,,38,Stone (Uncertain/Unspecified),
71451,Unknown,,47,Organic  (Uncertain/Unspecified),
71457,Pottery,,10,Pottery,
71456,Pottery,,10,Pottery,
71459,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71459,Wood,,41,Wood (Uncertain/Unspecified),
71458,Flint,,17,Chert / Flint,Flint
71460,Wood,,41,Wood (Uncertain/Unspecified),
71461,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71462,Pottery,,10,Pottery,
71463,Flint,,17,Chert / Flint,Flint
71464,Pottery,,10,Pottery,
71468,Pottery,,10,Pottery,
71469,Flint,,17,Chert / Flint,Flint
71470,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71471,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71472,Flint,,17,Chert / Flint,Flint
71472,Stone,,38,Stone (Uncertain/Unspecified),
71473,Flint,,17,Chert / Flint,Flint
71474,Pottery,,10,Pottery,
71475,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71476,Pottery,,10,Pottery,
71477,Stone,,38,Stone (Uncertain/Unspecified),
71478,Pottery,,10,Pottery,
71479,Wood,,41,Wood (Uncertain/Unspecified),
71480,Pottery,,10,Pottery,
71482,Pottery,,10,Pottery,
71481,Pottery,,10,Pottery,
71488,Flint,,17,Chert / Flint,Flint
71487,Pottery,,10,Pottery,
71486,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71485,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71484,Unknown,,47,Organic  (Uncertain/Unspecified),
71484,Wood,,41,Wood (Uncertain/Unspecified),
71483,Pottery,,10,Pottery,
71489,Pottery,,10,Pottery,
71490,Stone,,32,Quartz/Quartzite,
71491,Flint,,17,Chert / Flint,Flint
71492,Pottery,,10,Pottery,
71493,Pottery,,10,Pottery,
71495,Pottery,,10,Pottery,
71494,Pottery,,10,Pottery,
71496,Flint,,17,Chert / Flint,Flint
71497,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71498,Pottery,,10,Pottery,
71499,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71500,Bone,,25,Bone/Antler/Horn/Ivory/Tooth (Animal),Ivory
71501,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71502,Pottery,,10,Pottery,
71503,Flint,,17,Chert / Flint,Flint
71504,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71505,Flint,,17,Chert / Flint,Flint
71506,Stone,,32,Quartz/Quartzite,
71507,Flint,,17,Chert / Flint,Flint
71508,Pottery,,10,Pottery,
71509,Flint,,17,Chert / Flint,Flint
71510,Pottery,,10,Pottery,
10003,Unknown,OAK,47,Organic  (Uncertain/Unspecified),
10009,Flint,FLINT,17,Chert / Flint,Flint
10010,Stone,STONE,22,Greenstone,
10019,Pottery,POTTERY,10,Pottery,
10022,Bronze,BRONZE,9,Bronze/Cu Alloy,Bronze
10023,Pottery,POTTERY,10,Pottery,
10028,Bronze,COPPER ALLOY,14,Bronze/Cu Alloy,Copper Alloy
10029,Bronze,COPPER ALLOY,14,Bronze/Cu Alloy,Copper Alloy
10030,Bronze,BRONZE,9,Bronze/Cu Alloy,Bronze
10031,Bronze,BRONZE,9,Bronze/Cu Alloy,Bronze
10031,Iron,IRON,24,Iron,
71564,Bone,,4,Bone/Antler/Horn/Ivory/Tooth (Animal),Antler
71563,Wood,,41,Wood (Uncertain/Unspecified),
71562,Flint,,17,Chert / Flint,Flint
71561,Pottery,,10,Pottery,
71560,Pottery,,10,Pottery,
71559,Pottery,,10,Pottery,
71558,Pottery,,10,Pottery,
71557,Flint,,17,Chert / Flint,Flint
71556,Flint,,17,Chert / Flint,Flint
71555,Flint,,17,Chert / Flint,Flint
71554,Pottery,,10,Pottery,
71553,Flint,,17,Chert / Flint,Flint
71566,Pottery,,10,Pottery,
71565,Flint,,17,Chert / Flint,Flint
40059,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71567,Flint,,17,Chert / Flint,Flint
71568,Flint,,17,Chert / Flint,Flint
71569,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71570,Stone,,38,Stone (Uncertain/Unspecified),
71570,Wood,,41,Wood (Uncertain/Unspecified),
71571,Flint,,17,Chert / Flint,Flint
71572,Flint,,17,Chert / Flint,Flint
71578,Bronze,,9,Bronze/Cu Alloy,Bronze
71580,Pottery,,10,Pottery,
71579,Iron,,24,Iron,
71582,Pottery,,10,Pottery,
71581,Pottery,,10,Pottery,
71588,Pottery,,10,Pottery,
71587,Pottery,,10,Pottery,
71584,Pottery,,10,Pottery,
71589,Pottery,,10,Pottery,
71597,Wood,,41,Wood (Uncertain/Unspecified),
71597,Iron,,24,Iron,
71599,Pottery,,10,Pottery,
71602,Bronze,,9,Bronze/Cu Alloy,Bronze
71605,Pottery,,10,Pottery,
71606,Pottery,,10,Pottery,
71607,Pottery,,10,Pottery,
71608,Pottery,,10,Pottery,
71609,Bronze,,9,Bronze/Cu Alloy,Bronze
71611,Bronze,,9,Bronze/Cu Alloy,Bronze
71610,Bronze,,9,Bronze/Cu Alloy,Bronze
71612,Pottery,,10,Pottery,
71615,Pottery,,10,Pottery,
71616,Pottery,,10,Pottery,
71617,Pottery,,10,Pottery,
71613,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71614,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71602,Wood,,51,Wood,Yew
71602,Iron,,24,Iron,
71623,Pottery,,10,Pottery,
71622,Pottery,,10,Pottery,
71621,Pottery,,10,Pottery,
71620,Pottery,,10,Pottery,
71619,Pottery,,10,Pottery,
71618,Wood,,41,Wood (Uncertain/Unspecified),
71618,Bronze,,9,Bronze/Cu Alloy,Bronze
71624,Pottery,,10,Pottery,
71626,Pottery,,10,Pottery,
71628,Pottery,,10,Pottery,
71627,Pottery,,10,Pottery,
71629,Pottery,,10,Pottery,
71630,Pottery,,10,Pottery,
71631,Pottery,,10,Pottery,
71632,Pottery,,10,Pottery,
71633,Pottery,,10,Pottery,
71634,Pottery,,10,Pottery,
71635,Pottery,,10,Pottery,
71636,Pottery,,10,Pottery,
71625,Pottery,,10,Pottery,
71637,Pottery,,10,Pottery,
71638,Pottery,,10,Pottery,
71639,Pottery,,10,Pottery,
71640,Pottery,,10,Pottery,
71641,Pottery,,10,Pottery,
71642,Pottery,,10,Pottery,
71643,Pottery,,10,Pottery,
71644,Pottery,,10,Pottery,
71645,Pottery,,10,Pottery,
71646,Pottery,,10,Pottery,
71647,Pottery,,10,Pottery,
71648,Pottery,,10,Pottery,
71649,Pottery,,10,Pottery,
71650,Pottery,,10,Pottery,
71651,Pottery,,10,Pottery,
71652,Pottery,,10,Pottery,
71653,Pottery,,10,Pottery,
71654,Amber/jet/shale,,34,Jet/Lignite/Shale/Coal,Shale
71655,Amber/jet/shale,,34,Jet/Lignite/Shale/Coal,Shale
71656,Amber/jet/shale,,34,Jet/Lignite/Shale/Coal,Shale
71657,Amber/jet/shale,,34,Jet/Lignite/Shale/Coal,Shale
71658,Amber/jet/shale,,34,Jet/Lignite/Shale/Coal,Shale
71662,Pottery,,10,Pottery,
50028,Pottery,,10,Pottery,
71666,Pottery,,10,Pottery,
71667,Pottery,,10,Pottery,
71668,Pottery,,10,Pottery,
71669,Pottery,,10,Pottery,
71670,Pottery,,10,Pottery,
71671,Pottery,,10,Pottery,
71672,Pottery,,10,Pottery,
71673,Stone,,38,Stone (Uncertain/Unspecified),
71674,Flint,,17,Chert / Flint,Flint
71675,Flint,,17,Chert / Flint,Flint
71676,Flint,,17,Chert / Flint,Flint
71677,Flint,,17,Chert / Flint,Flint
71678,Flint,,17,Chert / Flint,Flint
71690,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71679,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71680,Pottery,,10,Pottery,
71681,Flint,,17,Chert / Flint,Flint
71682,Pottery,,10,Pottery,
71683,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71684,Flint,,17,Chert / Flint,Flint
71686,Pottery,,10,Pottery,
71687,Pottery,,10,Pottery,
71688,Flint,,17,Chert / Flint,Flint
71689,Pottery,,10,Pottery,
71691,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71692,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71693,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71694,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71695,Bone,,4,Bone/Antler/Horn/Ivory/Tooth (Animal),Antler
71696,Pottery,,10,Pottery,
71697,Flint,,17,Chert / Flint,Flint
71698,Bone,,40,Bone/Antler/Horn/Ivory/Tooth (Animal),Tooth
71699,Flint,,17,Chert / Flint,Flint
71700,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71701,Other,,35,Coral/Shell,Shell
71701,Stone,,38,Stone (Uncertain/Unspecified),
71702,Pottery,,10,Pottery,
71703,Pottery,,10,Pottery,
71704,Pottery,,10,Pottery,
71705,Flint,,17,Chert / Flint,Flint
71706,Flint,,17,Chert / Flint,Flint
71708,Pottery,,10,Pottery,
71707,Flint,,17,Chert / Flint,Flint
71709,Flint,,17,Chert / Flint,Flint
71710,Flint,,17,Chert / Flint,Flint
71711,Flint,,17,Chert / Flint,Flint
71712,Flint,,17,Chert / Flint,Flint
71713,Flint,,17,Chert / Flint,Flint
71717,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71718,Pottery,,10,Pottery,
71720,Pottery,,10,Pottery,
71719,Pottery,,10,Pottery,
71721,Pottery,,10,Pottery,
50036,Pottery,,10,Pottery,
60004,Amber/jet/shale,AMBER,3,Amber,
60009,Stone,STONE,53,Steatite,
60010,Stone,STONE,38,Stone (Uncertain/Unspecified),
60011,Stone,STONE,38,Stone (Uncertain/Unspecified),
60028,Flint,STONE,17,Chert / Flint,Flint
60035,Stone,STONE,69,Gneiss ,
71783,Pottery,,10,Pottery,
71784,Flint,,17,Chert / Flint,Flint
71785,Flint,,17,Chert / Flint,Flint
71786,Pottery,,10,Pottery,
71789,Flint,,17,Chert / Flint,Flint
71787,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71788,Flint,,17,Chert / Flint,Flint
71790,Flint,,17,Chert / Flint,Flint
71791,Flint,,17,Chert / Flint,Flint
71792,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71794,Pottery,,10,Pottery,
71793,Flint,,17,Chert / Flint,Flint
71795,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71796,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71797,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71798,Stone,,32,Quartz/Quartzite,
71799,Other,,12,Clay,
71801,Flint,,17,Chert / Flint,Flint
71802,Pottery,,10,Pottery,
71803,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71804,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71805,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71806,Flint,,17,Chert / Flint,Flint
71807,Bronze,,14,Bronze/Cu Alloy,Copper Alloy
71808,Flint,,17,Chert / Flint,Flint
71809,Flint,,17,Chert / Flint,Flint
71810,Amber/jet/shale,,26,Jet/Lignite/Shale/Coal,Jet
71811,Flint,,17,Chert / Flint,Flint
71812,Flint,,17,Chert / Flint,Flint
71815,Flint,,17,Chert / Flint,Flint
71814,Bone,,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
71813,Wood,,41,Wood (Uncertain/Unspecified),
71818,Pottery,,10,Pottery,
71816,Flint,,17,Chert / Flint,Flint
71819,Flint,,17,Chert / Flint,Flint
71820,Unknown,,47,Organic  (Uncertain/Unspecified),
