Site_context_ID,Site_context_name,HER_site_context_montype,Site_context_summary,Site_context_description
40001,"IRON AGE BARROWS, HUNTOW",ENCLOSURE,"Site of Iron Age enclosure and barrows, 5 of which opened in 1857 with finds of human and animal bone, brooches, flint implements and urns.  Association with square barrow MHU 6762 and possible settlement MHU 15543.",
40002,"CROPMARK COMPLEX, SE OF POCKLINGTON",BARROW CEMETERY,Aerial photographs show cropmark complex of a system of rectangular enclosures and some probable square barrows.,<FURTHER INFO>
40003,NEOLITHIC OCCUPATION SITE,OCCUPATION SITE,"Trial excavation undertaken by the Grantham's on the Old Show Field, adjoining St John's Road, in 1953, revealed an irregular hollow overlain by a black layer of occupation debris, containing Neolithic sherds, animal bone and flint scrapers.  Two skeletons also discovered.",<FURTHER INFO>
40004,BURIALS AND SETTLEMENT SITE,SETTLEMENT,"Site of two crouched inhumations, one with a beaker, were found on a building site at the foot of Spout Hill in 1950. Roman and Medieval wall footings were exposed and Iron Age, Roman and Medieval pottery was found.",
40005,"ROUND BARROW, SE OF EAST LEYS PLANTATION",HENGE,"Site of barrow with ring ditch 22m in internal diameter, of linked quarry pits. Sherds Peterbrough-ware bowls, flint imlemnts & utilised stones were at the base of secondary ditch silting.",<FURTHER INFO>
40006,SQUARE BARROW CEMETERY (G50-4),BARROW CEMETERY,"Aerial photographs show cropmarks of square barrow cemetery. Five barrows excavated by Greenwell, and later parts of the cemetery were excavated by Stead.",
40007,"BA CREMATION CEMETERY, FOSSE HILL QUARRY",HENGE,,<FURTHER INFO>
40008,"BA CEMETERY, BRYAN MILLS FARM",INHUMATION CEMETERY,,<FURTHER INFO>
40009,BLEALANDS NOOK SETTLEMENT,INHUMATION CEMETERY,,<FURTHER INFO>
40010,LAIR HILL IA CEMETERY & SETTLEMENT,INHUMATION CEMETERY,,<FURTHER INFO>
40011,CROUCHED INHUMATION BURIAL & ROMANO BRITISH DITCH,SETTLEMENT,A crouched inhumation burial and Romano-British ditch discovered in a chalk quarry in 1921.,"'An Iron Age crouched burial and a ditch of an RB settlement site, with associated domestic rubbish, found in 1921 in a chalk quarry at Middleton on the Wolds'. <1> 'A chalk-cut grave, one yard square, containing a crouched inhumation having an iron braclet threaded with two large bone beads on its arm, was revealed during factory extensions at a quarry (c1921) - centred at SE 9423 5013. Two small pieces of iron, large bone ring made from red deer antler, fragments of pottery including those from small Roman circular dish also in grave. Two V-shaped trenches, one extending at least 11yds south from grave; the other extending 8ft south from the quarry edge and turing right angles eastward into factory. Infilling contained numerous animal bones, pot boilers, Roman pot sherds, chalk loam weight, flint pounder and a pair of bronze tweezers. Objects in Hull Museum. <2> Photocopied extract from 'Roman Remains at Middleton On The Wolds', The East Riding Antiquarian Society Volume 21 1921-1922, p.80-84. <3> Pastscape Website Description. <4>"
40012,WETWANG FIELD BA CEMETERY,INHUMATION CEMETERY,Site of possible Bronze Age cemetery recorded at Wetwang Field.,<FURTHER INFO>
40013,PADDOCK HILL,HENGE,,
40014,DANES' GRAVES BARROW CEMETERY,BARROW CEMETERY,,
40015,"RING DITCH, BROACH DALE",HEARTH,,<FURTHER INFO>
40016,WOLDGATE CURSUS (CURSUS A) (G66),CURSUS,,"CDG added. Long barrow reused as round barrow? Oriented E-W and 42m long x 12m wide and 1.4m high. Approximate site of two long Barrows, Greenwell No 66.. Earth in the middle and chalk on either side; to the W. end there seemed to be a round barrow, in it an adult female burial with an ""A"" Beaker. Above this was a skeleton of a child, below the woman lay a wooden beam 5'9"" x 9"" x 4"" covering a 7ft grave in which was a skeleton & ""C"" Beaker, and bones, of a skeleton which had been relaid after disturbance. 76ft. E. of grave were further human skeletons of a man and two children. A second mound 190ft long, 50ft wide 4ft high extended from W. end of the first. No burial found in it, but flint flakes, charcoal and pottery fragments were numerous. Animal bones, and plain dark coloured pottery Neo 'A' according to Newbigin P.P.5.3., this includes a rim of Form H and a horizontal lug. This is one of two pairs of Long Barrows at Rudston joined in V formation. The other pair form Greenwell's No 224. he principle mound was aligned east-west, with either of the two extremities being of a greater elevation than the middle part. The mound was 137 ft long with a mean breadth of 40ft, the west end was 4.5ft high and the east 5ft. The long barrow contained numerous animal bones, flint chippings, charcoal and sherds of plain, dark-coloured pottery throughout the whole of its length but principally at the level of the old ground surface. At the west end and below the centre of the round barow was the body of a young adult women. The inhumation was 2ft above the level of the natural surface and just in front of the right tibia was a ""drinking cup"". At a level 6"" higher (the head lying above the woman's knees) were the remains of a child aged about 8 or 9. Immediately above the head was a flint knife 1.75"" long. Underneath the woman, at the level of the natural surface, was a wooden beam which covered a grave which was 7ft long, 4.5ft wide and 2ft deep. This grave contained the body of an adult of uncertain sex, behind the head was a ""drinking cup"" , three flint scrapers and some chippings were also found in the grave. Just beyond the feet of this inhumation were the remains of a young woman which had been disturbed and relaid. They had been placed in a heap with the skull on top of the other bones. The mound also contained the remains of a male of large stature, a child and a single piece of burnt bone."
40017,"Grimthorpe, Millington",INHUMATION CEMETERY,"E 815 533) An Iron Age univallate hill fort almost levelled by the plough was identified in AP's in 1958 (2). It had formerly been noted by Mortimer (1) who mentions the ""filled up inner ditch of a supposed camp"" in describing a burial discovered in a chalkpit within the 'camp' in 1868. The burial was associated with an iron sword, shield, spearhead etc. (Finds in the BM) Three other inhumations were unaccompanied. A trial excavation was carried out in 1958 followed by further excavations in 1961/2.The defences consisted of a single ditch 6-7 feet deep, 10-15 feet wide, with a berm on the inside 12 to 15 feet wide, behind that a timber laced bank 6 feet wide, and an entrance in the SE; enclosing approx 8 acres. (See plan). Eight four-post structures within the enclosure were interpreted as granaries. A large quantity of pottery and animal bones came mainly from the ditch. Medieval and RB pottery and a sherd of a BA collared urn, came from the surface of the interior. An unaccompanied crouched burial was found in the filling of the ditch. Stead suggests a date of 1st century BC for the warrior burial found in 1868, the decoration on the shield being La Tene Style. However, he points out that the burial, granaries and hill fort need not be contemporary. (1-4)Site is still under plough, and no intelligible remains of the work survive. In both excavation areas (see plan) the rampart is just discernible as a broad swelling, but elsewhere its course can only be envisaged from the general contour of the ground. Outline surveyed from APs (auth 3) at 1:2500. (5)Listed by Challis and Harding as a hill fort (Iron Age) composed of a timber-framed box rampart, 6ft wide and contained within its area several La Tene burials, one of which was accompained by a sword and shield. (6)SE 816 534. Grimthorpe. Listed in gazetteer as a univallate hillfort covering 3.1ha. (7)",
40018,SQUARE BARROW CEMETERY,BARROW CEMETERY,,<FURTHER INFO>
40019,IRON AGE/ RB SETTLEMENT SITE,OCCUPATION SITE,"Iron Age/Romano-British settlement site discovered by C & E Grantham in 1952 and excavated in that year. Ditches, Iron Age and Roman pot found with other finds.",<FURTHER INFO>
40020,IA/RB SETTLEMENT SITE,OCCUPATION SITE,"Trench containing an inhumation and Roman ""rubbish"" found during excavtions at Driffield areodrome in the 1930s. Finds included Iron Age and Roman pot indicating a possible native settlement site of the 1st or early 2nd century AD.",<FURTHER INFO>
40021,LA TENE INHUMATION CEMETERY,INHUMATION CEMETERY,"Construction work at Driffield areodrome in 1938 revealed a small Iron Age cemetery of 75 square barrows containing the remains of inhumations, associated vessels, animal bone and other finds.",<FURTHER INFO>
40022,ROMAN AUXILIARY FORT & ANGLO-SAXON OCCUPATION SITE,DITCH,"Site of a Roman Auxiliary Fort, identified on aerial photographs and through trial excavation. The fort was established and abandoned in the 1st century A.D, finds from the site include pottery, coins, animal bones, quern stones, human remains and animal remains. Excavations also identified an Anglo-Saxon Grubenhaus along with spindle whorls, a bone comb and 5th century pottery sherds.","SE 816 454. Roman auxiliary fort of 3_ acres discovered by J.K St Joseph (A.P's BQQ 9 and 10) at SE 816 454, Hayton parish. The aerial photographs taken by St. Joseph in 1974 show a small fort surrounded by double ditches, distinct on the south-east, north-east and north-west sides, with rounded angles. Further photography in 1975 introduced the possibility that the fort had a single-ditched annexe to the north-east. A small scale excavation in Febuary 1975 located the eastern angle, parts of the angle-tower and the south-east gateway. In October and November 1975 further excavations took place on the north side of the road and located the line of the ditches on the three remaining sides as well as the north-east gateway, the north angle-tower and remains of two of the interior buildings. The fort was found to be a regular rectangle measuring 148 metres north-east and south-west by 101 metres. There were two defensive ditches in all the areas examined. The outer ditch was V-shaped, 2.2m wide and 1.0m deep. The inner ditch was a shallow U-shape, 3.8m wide and 1.0m deep. There was no surviving trace of the rampart, its position being indicated only by that of the post holes of the gate and corner towers. Finds were prolific, especially pottery, but also included coins, animal bones, quern-stones and a number of small finds. A human skull was found at the bottom of the inner ditch and a complete cow burial of pre-Roman date was found near the east corner. The finds indicate that the fort was founded around AD 70-71 and was occupied for only a short period. There was also evidence that the site was used as settlement in Saxon times. <1> SE 816 454 (centre). Roman auxiliary fort, SW of Hayton village, approximately 150 x 100m in size. Normal 'playing card' shape and apparently double-ditched defences, which are partially sealed below the modern lane. Many cropmarks can be seen in the vicinity of the fort area. The site has recently been excavated by Johnson (1975-76) and demonstrated to be Flavian in occupation and abandonment. <2> SE 8170 4548. Excavations in 1975 on the auxiliary fort uncovered barrack buildings and refuse pits inside the north angle. The north-west and south-east gates, with the north and north-eastern angle turrets were exposed and the defences were traced for much of their length. The dimensions within the inner of the two ditches 154 x 106m. No clear evidence of rebuilding found, the site apparently abandoned within the Flavian period. In a large area where no sign of Roman house buildings could be found, the bottom of a Grubenhaus came to light, containing several spindle whorls, a bone comb and sherds of severla late 5th century pots. An possible annexe, c.105 x 65 m (344.5 x 213.3 ft), with a rounded corner lies to the north-east. <3> SE 816 454. Roman auxiliary fort of 3_ acres discovered by J.K St Joseph (A.P's BQQ 9 and 10) at SE 816 454, Hayton parish. The aerial photographs taken by St. Joseph in 1974 show a small fort surrounded by double ditches, distinct on the south-east, north-east and north-west sides, with rounded angles. Further photography in 1975 introduced the possibility that the fort had a single-ditched annexe to the north-east. A small scale excavation in Febuary 1975 located the eastern angle, parts of the angle-tower and the south-east gateway. In October and November 1975 further excavations took place on the north side of the road and located the line of the ditches on the three remaining sides as well as the north-east gateway, the north angle-tower and remains of two of the interior buildings. The fort was found to be a regular rectangle measuring 148 metres north-east and south-west by 101 metres. There were two defensive ditches in all the areas examined. The outer ditch was V-shaped, 2.2m wide and 1.0m deep. The inner ditch was a shallow U-shape, 3.8m wide and 1.0m deep. There was no surviving trace of the rampart, its position being indicated only by that of the post holes of the gate and corner towers. Finds were prolific, especially pottery, but also included coins, animal bones, quern-stones and a number of small finds. A human skull was found at the bottom of the inner ditch and a complete cow burial of pre-Roman date was found near the east corner. The finds indicate that the fort was founded around AD 70-71 and was occupied for only a short period. There was also evidence that the site was used as settlement in Saxon times. <4> Additional information on the fort from YAS Card: 5061 can be found in 'The Parisi' by H.Ramm in 1978, p.7, 31-33; 'The ER of Yorkshire Landscape' by K.J. Allison, 1976, p.38; Hull Museum Record; Britannia IX, 1978, p.57-114; Yorkshire Archaeological Journal Volume XXXI, 1959, p. 199; Yorkshire Archaeological Journal Volume XXXII, 1960, p. 234; Yorkshire Archaeological Journal Volume XXXIII, 1961, p.224; Yorkshire Archaeological Journal Volume XXXIX, 1965, p. 336; Yorkshrie Archaeological Journal Volume XLVII, 1975, p. 3; 'A Gazeteer of Roman Remains in ER, by M.Kitson-Clark, 1935, p. 133; Journal of Roman Studies Volume 67, 1977, p.129-130 and Britannia VII, 1976, p.315-16. <5> Aerial photograph showing the site of a Roman Fort, cropmarks, ditches, enclosure and trackway in the parish of Hayton, CUAC BYW 44. <6> Cross reference MHU 4311 (Roman Coin Assemblage, 1981-83) with MHU 4495 (Roman Fort). <7> Hayton (SE 818 455). A straight ditch continuing the line of the south-east defences of the fort is visible on Cambridge University air photographs. After running north-west for 60m this ditch turns at right-angles, forminga rounded corner, and may represent an annexe to the fort on the north-west, enclosing an area 1905 by 65m. <8> Hayton (SE 816 456). Excavations on the first century fort, located from the air by Cambridge Auniversity photographers, were directed by J.S. Johnson for the Department of the Environment. The defences were traced for much of their length and the dimensions of the fort within the inner of the two ditches were found to be 154 by 106m. The north-west and south-east gates and the northern and north-eastern angle turrets were exposed. An area inside the northern angle revealed the beam-slots of timber barracks. The barrack building excavated was 8m wide and must originally have been about 34m long, though only traced for 23m because of the presence of the modern road. The space between the barracks, 5.5m wide, contained several rubbish pits, capped with gravel. There was no trace of widening of the barrack block at the rampart end for centurion's quarters, though partition slots, of which only slight traces survived, suggested that the commanding officer's quarters lay in that position. Nowhere was there any clear evidence of rebuilding during the life of the fort. The beam-slots and other small drainage features within the fort produced a good range of pottery. The site appears to have been abandoned within the Flavian period. In a large area where disturbance of the sandy subsoil failed to produce any sign of Roman timber buildings, the very bottom of a 'working hollow' or 'grubenhaus' of Saxon type came to light. This contained several spindle-whorls, a bone comb, and sherds of several late fifth-century pots, of both decorated and plain fabrics. <9> Aerial photograph showing the site of a Roman Fort and a moated site, DNR 1568/11. <10> Photocopied extract 'Excavations at Hayton Roman Fort, 1975' by S. Johnson, in Britannia IX, 1978, p.57-114. <11> Photocopied article  regarding the excavations undertaken on the Roman Fort at Hayton, from Britannia VII, 1976, p. 315-6. <12> Information from Hull Museums regarding the metal dectoring finds of a 'Column headed coins/brooches' in the area of Hayton Fort. <13> Article 'Roman Military Deployment in North England' by D.J. Breeze and B. Dobson, in Britannia VI, 1985, p.1-19. <14> Two decorative fittings in form of two acorns with one centred oak leaf. One has acorn missing. These are decorative military mounts, 1st century AD, from Hayton. Information received from Hull Museums through a metal dector, Mr D. Haldenby. <15> Two aerial photographs showing a Roman Fort at Hayton, DNR 1072/34 & 35. <16> Photocopied extract from 'Ancient Landscapes of the Yorkshire Wolds' by C.Stoertz, p. 17 & fig.6. <17> Two aerial photographs showing the site of a Roman Fort, cropmarks, trackway, ditches and enclosure in the parish of Hayton, CUAC BUL 59 & 63. <18> Aerial photograph showing a Roman Fort and cropmarks in the parish of Hayton, CUAC BQQ 10. <19> Aerial photograph showing a Roman Fort and cropmarks in the parish of Hayton, CUAC BTZ 47. <20> Two aerial photographs showing a Roman Fort, cropmarks Anglo-Saxon occupation site, trackway, ditches and enclosure in the parish of Hayton, CUAC BTZ 047 & 048. <21> Aerial photographs showing a Roman Fort, cropmarks Anglo-Saxon occupation site, trackway, ditches and enclosure in the parish of Hayton, CUAC BQT 017. <22> Aerial photographs showing a Roman Fort, cropmarks Anglo-Saxon occupation site, trackway, ditches and enclosure in the parish of Hayton, CUAC BQS 067 & 068. <23> Slide showing a plot of the cropmarks in the landscape around Hayton, 4.0161. <24>"
40023,SITE OF WEST FURZE LAKE DWELLING,CRANNOG,"Site of West Furze Lake Dwelling that was excavated in 1880-81 by Boynton and found to have had two periods of occupation, Neolithic and Late Bronze Age/Iron Age.","Aerial photograph of the site from the NMR. <1> 'The overlying platforms, 72ft east-west by 50ft north-south, of a two period lake dwelling, Neolithic and Late Bronze Age/Iron Age, cut by Skipsea Drain, was discovered and excavated 1880-81 by Boynton. The adjacent area had Iron Age/Romano-British occupation. The platforms lay on a peat layer over natural gravel which is 10ft below modern ground level. The construction was of a layer of brushwood overlain by large tree trunks and branches held together by piles inserted between them. The spaces were filled in with broken wood, the whole covered by a layer of sand and then 18ins of twigs and bark. On the north side were two straight rows of blunt pointed stakes, probably connecting both shores, with a single row at south facing upstream. The earliest occupation was characterized by piles sharpened by stone tools and the absence of pottery. The later occupation showed that the platform was extended beyond its earlier limits and the piles had been sharpened with metal tools. Associated with this occupation was a bronze socketed spearhead and pottery. Three human skulls were found at the eastern end of the excavated area, one being recognised as of Bronze Age type. Other finds from the platform included bone and antler tools, flint scrapers, hammer-stones, stone rubber, animal bones both wild and domestic, winged axe etc. About 20 yards south-east of the lake dwelling was a pit, 30ft long by 8ft wide, containing an Iron Age urn, height 26ins maximum circumference 6ft, now in British Museum; human skeletal remains, including skull; at higher level Roman pottery, including base of moratorium; 15ins to 18ins from top Medieval pottery. The nucleus of a network of ditches, some of which enclose a group of Iron Age type square ditched barrows, on AP's are TA 149 566 (Possibly associated with Iron Age phase of lake dwelling). At the time of the visit this site was under pasture and nothing was seen. Nothing has been ploughed up over the years at this site. <2> Aerial photograph of the site from the NMR. <3> Cross reference SMR 3757, cropmarks. <4> Article from the Archaeological Journal, 1911. <5> 'Lake Dwelling (site of)' printed on OS 25"" first edition map. <6> 'S.R. Harrison reports that a substantial scatter of La Tene pottery and associated objects, mainly consisting of bones, including human, worked flint and burnt stones, was collected from this 'lake dwelling' and the immediate vicinity, particularly to the west where there is a sharply defined rise upon which are discernible, identified as square barrows and a network of intersecting ditches' <7> 'NMR photograph indicates this is the nucleus of a network of ditches, some of which enclose a group of square ditched barrows of Iron Age type'. <8> Cross reference with SMR 18381, marginal finds in the West Furze area. <9> Photocopy of article 'A place for the dead: The Role of Human Remains in Late Bronze Age Britain', from the Proceedings of the Prehistoric Society, Volume 61 1995. <10> Pastscape Website Description. <11> Slide of the site from 1911. <12> Slide of the site from 1911. <13>"
40024,"NEOLITHIC & IRON AGE ENCLOSURES, SOUTH OF GARTON STATION",RECTANGULAR ENCLOSURE,Aerial photographs show a cropmark complex containing neolithic and Iron Age enclosures. The complex was subjected to an excavation in 1987.,"Sub-rectangular enclosure with rounded corners with a square barrow outside its eastern entrance, this enclosure partially overlies a smaller double square enclosure. The site lies just south-east of the present crossroads. <1> Excavation summary (site 2 excavated 9/87), from the book 'Iron Age Cemeteries in East Yorkshire', by I.M. Stead from 1991. <2> Aerial photograph showing round barrows and cropmarks in the parish of Kirkburn. <3> 'The second area exposed two overlapping enclosures - a large oval 47m long by perhaps 42m wide, and a 17m square. The oval enclosure was Neolithic and had a central crouched burial without grave goods but with additional arm bones at its feet. Iron Age sherds were found in the ditch of the square enclosure, but there were no features inside. Outside the square and within the oval were two graves, each surrounded by the trace of a ring-ditch 4-5m in diameter and each containing the skeleton of a horse. Outside the oval was a flattened Neolithic barrow, 11m in diameter, whose central pit lacked the remains of a burial'. <4> Photocopied extract from the CBA Forum Group 4 Newsletter, 1987. <5> Photocopied extract from C.Stoertz 'Ancient Landscapes of the Yorkshire Wolds', 1997. <6> Pastscape Website Description. <7> Aerial Photograph <8> Following on from the Garton Station excavations John Dent along side the British Museum commissioned the excavation of a possible cart burial to the south of the Garton Station excavations. Prior to the excavation a fluxgate gradiometer survey  in fields to the west and south of the Garton Station excavations was carried out in order to locate another possible cart burial. In 1980 John Dent had already taken aerial photographs of the area around Garton Station and Kirkburn, round and square barrows along with other cropmarks were visible on the aerial photographs. A large enclosure was identified through aerial photographs and geophysics so excavations were concentrated around this feature. In September 1987 two open area excavations (Site 1, 1900sqm and Site 2 2,2250sqm) were opened. The stripping of Site 1 uncovered a series of  square and round barrows. A cart burial with a later Anglian Burial were identified along with two smaller round barrows, an undated quarry, linear ditches and medieval furrows . The stripping of Site 2 uncovered  a larger oval enclosure, linear ditches, a Bronze Age crouched inhumation, an Iron Age square enclosure, round barrow and early Roman horse burials. Neolithic to Roman pottery was identified along with other artefacts. As well as the two open area excavations four other square barrows were trail trenched in 1987 and two graves were identified <9>"
40025,GARTON SLACK NEO-RB OCCUPATION,BARROW CEMETERY,,<FURTHER INFO>
40026,GARTON STATION BARROW CEMETERY,BARROW CEMETERY,"Aerial photographs show cropmarks of an Iron Age square barrow cemetery, with Anglo-Saxon burials, partially excavated in  1985.","Aerial photographs show three areas of mainly square barrows. Those barrows along with two square enclosures, at SE 982 578 were excavated in 1985. Interpretation of aerial photograph made by R.Teal in 1991. <1> Information sheet from Humberside Archaeological Unit concerning the Excavations at Garton on the Wolds in 1985, No.8 <2> Photocopied extract from 'New Light On The Parisi', by P.Halkon, 1989, p.1-6. <3> Aerial photographs showing the square barrow cemetery along with various other features, including ring ditch, round barrow and dyke. <4> Excavation summary from I.M.Stead, 'Iron Age Cemeteries in East Yorkshire' p.17-24, figs 16-22. <5> Aerial photograph showing a possible area of square barrows, some with central pits, centred at SE 972 584. <6> An excavation directed by I.M.Stead for the British Museum discovered a chariot burial in a grave 4.0m by 2.4m and 1.4m deep, orientated north-south, at the centre of a barrow 11-12 square. The wheels had been stacked leaning against the side of the grave, their decayed wooden naves and spokes replaced in clay. The pole and axle had been buried as a single T-shaped frame, 3.0m long and 2.2m across. The flexed corpse had been buried first and the framework of the vehicle lowered on top of it. The line of the yoke placed behind the body could be distinguished by a row of five terrets, the central one being finely decorated in relief. Alongside was a pair of linch pins and two horse pits; animal bones lay in front of and behind the shoulders of the body. A box shape, 1.7m by 1.0m, traced by darker filling above the skelton, may be the body of the chariot, upturned to cover it. Five smaller square barrows each had an unaccompanied north-south crouched burial in a large and deep grave. Four similar-sized barrows within ring ditches, two having causeways, had unusual features. The burials of males, one with a sword, another with a shield, all had iron spear or javelin heads thrust or thrown into the grave, 14 in that with a sword, and 11,7 and 3 in the others. Comparable finds have been made at Burton Fleming, Wetwang Slack and Grimthorpe. An enclosure 16-18m square with an entrance to the west is unique. No Iron Age grave was found within it but its centre was occupied by two rows of Anglian burials. Three other square barrows to the north-east, also had a western entrance and one had an extended east-west inhumation with a spearhead, but with an Anglian shield handle near the left hand. See also Current Archaeology 9 (1987), 234-7 and Anglo-Scandinavian Section. During excavations by I.M Stead thirty-five Anglian inhumation burials were discovered both at the centre of a large Iron Age enclosure, in three other Iron Age barrows, and elsewhere. Most were orientated east-west and grave goods indicate a 7th century date. A young child was accompanied by a fine gold pendant with filigree ornament, a silver toilet set, three silver rings and glass beads; a woman was buried with a brooch, pendant, bead and buckle, all of silver. A fine decorated hanging bowl had been missed by grave robbers. Other unusual graves included one with a bronze cauldron and support, and another with an iron ladle and a possible socketed weaving baton. Weapons were found in five graves and tools in two, knives came from eighteen and buckles from twelve graves. Bronze staples and iron fittings indicated wooden boxes or leather bags. Animal bones were found with twelve burials, usually at the feet. These burials were apparently an extension of Mortimer's Garton Gatehouse cemetery 500m to the east. See also Prehistoric Section and Current Archaeology 9, 234-7. <7> Photocopied article from 'Garton Station' Current Archaeology 103, January 1987, p.234-7. <8> Two aerial photographs showing ring ditches, square barrows and linear cropmark in the parish of Garton. <9> Photocopied extract from 'Anglo-Saxon Pagan Shrines and their Prototypes', in Anglo-Saxon Studies in Archaeology and History, Volume 8 1995, p.9-10. <10> Photocopied extract from 'Ancient Landscapes of the Yorkshire Wolds', C.Stoertz, 1997, p.39 and fig.18. <11> Photocopied extract from 'When were hanging bowls deposited in Angl-Saxon Graves?, in Medieval Archaeology Volume 43, 1999, p.4 &6. <12> A copper alloy hanging bowl dating to between the 6th-7th century, was recovered from a anglian grave during the excavations at Garton Station <13> Extract from the Gazetteer of A social and Anthropological Analysis of Conversion Period and Later Anglo-Saxon Cemeteries in Lincolnshire and Yorkshire <14> Iron Age barrow cemetery of square and round barrows at Garton Station. Excavations located a cart burial. Some of the square barrows contained Anglian secondary burials. 35 Saxon burials were excavted in 1985 , in a small group of 11 graves scattered among the Iron Age enclosures. 20 other graves thought to be Saxon were not excavated. Grave goods included a toilet-set, gold filigree pendant, silver rings and small glass beads,a set of tools, a box, weapons, a hanging bowl, a bronze cauldron, an iron ladle, knives and jewellery. <15> Aerial photographs showing Garton Station during the excavations of the 1980's. <16> Site mentioned  in ""A Comparative Study of  'Continuity' Cemeteries in Yorkshire"" by Malin Holst. <17> Article in Journal 'Dating Celtic Art: a Major Radio Carbon Dating Programme of Iron Age and Early Roman Metalwork in Britain'  Full article in SMR Library <18>"
40027,HIGH CALLIS WOLD FARM BARROW (M275),MORTUARY ENCLOSURE,,CDG added. Adult inhumation with cinerary urn and a youth with barbed arrowhead and cremations with grave goods 
40028,SQUARE BARROW CEMETERY,BARROW CEMETERY,,<FURTHER INFO>
40029,KIRKBURN BARROW CEMETERY,BARROW CEMETERY,Aerial photographs identified a series of square ditches and linear features,"Area of scattered square barrows visible in fields south of road which forms part of Garton/Kirkburn parish  boundary. Also in this area one roughly circular feature - two ditches-. This may be related to the cemetery - included in this SMR at present. North of the road lies SMR 8083 -Square Barrow Cemtery - cross reference. Also cross reference SMR 4405, 4413, 4420-Tumulus in this area <1> Aerial Photographs <2> Photocopied Article <3> Excavation Summary <4> Photocpied Note <5> Correspondance <6> Photocopied Article <7> Photocopied Note <8> Aerial Photographs <9> Article in Journal 'Dating Celtic Art: a Major Radiocarbon Dating Programme of Iron Age and Early Roman Metalwork in Britain'  Full article in SMR Library <10> Internet Information <11> Slide <12> Slide<13> Internet Information <14>"
40030,"IA OCCUPATION SITE, WELDON'S PLANTATION, WINESTEAD",OCCUPATION SITE,,<FURTHER INFO>
40031,"IA, RB & EMED OCCUPATION",OCCUPATION SITE,,<FURTHER INFO>
40032,"IA OCCUPATION, VIRGINIA LODGE, 1899",OCCUPATION SITE,"Iron Age occupation site, with cremations and artefacts, as well as a slag heap. Nothing visible in 2009.","Iron Age occupation site, with cremations and artefacts, as well as a slag heap. Nothing visible in 2009. <4><FURTHER INFO>"
40033,"BARROW ADJACENT TO HENGE, EASINGTON",HENGE,A barrow was revealed on the beach at Easington by tidal movements in 1998.,"A barrow with an external bank and a ditch enclosed a ciruclar area of gravel 9m across with a hearth and the bones of a crouched adult inhumation and sherds of a collared urn in the centre.  The whole monument measured 17m in diameter.  This barrow had preserved evidence of earlier Neolithic settlement beneath.  <1>  The ditch and bank of this barrow were upstanding and well-defined at the time of estuarine incursion.  <2> A barrow was revealed on the beach at Easington by tidal action in 1998. The barrow was adjacent to a henge, also revealed by the same tide. The barrow with an external bank and a ditch enclosed a circular area of gravel 9m across with a hearth and the bones of a crouched adult inhumation and sherds of a collared urn in the centre. The whole monument measured 17m in diameter. This barrow had preserved evidence of earlier Neolithic settlement beneath. The ditch and bank of this barrow were upstanding and well-defined at the time of estuarine incursion. Not visible in 2009, but site still intact. <3>"
40034,"IRON AGE/ROMANO BRITISH SETTLEMENT, ALDBROUGH GAS STORAGE SITES",SETTLEMENT,"Geophysical surveys in the area revealed Iron Age/Romano-British settlement features, with traces of Medieval ridge-and-furrow.","Geophysical surveys in the area by Timescape Archaeological Services (1998) and GSB Prospection (2004) revealed Iron Age/Romano-British settlement features, with traces of medieval ridge-and-furrow. An excavation by Humber Field Archaeology on the main concentration, centred at TA 260 370 (AGS2004), confirmed the presence of a settlement, with several roundhouses, trackways, enclosures and small  pens  forming part of a hamlet or cluster of farmsteads constructed in the late 1st century AD. At least one rectangular timber building was also found. The skeleton of an individual of 25 35 years of age in a relatively poor state of preservation had been buried with a small near-complete pottery vessel. The finds included local hand-made pottery and some briquetage. Occupation continued into the 3rd century. Not visited in 2009. <1><FURTHER INFO> "
